symbol,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,shares,gross_pnl,net_pnl,return_pct,days_held,exit_type,body_quintile,position_size,day20_close
OXY,2020-01-07,2020-01-08,2020-01-27,45.54,41.04300440791741,41.04300440791741,10979,-49372.51460547477,-49847.812008172026,-9.969562401634406,13,STOP,Q2,500000,
DXCM,2020-01-08,2020-01-09,2020-02-06,58.7525,59.75,52.051244561528335,25530,25466.175000000057,23953.490587500055,1.5968993725000036,20,TIME,Q4,1500000,59.75
CRM,2020-01-09,2020-01-10,2020-02-07,179.84,185.72,167.8500530583166,5560,32692.799999999974,31676.543199999975,3.167654319999998,20,TIME,Q3,1000000,185.72
KWEB,2020-01-09,2020-01-10,2020-01-24,53.32,50.23797688150788,50.23797688150788,9377,-28900.13078210058,-29385.662356709527,-5.8771324713419055,10,STOP,Q2,500000,
CRWD,2020-01-10,2020-01-13,2020-02-10,57.36,63.3,48.22607627771583,34867,207109.97999999992,205006.45388999992,10.250322694499996,20,TIME,Q5,2000000,63.3
TQQQ,2020-01-13,2020-01-14,2020-02-11,12.0725,13.87,10.86394747964632,41416,74445.25999999998,73908.04270999998,14.781608541999997,20,TIME,Q2,500000,13.87
UBER,2020-01-13,2020-01-14,2020-02-11,34.2,41.27,30.335707294729822,58479,413446.53,411239.82493500004,20.561991246750004,20,TIME,Q5,2000000,41.27
QQQ,2020-01-14,2020-01-15,2020-02-12,220.18,234.27,213.74869980878884,4541,63982.69000000002,62950.86127500002,6.295086127500002,20,TIME,Q3,1000000,234.27
XLC,2020-01-14,2020-01-15,2020-01-31,55.68,53.95710549437981,53.95710549437981,26939,-46413.055086902285,-47889.81207935884,-3.192654138623922,12,STOP,Q4,1500000,
GS,2020-01-16,2020-01-17,2020-02-14,250.23,237.08,234.0917123646382,1998,-26273.699999999953,-26760.522689999954,-5.352104537999991,20,TIME,Q2,500000,237.08
NKE,2020-01-17,2020-01-21,2020-01-27,104.25,99.41734844695719,99.41734844695719,14388,-69532.19054517992,-70997.37344990733,-4.733158229993823,5,STOP,Q4,1500000,
VRTX,2020-01-21,2020-01-22,2020-02-19,234.94,247.78,220.12025867717546,4256,54647.040000000015,53619.81184000002,5.361981184000002,20,TIME,Q3,1000000,247.78
GOOGL,2020-01-22,2020-01-23,2020-01-27,74.3775,71.41600610962989,71.41600610962989,6722,-19907.16193106786,-20397.17390510233,-4.079434781020465,3,STOP,Q2,500000,
LULU,2020-01-22,2020-01-23,2020-02-20,242.62,263.68,230.28579055439758,4121,86788.26000000001,85745.02885,8.574502885,20,TIME,Q3,1000000,263.68
MS,2020-01-22,2020-01-23,2020-01-30,55.22,52.68186313849812,52.68186313849812,27164,-68945.94970583696,-70411.47281098405,-4.694098187398937,6,STOP,Q4,1500000,
XLK,2020-01-22,2020-01-23,2020-02-20,48.765,50.86,47.23663770492478,30759,64440.10499999997,62907.92231249996,4.193861487499998,20,TIME,Q4,1500000,50.86
AAPL,2020-01-23,2020-01-24,2020-02-21,80.0625,78.2625,75.38477772049976,6245,-11240.999999999982,-11735.369812499981,-2.347073962499996,20,TIME,Q2,500000,78.2625
SHOP,2020-01-23,2020-01-24,2020-02-21,47.4,52.066,41.98105876485256,10548,49216.968000000044,48692.38431600005,9.73847686320001,20,TIME,Q2,500000,52.066
BYND,2020-01-24,2020-01-27,2020-02-24,119.8,113.96,90.83387440214112,12520,-73116.80000000005,-74580.13760000005,-4.972009173333336,20,TIME,Q4,1500000,113.96
HUBS,2020-01-24,2020-01-27,2020-02-24,180.63,180.1,169.8349469573156,8304,-4401.12000000001,-5898.87096000001,-0.3932580640000007,20,TIME,Q4,1500000,180.1
MA,2020-01-24,2020-01-27,2020-02-24,315.1,324.67,308.02920134817487,3173,30365.60999999998,29350.61489499998,2.935061489499998,20,TIME,Q3,1000000,324.67
TMO,2020-01-24,2020-01-27,2020-01-30,327.36,317.05024756693945,317.05024756693945,6109,-62982.277613567,-64950.62871476021,-3.2475314357380105,4,STOP,Q5,2000000,
V,2020-01-24,2020-01-27,2020-02-24,200.0,196.04421628898635,196.04421628898635,7500,-29668.37783260239,-31153.543643686087,-2.0769029095790725,20,STOP,Q4,1500000,198.79
VALE,2020-01-24,2020-01-27,2020-01-30,12.09,11.857161937884472,11.857161937884472,41356,-9629.250896849773,-10124.43031140135,-2.02488606228027,4,STOP,Q2,500000,
NEM,2020-01-27,2020-01-28,2020-02-25,44.21,49.14,41.91206168768344,22619,111511.67,110455.92817500001,11.045592817500001,20,TIME,Q3,1000000,49.14
TWLO,2020-01-27,2020-01-28,2020-02-25,122.43,112.31,104.51806944748064,8167,-82650.04000000004,-83608.60079000004,-8.360860079000004,20,TIME,Q3,1000000,112.31
ETSY,2020-01-28,2020-01-29,2020-02-26,49.83,50.69,44.72213424563432,30102,25887.719999999983,24374.793479999982,1.6249862319999988,20,TIME,Q4,1500000,50.69
XLU,2020-01-28,2020-01-29,2020-02-26,34.255,33.68,33.127771565593434,43789,-25178.675000000123,-26666.077857500124,-1.7777385238333414,20,TIME,Q4,1500000,33.68
MCD,2020-01-29,2020-01-30,2020-02-27,214.0,202.15276971168257,202.15276971168257,7009,-83037.2370908169,-84495.6444722715,-5.6330429648181,20,STOP,Q4,1500000,201.0
NOW,2020-01-29,2020-01-30,2020-02-27,66.746,64.02,58.3748776445876,22473,-61261.39799999998,-62730.75015899998,-4.182050010599999,20,TIME,Q4,1500000,64.02
ZTS,2020-01-29,2020-01-30,2020-02-27,137.64,133.95,131.56931892900678,7265,-26807.849999999984,-27794.400674999983,-2.779440067499998,20,TIME,Q3,1000000,133.95
AMT,2020-01-31,2020-02-03,2020-02-28,232.98,220.21127684629576,220.21127684629576,6438,-82205.03966354782,-83663.86238371606,-5.577590825581071,19,STOP,Q4,1500000,
LYFT,2020-01-31,2020-02-03,2020-02-24,47.63,41.735356238587904,41.735356238587904,31492,-185634.12133438978,-187041.2682337226,-12.469417882248173,15,STOP,Q4,1500000,
NFLX,2020-01-31,2020-02-03,2020-03-02,34.724,38.105,31.15540451169734,57597,194735.45700000002,192638.09104350003,9.631904552175001,20,TIME,Q5,2000000,38.105
SMCI,2020-01-31,2020-02-03,2020-03-02,2.796,2.615,2.390749031307073,715307,-129470.56699999972,-131405.83008849973,-6.570291504424987,20,TIME,Q5,2000000,2.615
EXPE,2020-02-03,2020-02-04,2020-02-27,109.03,100.16516170503925,100.16516170503925,18343,-162607.728844465,-164526.36227004274,-8.226318113502137,17,STOP,Q5,2000000,
PYPL,2020-02-03,2020-02-04,2020-02-27,118.04,106.39210858789272,106.39210858789272,16943,-197350.22419533372,-199251.50080323606,-9.962575040161802,17,STOP,Q5,2000000,
RUN,2020-02-03,2020-02-04,2020-03-03,17.86,19.515,15.100839427601137,111982,185330.21000000014,183237.54637500012,9.161877318750006,20,TIME,Q5,2000000,19.515
SQ,2020-02-03,2020-02-04,2020-03-03,79.9,78.84,67.41012990807127,18773,-19899.38000000004,-21389.393010000043,-1.425959534000003,20,TIME,Q4,1500000,78.84
AMZN,2020-02-05,2020-02-06,2020-02-27,102.051,95.4426994827016,95.4426994827016,14698,-97128.80100325192,-98580.18220075029,-6.572012146716687,15,STOP,Q4,1500000,
GOOGL,2020-02-07,2020-02-10,2020-02-25,73.8615,69.11361750904796,69.11361750904796,27077,-128558.41420750869,-130494.08283590493,-6.524704141795247,11,STOP,Q5,2000000,
IBM,2020-02-07,2020-02-10,2020-02-25,146.2428,137.24632659373728,137.24632659373728,10256,-92267.83125463034,-93721.56349580303,-6.248104233053535,11,STOP,Q4,1500000,
ENPH,2020-02-10,2020-02-11,2020-03-10,39.26,45.59,32.467288554444615,38206,241843.9800000002,240223.0904500002,16.01487269666668,20,TIME,Q4,1500000,45.59
ARKK,2020-02-11,2020-02-12,2020-02-26,58.4,53.43859374924983,53.43859374924983,17123,-84954.15923159508,-85911.66535197927,-8.591166535197928,10,STOP,Q3,1000000,
