symbol,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,stop_hit,shares,position_size,gross_pnl,costs,net_pnl,body_quintile,entry_body_pct
MRK,2020-01-06,2020-01-07,2020-01-24,90.8,87.82969981289169,87.82969981289169,True,2753,249972.4,-8177.236415109171,245.88378179244538,-8423.120196901617,Q1,-0.7999999999999972
OXY,2020-01-07,2020-01-08,2020-01-27,45.54,41.04300440791741,41.04300440791741,True,10979,499983.66,-49372.51460547477,475.29740269726256,-49847.81200817203,Q2,-0.3708609271523199
DXCM,2020-01-08,2020-01-09,2020-02-06,58.7525,59.75,52.051244561528335,False,25530,1499951.325,25466.175000000057,1512.6844124999998,23953.49058750006,Q4,0.44079301353421
CRM,2020-01-09,2020-01-10,2020-02-07,179.84,185.72,167.8500530583166,False,5560,999910.4,32692.799999999974,1016.2568,31676.543199999975,Q3,0.180904522613057
KWEB,2020-01-09,2020-01-10,2020-01-24,53.32,50.23797688150788,50.23797688150788,True,9377,499981.64,-28900.13078210058,485.53157460894977,-29385.66235670953,Q2,-0.3333333333333333
CRWD,2020-01-10,2020-01-13,2020-02-10,57.36,63.3,48.22607627771583,False,34867,1999971.1199999999,207109.97999999992,2103.52611,205006.45388999992,Q5,0.5875912408759117
TQQQ,2020-01-13,2020-01-14,2020-02-11,12.0725,13.87,10.86394747964632,False,41416,499994.66,74445.25999999998,537.21729,73908.04270999998,Q2,-0.4558640696228723
UBER,2020-01-13,2020-01-14,2020-02-11,34.2,41.27,30.335707294729822,False,58479,1999981.8000000003,413446.53,2206.7050649999996,411239.82493500004,Q5,0.5818181818181816
QQQ,2020-01-14,2020-01-15,2020-02-12,220.18,234.27,213.74869980878884,False,4541,999837.38,63982.69000000002,1031.828725,62950.86127500002,Q3,-0.0057142857142967
XLC,2020-01-14,2020-01-15,2020-01-31,55.68,53.95710549437981,53.95710549437981,True,26939,1499963.52,-46413.055086902285,1476.756992456549,-47889.81207935883,Q4,0.3976751300091825
JD,2020-01-15,2020-01-16,2020-01-27,40.18,36.6801421141652,36.6801421141652,True,6222,249999.96,-21776.115765664123,239.11190211716797,-22015.22766778129,Q1,-0.7167630057803422
REGN,2020-01-15,2020-01-16,2020-01-21,393.17,364.2628160354517,364.2628160354517,True,635,249662.95,-18356.061817488186,240.4849190912559,-18596.546736579443,Q1,-0.6239737274220049
GS,2020-01-16,2020-01-17,2020-02-14,250.23,237.08,234.0917123646382,False,1998,499959.54,-26273.699999999953,486.82269,-26760.522689999954,Q2,-0.3130081300812924
NKE,2020-01-17,2020-01-21,2020-01-27,104.25,99.41734844695719,99.41734844695719,True,14388,1499949.0,-69532.19054517992,1465.1829047274102,-70997.37344990733,Q4,0.375
VRTX,2020-01-21,2020-01-22,2020-02-19,234.94,247.78,220.12025867717546,False,4256,999904.64,54647.040000000015,1027.22816,53619.81184000002,Q3,-0.1074918566775194
GOOGL,2020-01-22,2020-01-23,2020-01-27,74.3775,71.41600610962989,71.41600610962989,True,6722,499965.555,-19907.16193106786,490.01197403446605,-20397.17390510233,Q2,-0.2169954476479551
LULU,2020-01-22,2020-01-23,2020-02-20,242.62,263.68,230.28579055439758,False,4121,999837.02,86788.26000000001,1043.23115,85745.02885,Q3,0.1582733812949631
MS,2020-01-22,2020-01-23,2020-01-30,55.22,52.68186313849812,52.68186313849812,True,27164,1499996.08,-68945.94970583696,1465.5231051470817,-70411.47281098404,Q4,0.3647058823529432
XLK,2020-01-22,2020-01-23,2020-02-20,48.765,50.86,47.23663770492478,False,30759,1499962.635,64440.10499999997,1532.1826875,62907.92231249997,Q4,0.4198740377886635
AAPL,2020-01-23,2020-01-24,2020-02-21,80.0625,78.2625,75.38477772049976,False,6245,499990.3125,-11240.999999999982,494.3698124999999,-11735.369812499981,Q2,-0.3338381057268727
SHOP,2020-01-23,2020-01-24,2020-02-21,47.4,52.066,41.98105876485256,False,10548,499975.2,49216.968000000044,524.583684,48692.38431600005,Q2,-0.4561027837259078
BYND,2020-01-24,2020-01-27,2020-02-24,119.8,113.96,90.83387440214112,False,12520,1499896.0,-73116.80000000005,1463.3375999999998,-74580.13760000005,Q4,0.4838709677419349
HUBS,2020-01-24,2020-01-27,2020-02-24,180.63,180.1,169.8349469573156,False,8304,1499951.52,-4401.12000000001,1497.7509599999998,-5898.870960000009,Q4,0.336823734729494
MA,2020-01-24,2020-01-27,2020-02-24,315.1,324.67,308.02920134817487,False,3173,999812.3,30365.60999999998,1014.9951050000001,29350.614894999977,Q3,0.0976676384839588
TMO,2020-01-24,2020-01-27,2020-01-30,327.36,317.05024756693945,317.05024756693945,True,6109,1999842.24,-62982.277613567,1968.3511011932164,-64950.62871476021,Q5,0.6091370558375551
V,2020-01-24,2020-01-27,2020-02-24,200.0,196.04421628898635,196.04421628898635,True,7500,1500000.0,-29668.37783260239,1485.1658110836988,-31153.543643686087,Q4,0.399527186761227
VALE,2020-01-24,2020-01-27,2020-01-30,12.09,11.857161937884472,11.857161937884472,True,41356,499994.04,-9629.250896849773,495.1794145515751,-10124.43031140135,Q2,-0.4285714285714261
NEM,2020-01-27,2020-01-28,2020-02-25,44.21,49.14,41.91206168768344,False,22619,999985.99,111511.67,1055.741825,110455.928175,Q3,0.1208053691275122
PFE,2020-01-27,2020-01-28,2020-01-30,39.32,37.365291680388765,37.365291680388765,True,6358,249996.56,-12428.035496088234,243.78254225195585,-12671.81803834019,Q1,-0.7662337662337665
TWLO,2020-01-27,2020-01-28,2020-02-25,122.43,112.31,104.51806944748064,False,8167,999885.81,-82650.04000000004,958.56079,-83608.60079000004,Q3,0.0708641126954129
ETSY,2020-01-28,2020-01-29,2020-02-26,49.83,50.69,44.72213424563432,False,30102,1499982.66,25887.719999999983,1512.92652,24374.793479999982,Q4,0.278260869565218
XLU,2020-01-28,2020-01-29,2020-02-26,34.255,33.68,33.127771565593434,False,43789,1499992.195,-25178.675000000123,1487.4028575000002,-26666.077857500124,Q4,0.2718446601941756
MCD,2020-01-29,2020-01-30,2020-02-27,214.0,202.15276971168257,202.15276971168257,True,7009,1499926.0,-83037.2370908169,1458.4073814545916,-84495.64447227148,Q4,0.5575447570332503
NOW,2020-01-29,2020-01-30,2020-02-27,66.746,64.02,58.3748776445876,False,22473,1499982.8579999998,-61261.39799999998,1469.352159,-62730.75015899998,Q4,0.5540730337078664
ZTS,2020-01-29,2020-01-30,2020-02-27,137.64,133.95,131.56931892900678,False,7265,999954.5999999999,-26807.849999999984,986.550675,-27794.400674999983,Q3,0.1718061674008868
LMT,2020-01-30,2020-01-31,2020-02-25,434.93,411.53773381494875,411.53773381494875,True,574,249649.82,-13427.160790219421,242.9362396048903,-13670.097029824312,Q1,-0.7191129883843742
MSFT,2020-01-30,2020-01-31,2020-02-27,172.21,162.79618234642712,162.79618234642712,True,1451,249876.71000000002,-13659.449415334266,243.0469852923329,-13902.496400626598,Q1,-0.7021276595744762
AMT,2020-01-31,2020-02-03,2020-02-28,232.98,220.21127684629576,220.21127684629576,True,6438,1499925.24,-82205.03966354782,1458.822720168226,-83663.86238371606,Q4,0.372013651877137
LYFT,2020-01-31,2020-02-03,2020-02-24,47.63,41.735356238587904,41.735356238587904,True,31492,1499963.9600000002,-185634.12133438978,1407.1468993328049,-187041.2682337226,Q4,0.2598425196850374
NFLX,2020-01-31,2020-02-03,2020-03-02,34.724,38.105,31.15540451169734,False,57597,1999998.228,194735.45700000002,2097.3659565,192638.09104350003,Q5,0.8059925093632957
SMCI,2020-01-31,2020-02-03,2020-03-02,2.796,2.615,2.390749031307073,False,715307,1999998.372,-129470.56699999972,1935.2630884999999,-131405.83008849973,Q5,0.6730769230769252
EXPE,2020-02-03,2020-02-04,2020-02-27,109.03,100.16516170503925,100.16516170503925,True,18343,1999937.29,-162607.728844465,1918.6334255777676,-164526.36227004277,Q5,0.6404715127701353
PYPL,2020-02-03,2020-02-04,2020-02-27,118.04,106.39210858789272,106.39210858789272,True,16943,1999951.7200000002,-197350.22419533372,1901.2766079023336,-199251.50080323606,Q5,0.6710526315789433
RUN,2020-02-03,2020-02-04,2020-03-03,17.86,19.515,15.100839427601137,False,111982,1999998.52,185330.21000000014,2092.663625,183237.54637500015,Q5,0.6093750000000003
SQ,2020-02-03,2020-02-04,2020-03-03,79.9,78.84,67.41012990807127,False,18773,1499962.7000000002,-19899.38000000004,1490.01301,-21389.39301000004,Q4,0.4115226337448548
ZM,2020-02-03,2020-02-04,2020-03-03,91.04,117.47,67.56100496492955,False,2746,249995.84000000003,72576.77999999998,286.28423,72290.49576999998,Q1,-0.5357142857142859
TEAM,2020-02-04,2020-02-05,2020-03-04,153.01,153.47,134.84415655201238,False,1633,249865.33,751.180000000013,250.24092000000002,500.939080000013,Q1,-0.7004357298474938
AMZN,2020-02-05,2020-02-06,2020-02-27,102.051,95.4426994827016,95.4426994827016,True,14698,1499945.598,-97128.80100325192,1451.3811974983741,-98580.18220075029,Q4,0.2923809523809494
AXP,2020-02-05,2020-02-06,2020-02-25,134.16,124.00680527486993,124.00680527486993,True,1863,249940.08,-18915.40177291731,240.48237911354136,-19155.884152030852,Q1,-0.7338709677419442
