f1,f2,spread_bps,t_stat,p_value,interaction_ratio,best_quadrant,best_mean,worst_quadrant,worst_mean,ll_mean,lh_mean,hl_mean,hh_mean
ema_12,sma_12,34.71,1.272,0.203449,1.95,low_low,12.99,high_low,-21.72,12.99,3.41,-21.72,4.05
sma_8,ema_8,34.33,1.917,0.055451,1.93,high_low,33.15,low_high,-1.17,12.91,-1.17,33.15,4.0
sma_8,ema_12,32.37,2.08,0.037617,1.82,high_low,25.24,low_high,-7.12,12.94,-7.12,25.24,4.0
sma_12,kc_mid,18.49,0.905,0.36547,1.03,low_low,12.99,low_high,-5.5,12.99,-5.5,12.04,4.01
sma_12,ema_20,18.49,0.905,0.36547,1.03,low_low,12.99,low_high,-5.5,12.99,-5.5,12.04,4.01
ema_8,sma_12,17.19,0.81,0.41813,0.97,low_low,12.97,high_low,-4.21,12.97,6.92,-4.21,4.04
sma_12,bb_mid,14.15,0.788,0.430745,0.8,low_low,12.95,low_high,-1.2,12.95,-1.2,7.87,4.03
sma_12,sma_20,14.15,0.788,0.430745,0.8,low_low,12.95,low_high,-1.2,12.95,-1.2,7.87,4.03
sma_20,kc_lower,13.94,0.881,0.378132,0.78,low_low,13.03,high_low,-0.91,13.03,0.89,-0.91,4.04
bb_mid,kc_lower,13.94,0.881,0.378132,0.78,low_low,13.03,high_low,-0.91,13.03,0.89,-0.91,4.04
ema_20,bb_bandwidth,13.27,9.055,0.0,0.87,low_high,16.21,high_low,2.94,8.5,16.21,2.94,5.38
kc_mid,bb_bandwidth,13.27,9.055,0.0,0.87,low_high,16.21,high_low,2.94,8.5,16.21,2.94,5.38
ema_12,bb_bandwidth,13.26,9.049,0.0,0.87,low_high,16.18,high_low,2.93,8.52,16.18,2.93,5.4
sma_8,kc_mid,13.25,2.5,0.012424,0.74,high_low,17.21,high_high,3.97,12.94,4.04,17.21,3.97
sma_8,ema_20,13.25,2.5,0.012424,0.74,high_low,17.21,high_high,3.97,12.94,4.04,17.21,3.97
bb_bandwidth,bb_mid,13.23,9.03,0.0,0.87,high_low,16.22,low_high,2.99,8.43,2.99,16.22,5.35
bb_bandwidth,sma_20,13.23,9.03,0.0,0.87,high_low,16.22,low_high,2.99,8.43,2.99,16.22,5.35
ema_8,bb_bandwidth,13.21,9.013,0.0,0.87,low_high,16.15,high_low,2.94,8.5,16.15,2.94,5.45
sma_12,bb_bandwidth,13.12,8.951,0.0,0.87,low_high,16.06,high_low,2.94,8.5,16.06,2.94,5.57
sma_8,bb_bandwidth,13.09,8.935,0.0,0.87,low_high,16.01,high_low,2.92,8.53,16.01,2.92,5.63
bb_bandwidth,kc_lower,13.06,8.964,0.0,0.86,high_low,16.01,low_high,2.95,8.58,2.95,16.01,5.49
bb_lower,bb_bandwidth,12.94,8.984,0.0,0.84,low_high,15.98,high_low,3.03,8.59,15.98,3.03,5.27
bb_bandwidth,close_location,12.86,10.95,0.0,1.4,high_low,16.22,low_low,3.36,3.36,7.19,16.22,6.86
sma_200,close_location,12.46,10.536,0.0,0.99,low_low,13.91,high_high,1.45,13.91,11.49,7.14,1.45
ema_8,ema_12,11.84,1.363,0.172791,0.66,high_low,15.77,high_high,3.93,12.96,11.67,15.77,3.93
sma_200,bb_bandwidth,11.8,9.613,0.0,0.88,low_high,15.23,high_low,3.43,9.38,15.23,3.43,5.38
kc_lower,close_location,11.8,10.293,0.0,0.99,low_low,13.23,high_high,1.43,13.23,12.42,6.52,1.43
bb_lower,close_location,11.75,10.269,0.0,0.99,low_low,13.26,high_high,1.52,13.26,12.65,6.44,1.52
ema_12,close_location,11.66,10.195,0.0,0.99,low_low,13.12,high_high,1.46,13.12,12.83,6.48,1.46
sma_8,close_location,11.66,10.199,0.0,0.99,low_low,13.22,high_high,1.56,13.22,12.54,6.62,1.56
sma_20,close_location,11.66,10.176,0.0,0.99,low_low,13.16,high_high,1.5,13.16,12.66,6.55,1.5
kc_mid,close_location,11.66,10.197,0.0,0.99,low_low,13.07,high_high,1.41,13.07,12.88,6.54,1.41
ema_20,close_location,11.66,10.197,0.0,0.99,low_low,13.07,high_high,1.41,13.07,12.88,6.54,1.41
bb_mid,close_location,11.66,10.176,0.0,0.99,low_low,13.16,high_high,1.5,13.16,12.66,6.55,1.5
sma_12,close_location,11.65,10.178,0.0,0.99,low_low,13.17,high_high,1.52,13.17,12.62,6.63,1.52
ema_8,close_location,11.61,10.157,0.0,0.99,low_low,13.16,high_high,1.55,13.16,12.75,6.44,1.55
minus_di,bb_lower,11.31,4.238,2.3e-05,1.2,low_low,14.47,low_high,3.15,14.47,3.15,11.54,4.78
minus_di,sma_200,11.3,3.959,7.5e-05,1.3,low_low,14.21,low_high,2.91,14.21,2.91,11.18,5.61
ema_20,kc_lower,11.22,0.669,0.503506,0.63,low_low,12.92,high_low,1.7,12.92,4.95,1.7,3.94
kc_mid,kc_lower,11.22,0.669,0.503506,0.63,low_low,12.92,high_low,1.7,12.92,4.95,1.7,3.94
minus_di,sma_20,11.18,4.188,2.8e-05,1.19,low_low,14.38,low_high,3.2,14.38,3.2,11.52,4.82
minus_di,bb_mid,11.18,4.188,2.8e-05,1.19,low_low,14.38,low_high,3.2,14.38,3.2,11.52,4.82
minus_di,kc_mid,11.16,4.191,2.8e-05,1.2,low_low,14.28,low_high,3.12,14.28,3.12,11.5,4.77
minus_di,ema_20,11.16,4.191,2.8e-05,1.2,low_low,14.28,low_high,3.12,14.28,3.12,11.5,4.77
sma_8,kc_lower,11.05,2.41,0.015973,0.63,high_low,14.97,high_high,3.92,12.81,6.77,14.97,3.92
