feature,low_tail_mean,middle_mean,high_tail_mean,low_tail_excess,high_tail_excess,low_tail_t,high_tail_t,low_tail_n,high_tail_n,tail_asymmetry,max_tail_excess
sma_200,218.28,34.59,7.86,183.69,-26.73,19.397,-5.983,26208,26208,156.97,183.69
bb_lower,214.69,34.48,2.63,180.21,-31.85,19.614,-6.546,28278,28278,148.36,180.21
sma_100,213.15,33.77,4.5,179.38,-29.27,18.988,-5.842,27358,27358,150.12,179.38
sma_50,209.7,33.75,3.4,175.96,-30.35,18.964,-6.133,27933,27933,145.61,175.96
kc_lower,209.31,34.9,1.67,174.41,-33.23,19.024,-6.794,28347,28347,141.18,174.41
ema_50,209.73,35.37,0.63,174.36,-34.74,19.103,-7.078,28496,28496,139.62,174.36
sma_20,206.68,35.18,-1.87,171.5,-37.05,18.673,-7.535,28279,28278,134.45,171.5
bb_mid,206.68,35.18,-1.87,171.5,-37.05,18.673,-7.535,28279,28278,134.45,171.5
ema_20,205.61,35.8,-3.0,169.81,-38.79,18.606,-7.91,28496,28496,131.02,169.81
kc_mid,205.61,35.8,-3.0,169.81,-38.79,18.606,-7.91,28496,28496,131.02,169.81
ema_12,204.31,35.84,-2.58,168.46,-38.42,18.457,-7.825,28496,28496,130.04,168.46
sma_12,202.95,35.58,-3.73,167.36,-39.31,18.27,-7.998,28371,28370,128.05,167.36
kc_upper,201.98,35.53,-2.34,166.45,-37.87,18.163,-7.668,28347,28347,128.58,166.45
ema_8,201.82,35.95,-2.01,165.87,-37.97,18.172,-7.716,28496,28496,127.9,165.87
sma_8,201.59,35.95,-1.79,165.64,-37.74,18.107,-7.664,28416,28416,127.9,165.64
bb_upper,200.29,35.49,-1.11,164.8,-36.6,17.949,-7.388,28278,28278,128.2,164.8
rvol_20d,28.16,36.02,159.92,-7.85,123.9,-0.887,13.675,28266,28266,-116.04,123.9
rvol_10d,24.29,36.57,159.03,-12.28,122.45,-1.387,13.561,28381,28381,-110.18,122.45
atr_14,157.6,38.04,-3.22,119.56,-41.26,13.109,-8.483,28347,28347,78.3,119.56
true_range,157.66,38.5,-3.72,119.17,-42.22,13.134,-8.655,28510,28496,76.95,119.17
bb_bandwidth,26.62,36.69,150.93,-10.07,114.24,-1.134,12.615,28278,28278,-104.17,114.24
dist_sma50_pct,143.15,32.93,84.7,110.22,51.78,12.083,5.855,27933,27933,58.44,110.22
range_bps,27.55,38.15,132.72,-10.6,94.58,-1.204,10.506,28496,28496,-83.98,94.58
stoch_d,130.49,38.01,26.27,92.47,-11.74,10.074,-1.964,28324,28324,80.73,92.47
roc_20,125.38,33.45,108.96,91.93,75.51,10.189,8.61,28266,28266,16.42,91.93
pct_from_52w_low,30.83,39.62,130.71,-8.79,91.09,-0.926,9.469,25611,25610,-82.3,91.09
rsi_14,121.51,37.68,40.34,83.83,2.66,9.209,0.303,28335,28335,81.17,83.83
pct_from_20d_low,49.95,37.1,120.24,12.85,83.13,1.436,9.268,28278,28278,-70.28,83.13
dist_sma8_pct,119.89,37.54,51.42,82.35,13.88,9.178,1.554,28416,28416,68.47,82.35
sma20_slope_5d,113.1,33.89,110.16,79.21,76.27,8.759,8.565,28220,28220,2.93,79.21
plus_di,116.03,37.44,49.2,78.59,11.76,8.65,1.338,28347,28347,66.83,78.59
roc_10,78.9,36.04,113.9,42.86,77.86,4.774,8.769,28381,28381,-35.0,77.86
dist_sma200_pct,98.13,35.6,109.76,62.53,74.16,6.716,8.019,26208,26208,-11.63,74.16
dist_sma20_pct,109.01,34.94,100.12,74.07,65.18,8.224,7.377,28278,28278,8.89,74.07
pct_from_20d_high,108.4,38.54,35.89,69.86,-2.65,7.724,-0.295,28278,28278,67.21,69.86
sma50_slope_5d,100.72,36.18,70.71,64.54,34.53,7.056,3.785,27875,27875,30.01,64.54
vol_sma50,98.61,35.4,84.66,63.2,49.26,6.868,9.987,27933,27933,13.95,63.2
vol_sma20,98.25,36.16,88.98,62.09,52.82,6.819,10.774,28278,28278,9.27,62.09
minus_di,47.63,39.27,84.59,8.36,45.31,0.952,5.069,28347,28347,-36.95,45.31
gap_bps,82.77,38.53,70.39,44.24,31.86,4.953,3.597,28485,28485,12.38,44.24
stoch_k,82.82,40.95,19.18,41.86,-21.77,4.567,-2.799,28347,28347,20.09,41.86
close_location,82.77,42.21,4.65,40.56,-37.55,4.515,-4.555,28488,28488,3.01,40.56
pct_from_52w_high,82.28,43.02,18.01,39.26,-25.01,4.053,-2.653,25610,25610,14.24,39.26
macd,40.3,44.48,6.02,-4.18,-38.46,-0.459,-4.242,28496,28496,-34.28,38.46
macd_signal,34.53,44.66,8.58,-10.12,-36.08,-1.112,-3.979,28496,28496,-25.96,36.08
daily_return_pct,75.55,40.6,40.4,34.95,-0.2,3.889,-0.022,28485,28485,34.76,34.95
log_return,75.55,40.6,40.4,34.95,-0.2,3.889,-0.022,28485,28485,34.76,34.95
macd_hist,19.37,45.35,11.25,-25.99,-34.1,-2.861,-3.755,28496,28496,-8.12,34.1
consec_days,72.12,42.36,18.78,29.77,-23.58,3.301,-3.11,29677,37937,6.19,29.77
bb_pctb,69.83,40.93,31.5,28.91,-9.43,3.162,-1.099,28278,28278,19.48,28.91
rvol,53.47,40.2,61.06,13.27,20.86,1.476,2.294,28278,28278,-7.59,20.86
body_pct,57.24,42.65,22.14,14.59,-20.51,1.601,-2.27,28490,28488,-5.92,20.51
adx_14,38.67,40.78,57.29,-2.11,16.52,-0.232,1.796,28197,28197,-14.4,16.52
