symbol,entry_date,exit_date,signal_date,tier,body_pct,atr_change_3d,stock_pnl,stock_return,source,pnl,return_pct,contracts,position_size,option_entry,option_exit,option_ticker,backtest
OXY,2020-01-08,2020-01-27,2020-01-07,B,0.1727272727272769,12.80230475068469,-49847.812008172026,-9.969562401634406,option,-85057.5,-85.0,1250,100000,0.8,0.12,O:OXY200117C00046000,hybrid
DXCM,2020-01-09,2020-02-06,2020-01-08,A,0.3525382755842045,7.719977615638358,23953.49058750005,1.5968993725000036,option,-198866.277,-99.55223880597015,298,200000,6.7,0.03,O:DXCM200117C00240000,hybrid
CRM,2020-01-10,2020-02-07,2020-01-09,A,0.2911877394635965,5.242383804994033,31676.54319999997,3.167654319999998,option,12533.71,6.372549019607837,980,200000,2.04,2.17,O:CRM200117C00180000,hybrid
KWEB,2020-01-10,2020-01-24,2020-01-09,B,-0.2083333333333376,3.6385447261927517,-29385.662356709527,-5.8771324713419055,option,-83009.93114754099,-83.008356545961,1132,100000,0.8827868852459017,0.15,O:KWEB200221C00055000,hybrid
CRWD,2020-01-13,2020-02-10,2020-01-10,B,0.3086956521739138,-2.24835724522342,205006.45388999992,10.250322694499996,option,-1386.3135,-1.28755364806868,429,100000,2.33,2.3,O:CRWD200124C00057000,hybrid
TQQQ,2020-01-14,2020-02-11,2020-01-13,A,0.8172478206724779,4.0145891016271635,73908.04270999998,14.781608541999995,option,-75487.11249999997,-37.704918032786885,655,200000,3.05,1.9,O:TQQQ200221C00101000,hybrid
UBER,2020-01-14,2020-02-11,2020-01-13,C,-0.1898734177215157,-0.41344827276329965,411239.824935,20.561991246750004,stock,411239.824935,20.561991246750004,0,2000000,,,,hybrid
QQQ,2020-01-15,2020-02-12,2020-01-14,C,-0.4557823129251619,-0.6998611952673073,62950.86127500002,6.295086127500002,stock,62950.86127500002,6.295086127500002,0,1000000,,,,hybrid
XLC,2020-01-15,2020-01-31,2020-01-14,C,-0.4126984126984238,-2.4495488426811103,-47889.81207935884,-3.192654138623922,stock,-47889.81207935884,-3.192654138623922,0,1500000,,,,hybrid
GS,2020-01-17,2020-02-14,2020-01-16,A,0.7548746518105864,16.130312007085216,-26760.522689999954,-5.352104537999991,option,-157920.98,-78.94736842105263,526,200000,3.8,0.8,O:GS200221C00255000,hybrid
NKE,2020-01-21,2020-01-27,2020-01-17,B,0.9090909090909092,-4.3008341950943425,-70997.37344990733,-4.733158229993823,option,-62228.87999999998,-62.18487394957983,840,100000,1.19,0.45,O:NKE200221C00106000,hybrid
VRTX,2020-01-22,2020-02-19,2020-01-21,C,-0.4545454545454539,-4.783283556424968,53619.81184000002,5.361981184000002,stock,53619.81184000002,5.361981184000002,0,1000000,,,,hybrid
GOOGL,2020-01-23,2020-01-27,2020-01-22,B,-0.3102678571428633,6.421475590662776,-20397.17390510233,-4.079434781020465,option,-58842.9765,-59.149784124875445,33,100000,30.11,12.3,O:GOOGL200221C01520000,hybrid
LULU,2020-01-23,2020-02-20,2020-01-22,B,0.3378378378378369,-2.468630116126607,85745.02885,8.574502885,option,28485.925,28.664495114006527,325,100000,3.07,3.95,O:LULU200221C00250000,hybrid
MS,2020-01-23,2020-01-30,2020-01-22,B,-0.4848484848484878,9.987064329973403,-70411.47281098405,-4.694098187398937,option,-76237.893,-76.19047619047619,4761,100000,0.21,0.05,O:MS200221C00058000,hybrid
XLK,2020-01-23,2020-02-20,2020-01-22,C,-0.3421052631578805,-1.5364028032335413,62907.92231249996,4.193861487499998,stock,62907.92231249996,4.193861487499998,0,1500000,,,,hybrid
AAPL,2020-01-24,2020-02-21,2020-01-23,B,0.3350383631713539,-6.120377544298431,-11735.36981249998,-2.347073962499996,option,-72833.9285,-73.27365728900256,127,100000,7.82,2.09,O:AAPL200221C00327500,hybrid
SHOP,2020-01-24,2020-02-21,2020-01-23,A,0.3446153846153856,3.047344096160142,48692.38431600005,9.73847686320001,option,-199409.845,-99.90476190476191,190,200000,10.5,0.01,O:SHOP200131C00475000,hybrid
BYND,2020-01-27,2020-02-24,2020-01-24,B,-0.4186046511627916,10.24821306371867,-74580.13760000005,-4.972009173333336,option,-90122.824,-90.19607843137256,178,100000,5.609999999999999,0.55,O:BYND200221C00145000,hybrid
HUBS,2020-01-27,2020-02-24,2020-01-24,B,-0.3488773747841128,0.9704588320012568,-5898.87096000001,-0.3932580640000007,option,41527.464000000014,41.76829268292685,304,100000,3.28,4.65,O:HUBS200221C00190000,hybrid
MA,2020-01-27,2020-02-24,2020-01-24,C,-0.5343455188679233,-0.6668893792639513,29350.61489499998,2.935061489499998,stock,29350.61489499998,2.935061489499998,0,1000000,,,,hybrid
TMO,2020-01-27,2020-01-30,2020-01-24,B,-0.5561843168957149,7.351871747262736,-64950.62871476021,-3.2475314357380105,option,-66846.26999999999,-67.00782661047562,60,100000,16.61,5.48,O:TMO200221C00320000,hybrid
V,2020-01-27,2020-02-24,2020-01-24,B,-0.6402116402116367,5.210222996336432,-31153.543643686087,-2.0769029095790725,option,10594.191776315778,10.720713000257073,325,100000,3.070789473684211,3.4,O:V200221C00205000,hybrid
VALE,2020-01-27,2020-01-30,2020-01-24,B,-0.7954545454545455,7.409852965514986,-10124.43031140135,-2.02488606228027,option,-35557.2375,-35.48387096774193,3225,100000,0.31,0.2,O:VALE200221C00012500,hybrid
NEM,2020-01-28,2020-02-25,2020-01-27,B,-0.242152466367709,5.647075572670653,110455.928175,11.0455928175,option,-51098.40999999999,-51.06382978723404,1063,100000,0.94,0.46,O:NEM200221C00045000,hybrid
TWLO,2020-01-28,2020-02-25,2020-01-27,A,0.5960591133004915,7.4605357905426635,-83608.60079000004,-8.360860079000004,option,-117555.011875,-58.71604938271605,395,200000,5.0625,2.09,O:TWLO200221C00128000,hybrid
ETSY,2020-01-29,2020-02-26,2020-01-28,B,0.0285714285714297,4.382190755227882,24374.793479999986,1.6249862319999988,option,10604.685000000014,10.714285714285724,714,100000,1.4,1.55,O:ETSY200221C00052000,hybrid
XLU,2020-01-29,2020-02-26,2020-01-28,A,0.3134328358208854,5.011845136068697,-26666.077857500124,-1.7777385238333414,option,412328.6475,206.38297872340425,4255,200000,0.47,1.44,O:XLU200221C00069000,hybrid
MCD,2020-01-30,2020-02-27,2020-01-29,A,0.4896026207093021,14.310317287504398,-84495.6444722715,-5.6330429648181,option,-157866.08639999994,-78.87841312599485,2816,200000,0.7101739130434781,0.15,O:MCD200221C00220000,hybrid
NOW,2020-01-30,2020-02-27,2020-01-29,B,-0.5264227642276458,5.735684388233185,-62730.75015899998,-4.182050010599999,option,37631.46500000001,37.878787878787875,151,100000,6.6,9.1,O:NOW200207C00332500,hybrid
ZTS,2020-01-30,2020-02-27,2020-01-29,B,-0.3006535947712468,2.280769616488224,-27794.400674999983,-2.779440067499998,option,-47172.327999999994,-47.15447154471544,406,100000,2.46,1.3,O:ZTS200221C00141000,hybrid
AMT,2020-02-03,2020-02-28,2020-01-31,B,-0.6405867970660153,6.517377961361078,-83663.86238371606,-5.577590825581071,option,-25526.920000000013,-25.531914893617024,212,100000,4.7,3.5,O:AMT200214C00232500,hybrid
LYFT,2020-02-03,2020-02-24,2020-01-31,B,0.0588235294117647,0.8695451662206123,-187041.2682337226,-12.469417882248171,option,-73367.172,-73.433242506812,408,100000,2.4466666666666668,0.65,O:LYFT200320C00050000,hybrid
NFLX,2020-02-03,2020-03-02,2020-01-31,C,-0.358814352574099,-2.611340036353525,192638.09104350003,9.631904552175,stock,192638.09104350003,9.631904552175,0,2000000,,,,hybrid
SMCI,2020-02-03,2020-03-02,2020-01-31,C,-0.6005459508644242,-7.065340534555122,-131405.83008849973,-6.570291504424987,stock,-131405.83008849973,-6.570291504424987,0,2000000,,,,hybrid
EXPE,2020-02-04,2020-02-27,2020-02-03,B,-0.4344569288389497,3.5809894863400387,-164526.36227004274,-8.226318113502137,option,107006.67,107.42857142857143,285,100000,3.5,7.26,O:EXPE200320C00115000,hybrid
PYPL,2020-02-04,2020-02-27,2020-02-03,A,0.6927899686520406,17.29891439337917,-199251.5008032361,-9.962575040161802,option,-7278.035142857147,-3.543307086614185,1377,200000,1.4514285714285715,1.4,O:PYPL200320C00125000,hybrid
RUN,2020-02-04,2020-03-03,2020-02-03,A,0.6486486486486475,6.503816661968587,183237.5463750001,9.161877318750006,option,890174.61,445.45454545454544,3636,200000,0.55,3.0,O:RUN200320C00020000,hybrid
SQ,2020-02-04,2020-03-03,2020-02-03,A,0.9433237271853956,9.940879871226564,-21389.393010000043,-1.425959534000003,option,18390.75,9.302325581395356,930,200000,2.15,2.35,O:SQ200214C00080000,hybrid
AMZN,2020-02-06,2020-02-27,2020-02-05,B,-0.7983085597129669,3.998962379418706,-98580.18220075028,-6.572012146716687,option,-67715.505,-68.10631229235881,33,100000,30.1,9.6,O:AMZN200214C02040000,hybrid
GOOGL,2020-02-10,2020-02-25,2020-02-07,A,0.5910465819721783,1.824081185638081,-130494.08283590492,-6.524704141795247,option,-162517.45,-81.75182481751825,145,200000,13.7,2.5,O:GOOGL200320C01570000,hybrid
IBM,2020-02-10,2020-02-25,2020-02-07,B,-0.4350846374960034,18.287598036672982,-93721.56349580304,-6.248104233053535,option,-99490.9815,-99.73821989528795,261,100000,3.82,0.01,O:IBM200221C00150000,hybrid
ENPH,2020-02-11,2020-03-10,2020-02-10,B,0.8809523809523797,-5.122732224714809,240223.0904500002,16.01487269666668,option,621777.114,623.4848484848485,378,100000,2.64,19.1,O:ENPH200221C00040000,hybrid
ARKK,2020-02-12,2020-02-26,2020-02-11,C,0.1401869158878491,-3.12212790380163,-85911.66535197927,-8.591166535197928,stock,-85911.66535197927,-8.591166535197928,0,1000000,,,,hybrid
BLK,2020-02-13,2020-02-24,2020-02-12,C,-0.3470588235294161,-3.1325830481578927,-48895.88885862637,-4.889588885862636,stock,-48895.88885862637,-4.889588885862636,0,1000000,,,,hybrid
JD,2020-02-13,2020-02-28,2020-02-12,B,0.0630630630630629,1.0024007826831187,-184323.92876231484,-9.216196438115745,option,-44298.70957142857,-44.237288135593225,1186,100000,0.8428571428571429,0.47,O:JD200320C00045000,hybrid
AXP,2020-02-18,2020-02-24,2020-02-14,B,0.6304347826086927,-5.352354362490922,-56186.06923423321,-5.618606923423322,option,-77671.09299999998,-77.68924302788844,796,100000,1.255,0.28,O:AXP200320C00140000,hybrid
NVDA,2020-02-20,2020-02-24,2020-02-19,A,0.948577994829072,35.862622808119475,-61254.37797470183,-12.250875594940364,option,-169374.384516129,-84.77406679764243,304,200000,6.567741935483871,1.0,O:NVDA200320C00330000,hybrid
HD,2020-02-21,2020-02-27,2020-02-20,A,0.6700201207243488,0.7693752852222365,-30089.81784033419,-6.017963568066839,option,-169790.61351351353,-84.93310063990693,430,200000,4.645945945945946,0.7,O:HD200320C00250000,hybrid
AI,2020-02-24,2020-02-25,2020-02-21,B,-0.3355704697986584,8.998443564583123,-57613.447485943456,-5.761344748594346,stock_fallback,-57613.447485943456,-5.761344748594346,0,1000000,,,,hybrid
BYND,2020-02-26,2020-03-09,2020-02-25,C,-0.6004618937644347,-0.03672746516901759,-132181.3750797646,-26.43627501595292,stock,-132181.3750797646,-26.43627501595292,0,500000,,,,hybrid
GLD,2020-02-26,2020-02-28,2020-02-25,B,-0.5741324921135597,37.520858716163694,-37443.62834461111,-3.74436283446111,option,-49119.579779735686,-49.04601571268238,579,100000,1.7270484581497798,0.88,O:GLD200320C00156000,hybrid
PLUG,2020-02-27,2020-03-12,2020-02-26,B,0.1020408163265302,15.023951351784481,-111339.7722809469,-22.26795445618938,option,-95805.4149767442,-95.76354679802955,2118,100000,0.472093023255814,0.02,O:PLUG200320C00004500,hybrid
TEAM,2020-02-27,2020-03-11,2020-02-26,A,0.3828756058158328,12.496941698345857,-145363.86507525627,-9.69092433835042,option,-153812.62499999997,-77.04918032786885,327,200000,6.1,1.4,O:TEAM200320C00148000,hybrid
DXCM,2020-02-28,2020-03-12,2020-02-27,A,0.3314022405128796,17.374780802117094,-183551.56296282436,-18.35515629628243,option,-124246.215,-62.59645937358148,90,200000,22.03,8.24,O:DXCM200320C00270000,hybrid
WDAY,2020-02-28,2020-03-09,2020-02-27,B,0.2291021671826624,6.799859587168664,-191883.3363402685,-12.792222422684569,option,-98837.27749999998,-99.1130820399113,221,100000,4.51,0.04,O:WDAY200306C00170000,hybrid
REGN,2020-03-02,2020-03-27,2020-02-28,A,0.827431979127842,20.760069599604154,18302.89355999992,0.9151446779999958,option,-110644.5,-55.319148936170215,85,200000,23.5,10.5,O:REGN200313C00445000,hybrid
TLT,2020-03-02,2020-03-18,2020-02-28,A,0.4725534370020432,20.732283486414783,-21715.124225293475,-4.343024845058695,option,14120.841,7.164179104477605,597,200000,3.35,3.59,O:TLT200417C00158000,hybrid
VXX,2020-03-03,2020-03-30,2020-03-02,B,-0.1002949852507363,28.54192557561571,2426587.0291200005,121.32935145600004,option,1052913.33,1054.5945945945944,540,100000,1.85,21.36,O:VXX200313C00022000,hybrid
BIIB,2020-03-04,2020-03-12,2020-03-03,B,-0.2129673450070989,13.47235171581366,-276365.5414848181,-13.818277074240909,option,-97800.57499999998,-98.2905982905983,85,100000,11.7,0.2,O:BIIB200313C00320000,hybrid
MRNA,2020-03-04,2020-03-31,2020-03-03,B,0.0532500000000002,10.601655619231595,34493.98889000002,6.898797778000004,option,-31719.0825,-31.66666666666667,555,100000,1.8,1.23,O:MRNA200417C00037000,hybrid
SMCI,2020-03-04,2020-03-12,2020-03-03,C,-0.0107913669064752,-0.9724482840679419,-170532.5512461585,-17.05325512461585,stock,-170532.5512461585,-17.05325512461585,0,1000000,,,,hybrid
NET,2020-03-05,2020-03-12,2020-03-04,A,0.2631578947368401,2.7481968656859053,-276974.7056405218,-18.464980376034784,option,-175042.45499999996,-87.50000000000001,1666,200000,1.2,0.15,O:NET200320C00022500,hybrid
NVO,2020-03-05,2020-03-11,2020-03-04,A,0.7575757575757615,29.826109848953152,-38945.27760372719,-7.789055520745439,option,-199.92,0.0,1666,200000,1.2,1.2,O:NVO200320C00065000,hybrid
O,2020-03-06,2020-03-12,2020-03-05,A,0.3741935483870963,5.800902616366399,-121647.97031576691,-8.109864687717796,option,-145567.26000000004,-72.72727272727273,3636,200000,0.55,0.15,O:O200320C00080000,hybrid
DOCU,2020-03-09,2020-03-12,2020-03-06,B,-0.4716692189892799,4.055605782384729,-109938.42620597155,-10.993842620597157,option,-93053.5,-93.0,200,100000,5.0,0.35,O:DOCU200320C00085000,hybrid
LLY,2020-03-09,2020-03-20,2020-03-06,A,0.7841409691629958,18.393888058845633,-88182.86602323831,-8.81828660232383,option,44994.64650000003,22.637362637362642,439,200000,4.55,5.58,O:LLY200320C00137000,hybrid
MDB,2020-03-11,2020-04-07,2020-03-10,B,-0.0723905723905735,19.22416140988841,10621.48735500002,2.124297471000004,option,-82878.58000000002,-82.82828282828284,101,100000,9.9,1.7,O:MDB200320C00129000,hybrid
WDAY,2020-03-11,2020-03-16,2020-03-10,A,0.2513160634089764,15.023950001717251,-85949.09212965949,-17.1898184259319,option,180997.40599999993,90.66666666666666,2666,200000,0.75,1.43,O:WDAY200320C00160000,hybrid
ZS,2020-03-12,2020-04-08,2020-03-11,B,-0.6847058823529404,10.63259138093675,1095151.4,73.01009333333334,option,318265.7625,318.6046511627907,465,100000,2.15,9.0,O:ZS200320C00038000,hybrid
RIOT,2020-03-13,2020-04-09,2020-03-12,B,-0.0890688259109312,15.33968036844167,159676.122375,31.935224475,option,-50075.0,-50.0,10000,100000,0.1,0.05,O:RIOT200417C00001000,hybrid
VRTX,2020-03-16,2020-04-13,2020-03-13,B,0.1269917914051194,15.444119183385075,250247.17760000005,25.024717760000005,option,51906.784,52.451612903225794,64,100000,15.5,23.63,O:VRTX200403C00212500,hybrid
ABBV,2020-03-17,2020-04-14,2020-03-16,B,-0.5499999999999999,33.383843475400205,41876.49232000001,8.375298464000004,option,-58414.72000000001,-58.4070796460177,884,100000,1.13,0.47,O:ABBV200327C00076000,hybrid
GME,2020-03-18,2020-04-03,2020-03-17,B,-0.3148148148148146,17.190614116550513,-153844.8034992366,-30.76896069984732,option,-97747.12,-97.72727272727273,2272,100000,0.44,0.01,O:GME200417C00004500,hybrid
VEEV,2020-03-18,2020-04-15,2020-03-17,A,0.6742934051144008,20.94118118892326,781549.1253550001,39.07745626775,option,366816.4,183.60000000000002,160,200000,12.5,35.45,O:VEEV200417C00125000,hybrid
PDD,2020-03-19,2020-04-16,2020-03-18,B,0.1173184357541904,10.118624178451482,857785.7760149998,42.88928880075,option,88735.57,88.88888888888889,1111,100000,0.9,1.7,O:PDD200417C00037000,hybrid
OKTA,2020-03-20,2020-04-17,2020-03-19,A,0.4759725400457669,21.17286331634376,281553.78003,28.155378003000003,option,-153123.42,-76.53061224489797,204,200000,9.8,2.3,O:OKTA200327C00115000,hybrid
TWLO,2020-03-23,2020-04-20,2020-03-20,B,0.144200626959248,4.320041741804294,419506.70528000005,27.967113685333334,option,-80005.427,-80.42857142857143,142,100000,7.0,1.37,O:TWLO200403C00085000,hybrid
BIDU,2020-03-24,2020-04-21,2020-03-23,B,0.3699324324324319,-0.05663629523028744,96629.53909499984,6.441969272999989,option,-94236.496,-94.5736434108527,193,100000,5.16,0.28,O:BIDU200403C00095000,hybrid
PTON,2020-03-25,2020-04-22,2020-03-24,B,0.2608695652173911,-2.6721077662081107,267892.48750000005,26.78924875000001,option,702838.395,703.5714285714284,1785,100000,0.56,4.5,O:PTON200417C00028000,hybrid
WMT,2020-03-30,2020-04-27,2020-03-27,C,-0.1439869547492877,-5.7562976011253175,291789.2878653998,14.58946439326999,stock,291789.2878653998,14.58946439326999,0,2000000,,,,hybrid
NOW,2020-03-31,2020-04-28,2020-03-30,A,0.4927122034867092,0.28625293414708597,10560.74271200003,2.112148542400006,option,-56871.45,-28.378378378378383,540,200000,3.7,2.65,O:NOW200515C00350000,hybrid
INTC,2020-04-03,2020-05-01,2020-04-02,B,0.9161676646706584,-5.088868871322816,66189.79379999996,6.618979379999995,option,138093.8715,138.2671480144404,361,100000,2.77,6.6,O:INTC200417C00054000,hybrid
AMT,2020-04-14,2020-05-11,2020-04-13,C,-0.6553352219074576,-0.39871051753162073,-67018.88760000009,-6.701888760000009,stock,-67018.88760000009,-6.701888760000009,0,1000000,,,,hybrid
X,2020-04-14,2020-05-11,2020-04-13,C,-0.4307692307692323,-7.11411003316877,90232.57177999993,18.04651435599998,stock,90232.57177999993,18.04651435599998,0,500000,,,,hybrid
ORCL,2020-04-15,2020-05-12,2020-04-14,B,0.4461538461538458,-11.596922794723868,-18656.56281999996,-1.865656281999996,option,-85493.187,-85.51724137931035,689,100000,1.45,0.21,O:ORCL200424C00053000,hybrid
AMGN,2020-04-16,2020-05-13,2020-04-15,C,-0.5143336235529321,-6.306262188325692,103092.66748000012,5.154633374000007,stock,103092.66748000012,5.154633374000007,0,2000000,,,,hybrid
SPOT,2020-04-16,2020-05-13,2020-04-15,B,0.5581113801452807,-3.542872750784967,63487.147575,6.3487147575,option,-98675.6275,-98.6842105263158,263,100000,3.8,0.05,O:SPOT200424C00140000,hybrid
PFE,2020-04-17,2020-05-14,2020-04-16,C,-0.3503649635036446,-6.695803686509841,56825.75505000007,3.788383670000004,stock,56825.75505000007,3.788383670000004,0,1500000,,,,hybrid
ABT,2020-04-20,2020-05-15,2020-04-17,C,-0.410256410256409,-0.2435907624691067,-105931.51165999984,-5.296575582999992,stock,-105931.51165999984,-5.296575582999992,0,2000000,,,,hybrid
MRVL,2020-04-20,2020-05-15,2020-04-17,C,-0.4189944134078214,-7.299997999398057,38830.34839500008,2.5886898930000046,stock,38830.34839500008,2.5886898930000046,0,1500000,,,,hybrid
UNH,2020-04-21,2020-05-18,2020-04-20,C,-0.4083425942676992,-2.021461534252271,65923.69826500009,6.592369826500008,stock,65923.69826500009,6.592369826500008,0,1000000,,,,hybrid
MMM,2020-04-22,2020-05-19,2020-04-21,C,-0.2735908803039892,-9.541093327347596,33996.44582129999,3.3996445821299988,stock,33996.44582129999,3.3996445821299988,0,1000000,,,,hybrid
W,2020-04-22,2020-05-19,2020-04-21,B,-0.4142011834319529,6.373580086784765,308770.84189999994,61.75416837999998,option,819940.3450000001,825.1533742331288,122,100000,8.15,75.4,O:W200501C00100000,hybrid
SHOP,2020-04-24,2020-05-21,2020-04-23,B,-0.367062818336164,10.690258061400952,427003.39993500005,28.466893329000005,option,-21800.493,-22.305084745762706,33,100000,29.5,22.92,O:SHOP200501C00625000,hybrid
UPS,2020-04-24,2020-05-21,2020-04-23,B,0.4993128721942313,-6.846152715607653,-29730.903749999958,-2.9730903749999955,option,-99284.283,-99.33333333333333,333,100000,3.0,0.02,O:UPS200501C00100000,hybrid
AZN,2020-04-27,2020-05-22,2020-04-24,B,0.6666666666666634,-10.448828958140624,34456.195479999995,6.891239095999999,option,207884.019,208.21917808219177,1369,100000,0.73,2.25,O:AZN200619C00055000,hybrid
JNJ,2020-04-27,2020-05-22,2020-04-24,C,-0.2669172932330725,-5.742314203777045,-34193.786109999994,-6.838757221999998,stock,-34193.786109999994,-6.838757221999998,0,500000,,,,hybrid
NIO,2020-05-04,2020-06-01,2020-05-01,B,-0.57142857142857,12.843323963366238,763849.8854999999,38.192494275,option,22613.647500000014,22.727272727272734,4545,100000,0.22,0.27,O:NIO200619C00004000,hybrid
PYPL,2020-05-06,2020-06-03,2020-05-05,C,0.158576051779938,-5.458811007340745,349316.9315100001,23.287795434000007,stock,349316.9315100001,23.287795434000007,0,1500000,,,,hybrid
TEAM,2020-05-07,2020-06-04,2020-05-06,A,0.3074901445466453,6.1395339258951385,-34898.90865999995,-1.7449454329999976,option,272639.862,136.72727272727272,363,200000,5.5,13.02,O:TEAM200515C00175000,hybrid
RIOT,2020-05-08,2020-06-05,2020-05-07,A,0.5937499999999997,8.71292545020741,484470.9441000001,48.447094410000005,option,213021.34099999996,106.66666666666667,13333,200000,0.15,0.31,O:RIOT200515C00002000,hybrid
TWLO,2020-05-11,2020-06-08,2020-05-08,A,0.7337962962962978,68.14759063803267,184032.99924,9.201649962,option,-137770.98,-68.88888888888889,555,200000,3.6,1.12,O:TWLO200619C00230000,hybrid
DDOG,2020-05-13,2020-06-10,2020-05-12,A,0.7706725468577724,52.32440760437319,259923.80295000013,17.32825353000001,option,-123165.38791666666,-61.52671755725191,1099,200000,1.8194444444444444,0.7,O:DDOG200619C00080000,hybrid
CMG,2020-05-14,2020-06-11,2020-05-13,C,-0.5609304240428185,-0.2474664342555014,219286.18342620015,10.96430917131001,stock,219286.18342620015,10.96430917131001,0,2000000,,,,hybrid
MDB,2020-05-14,2020-06-11,2020-05-13,B,-0.0291734197730944,8.729873579887142,51981.05260000001,3.465403506666667,option,206796.5,206.99999999999997,100,100000,10.0,30.7,O:MDB200522C00190000,hybrid
BYND,2020-05-15,2020-06-12,2020-05-14,B,0.1961244981970832,9.126289073554998,71265.99712000015,7.126599712000015,option,-76291.105,-76.82926829268291,121,100000,8.2,1.9,O:BYND200522C00135000,hybrid
CSCO,2020-05-15,2020-06-12,2020-05-14,A,0.3181818181818194,9.83923568980087,97646.35200000004,4.882317600000001,option,12555.681,6.382978723404261,2127,200000,0.94,1.0,O:CSCO200522C00043000,hybrid
PANW,2020-05-18,2020-06-15,2020-05-15,A,0.6880341880341868,4.534966469678511,1348.0833125000008,0.13480833125,option,-149105.19000000003,-74.609375,156,200000,12.8,3.25,O:PANW200529C00225000,hybrid
NOW,2020-05-20,2020-06-17,2020-05-19,B,0.4793187347931858,-6.406258786782038,26292.98669999994,2.629298669999994,option,-94102.875,-94.14414414414414,90,100000,11.1,0.65,O:NOW200529C00390000,hybrid
NVDA,2020-05-20,2020-06-17,2020-05-19,B,0.0468124422543889,7.075479669273187,26235.768303000117,2.6235768303000118,option,-85443.64875,-86.38743455497384,69,100000,14.325,1.95,O:NVDA200619C00380000,hybrid
CVNA,2020-05-21,2020-06-18,2020-05-20,C,0.018487394957983,-1.2411734771854144,513418.27764,34.227885176,stock,513418.27764,34.227885176,0,1500000,,,,hybrid
ARKK,2020-05-22,2020-06-19,2020-05-21,C,0.0874364719383553,-5.622334343805903,193829.55139,9.691477569500002,stock,193829.55139,9.691477569500002,0,2000000,,,,hybrid
SPOT,2020-05-22,2020-06-19,2020-05-21,A,0.3993902439024396,23.595338991313184,101760.03641999996,20.352007283999995,stock_fallback,101760.03641999996,20.352007283999995,0,500000,,,,hybrid
HUBS,2020-05-27,2020-06-23,2020-05-26,C,-0.6873290793072008,-4.932821140809167,180251.58606,18.025158606,stock,180251.58606,18.025158606,0,1000000,,,,hybrid
LULU,2020-05-27,2020-06-23,2020-05-26,C,-0.2032085561497296,-1.0689245882079876,69243.4576900001,6.924345769000009,stock,69243.4576900001,6.924345769000009,0,1000000,,,,hybrid
LOW,2020-05-28,2020-06-24,2020-05-27,B,0.5192307692307667,-1.42471610424634,22879.73691999988,2.287973691999988,option,-73323.27,-73.33333333333333,444,100000,2.25,0.6,O:LOW200605C00129000,hybrid
MARA,2020-05-28,2020-06-24,2020-05-27,C,-0.2092050209205024,-11.554102110069572,154569.43954154995,30.913887908309995,stock,154569.43954154995,30.913887908309995,0,500000,,,,hybrid
QQQ,2020-05-29,2020-06-25,2020-05-28,C,0.2126696832579186,-0.08463182369220065,133324.80182999995,6.666240091499997,stock,133324.80182999995,6.666240091499997,0,2000000,,,,hybrid
SQ,2020-05-29,2020-06-25,2020-05-28,C,-0.4216867469879501,-1.3691669100038995,469530.056685,31.302003779,stock,469530.056685,31.302003779,0,1500000,,,,hybrid
X,2020-05-29,2020-06-25,2020-05-28,C,-0.4931506849315057,-0.6404240440586916,-37721.87924999997,-7.544375849999994,stock,-37721.87924999997,-7.544375849999994,0,500000,,,,hybrid
UBER,2020-06-01,2020-06-26,2020-05-29,B,0.8734693877551013,-0.5732920480885297,-170105.13225000002,-17.010513225,option,-63212.40599999999,-63.15789473684211,877,100000,1.14,0.42,O:UBER200717C00040000,hybrid
