condition,hold_days,pooled_n,pooled_mean_bps,pooled_excess_bps,pooled_t_stat,pooled_win_rate,uncond_mean_bps,symbols_tested,symbols_pos_t2,symbols_neg_t2,consistency_pct,total_obs_across_symbols,p_value,rank,bh_threshold,bh_significant
within_2pct_of_52w_high,5,60239,21.77,-20.57,-12.785,54.4,42.35,196,10,51,5.1,59866,0.0,2,0.00030864197530864197,True
within_5pct_of_52w_high,5,125851,28.72,-13.63,-11.316,54.7,42.35,212,17,45,8.0,125631,0.0,1,0.00015432098765432098,True
within_2pct_of_52w_high,3,60259,12.56,-13.36,-10.833,53.7,25.92,196,7,39,3.6,59886,0.0,5,0.0007716049382716049,True
roc20_above_15pct,5,52768,90.95,48.6,9.94,52.4,42.35,205,31,21,15.1,52440,0.0,10,0.0015432098765432098,True
gap_up_100_closed_weak,1,26529,34.63,26.17,9.822,53.1,8.46,217,30,1,13.8,26249,0.0,3,0.00046296296296296303,True
within_5pct_of_52w_high,3,125898,17.44,-8.48,-9.182,54.1,25.92,212,11,28,5.2,125678,0.0,7,0.001080246913580247,True
dist_sma200_above_20pct,5,89635,69.23,26.88,9.08,53.1,42.35,212,26,41,12.3,89485,0.0,4,0.0006172839506172839,True
roc10_above_10pct,5,53785,86.72,44.37,8.862,52.2,42.35,210,31,19,14.8,53494,0.0,11,0.001697530864197531,True
5_up_days,3,19054,-3.07,-28.99,-8.665,50.3,25.92,216,7,42,3.2,18739,0.0,9,0.001388888888888889,True
within_2pct_of_52w_high,2,60261,8.48,-8.66,-8.622,53.3,17.13,196,6,27,3.1,59888,0.0,8,0.0012345679012345679,True
3_up_days,5,75202,22.12,-20.23,-8.606,52.6,42.35,230,5,36,2.2,75202,0.0,6,0.0009259259259259261,True
within_5pct_of_52w_high,2,125925,11.37,-5.76,-7.673,53.6,17.13,212,8,24,3.8,125705,1.687538997430238e-14,12,0.0018518518518518521,True
4_up_days,3,37950,6.51,-19.41,-7.528,51.2,25.92,230,5,36,2.2,37950,5.1514348342607263e-14,13,0.002006172839506173,True
gap_up_100_closed_weak,3,26492,93.23,67.32,7.437,54.1,25.92,217,39,1,18.0,26212,1.0302869668521453e-13,14,0.002160493827160494,True
4_up_days,5,37937,18.78,-23.57,-7.427,52.5,42.35,230,8,44,3.5,37937,1.1102230246251565e-13,15,0.0023148148148148147,True
5_down_days,2,14113,47.09,29.96,7.283,53.9,17.13,220,28,3,12.7,13890,3.26405569239796e-13,16,0.0024691358024691358,True
roc20_above_15pct,3,52793,52.65,26.73,7.235,51.4,25.92,205,15,15,7.3,52465,4.656275365277907e-13,17,0.0026234567901234573,True
oversold_combo,1,8078,49.93,41.47,7.22,54.0,8.46,146,9,1,6.2,6351,5.198064201294983e-13,18,0.002777777777777778,True
3_up_days,3,75219,12.46,-13.45,-6.968,51.6,25.92,230,5,33,2.2,75219,3.2147617901046033e-12,19,0.002932098765432099,True
5_up_days,5,19045,13.01,-29.33,-6.898,52.4,42.35,216,8,39,3.7,18730,5.274003456179344e-12,20,0.0030864197530864196,True
5_up_days,2,19054,-1.77,-18.9,-6.8,50.2,17.13,216,3,32,1.4,18739,1.0461853605647775e-11,21,0.003240740740740741,True
gap_up_100_closed_weak,2,26496,62.75,45.62,6.763,53.7,17.13,217,42,1,19.4,26216,1.3516299190996506e-11,22,0.003395061728395062,True
roc20_below_neg15pct,5,39396,106.9,64.55,6.718,52.8,42.35,193,43,7,22.3,38774,1.8423484959839698e-11,23,0.003549382716049383,True
dist_sma20_above_5pct,5,96605,62.89,20.55,6.682,52.5,42.35,227,29,30,12.8,96561,2.3570256857397e-11,24,0.0037037037037037043,True
stoch_overbought,5,115150,30.84,-11.51,-6.676,53.4,42.35,230,12,42,5.2,115150,2.4555246724844437e-11,25,0.0038580246913580245,True
dist_sma50_below_neg10pct,5,64709,84.29,41.94,6.674,52.8,42.35,223,56,5,25.1,64619,2.4892310435120635e-11,26,0.004012345679012346,True
dist_sma200_above_20pct,3,89695,39.82,13.9,6.471,52.3,25.92,212,16,32,7.5,89545,9.735634520779968e-11,27,0.004166666666666667,True
gap_up_100_closed_weak,5,26430,99.99,57.64,6.441,54.3,42.35,217,27,3,12.4,26153,1.186888365367622e-10,28,0.004320987654320988,True
stoch_overbought,3,115177,17.18,-8.74,-6.359,52.4,25.92,230,4,29,1.7,115177,2.0307133752339723e-10,29,0.00447530864197531,True
5_down_days,1,14113,28.59,20.13,6.215,53.5,8.46,220,5,4,2.3,13890,5.132465563661981e-10,30,0.004629629629629629,True
roc20_above_15pct,2,52804,35.75,18.62,6.21,50.9,17.13,205,9,12,4.4,52476,5.298459448965787e-10,31,0.004783950617283951,True
rvol_20d_below_15,5,63848,21.95,-20.39,-6.18,54.6,42.35,132,17,31,12.9,63422,6.410159070213695e-10,32,0.0049382716049382715,True
rvol_20d_above_40,5,187947,70.88,28.53,6.17,51.6,42.35,226,35,6,15.5,187858,6.828999588037732e-10,33,0.005092592592592593,True
gap_up_100_closed_strong,5,28180,8.7,-33.64,-6.156,50.9,42.35,224,0,13,0.0,28074,7.460523310243161e-10,34,0.0052469135802469145,True
at_20d_high,5,79606,24.39,-17.96,-6.118,53.6,42.35,220,6,43,2.7,79392,9.475706885808677e-10,35,0.005401234567901234,True
weak_trend_adx_below_15,5,93063,29.77,-12.57,-6.105,52.3,42.35,230,34,40,14.8,93063,1.0280067908041701e-09,36,0.005555555555555556,True
4_down_days,3,29719,49.25,23.33,6.0,53.0,25.92,230,29,6,12.6,29719,1.973175400848959e-09,37,0.005709876543209876,True
dist_sma50_below_neg10pct,3,64891,55.56,29.64,5.896,51.8,25.92,223,43,3,19.3,64801,3.7241896233553007e-09,38,0.005864197530864198,True
rsi_below_30,5,21918,131.09,88.74,5.893,56.1,42.35,226,70,4,31.0,21815,3.792464120522254e-09,39,0.006018518518518519,True
rsi_below_30,3,21980,97.73,71.81,5.866,54.6,25.92,227,60,2,26.4,21904,4.464338010379265e-09,40,0.006172839506172839,True
roc10_above_10pct,3,53807,47.11,21.19,5.724,50.9,25.92,210,14,18,6.7,53516,1.0404474837244493e-08,41,0.0063271604938271615,True
oversold_combo,3,8077,88.52,62.6,5.716,55.5,25.92,146,24,5,16.4,6350,1.0906073821814743e-08,42,0.006481481481481482,True
4_down_days,2,29719,33.4,16.27,5.679,53.0,17.13,230,16,5,7.0,29719,1.3548447919120576e-08,43,0.006635802469135802,True
5_down_days,3,14113,54.59,28.68,5.672,53.1,25.92,220,35,5,15.9,13890,1.411399774831068e-08,44,0.006790123456790124,True
roc20_below_neg15pct,3,39481,69.46,43.54,5.609,51.7,25.92,193,27,3,14.0,38853,2.0349902429828148e-08,45,0.006944444444444444,True
stoch_overbought,2,115179,11.01,-6.13,-5.571,51.8,17.13,230,4,23,1.7,115179,2.532813292432934e-08,46,0.007098765432098766,True
within_2pct_of_52w_high,1,60267,4.57,-3.89,-5.554,52.4,8.46,196,3,10,1.5,59894,2.7920548095750064e-08,47,0.007253086419753087,True
rvol_20d_above_40,3,188136,40.56,14.65,5.539,50.9,25.92,226,17,2,7.5,188047,3.0420364449668114e-08,48,0.0074074074074074086,True
gap_up_100bps,3,83912,45.91,20.0,5.517,52.0,25.92,229,6,2,2.6,83890,3.448354335411352e-08,49,0.007561728395061729,True
at_20d_high,3,79621,13.5,-12.41,-5.387,52.7,25.92,220,4,31,1.8,79407,7.164343429622022e-08,50,0.007716049382716049,True
dist_sma200_above_20pct,2,89729,26.37,9.24,5.352,52.2,17.13,212,6,23,2.8,89579,8.698739883961082e-08,51,0.007870370370370371,True
gap_up_100_closed_strong,3,28188,2.79,-23.12,-5.298,51.2,25.92,224,1,11,0.4,28082,1.1707796665483272e-07,52,0.008024691358024692,True
rvol_20d_below_15,3,63865,12.22,-13.69,-5.287,53.9,25.92,132,8,28,6.1,63437,1.2433863982863613e-07,53,0.008179012345679013,True
macd_cross_below,1,22629,-1.61,-10.07,-5.215,51.1,8.46,229,1,9,0.4,22604,1.8381723521088134e-07,54,0.008333333333333333,True
within_5pct_of_52w_high,1,125941,5.69,-2.77,-5.211,52.6,8.46,212,2,10,0.9,125721,1.8782545230244807e-07,55,0.008487654320987654,True
rvol_20d_above_40,2,188241,25.14,8.01,5.172,50.4,17.13,226,7,3,3.1,188152,2.3160158457713464e-07,56,0.008641975308641976,True
macd_cross_below,2,22618,3.13,-14.0,-5.094,51.1,17.13,229,1,5,0.4,22593,3.5058676473020967e-07,57,0.008796296296296297,True
gap_up_50bps,3,157978,36.49,10.58,5.064,52.3,25.92,230,1,2,0.4,157978,4.105496462791791e-07,58,0.00895061728395062,True
oversold_combo,5,8049,108.69,66.34,5.05,56.5,42.35,146,27,7,18.5,6343,4.4181006453314353e-07,59,0.009104938271604938,True
gap_up_100bps,2,84046,31.21,14.07,4.949,51.6,17.13,229,5,3,2.2,84024,7.459574704604677e-07,60,0.009259259259259259,True
gap_down_100bps,5,77341,63.4,21.05,4.843,52.7,42.35,229,2,2,0.9,77312,1.278932887149864e-06,61,0.009413580246913581,True
4_up_days,2,37952,7.12,-10.02,-4.73,51.1,17.13,230,5,20,2.2,37952,2.2451983707760803e-06,62,0.009567901234567902,True
roc20_above_15pct,1,52813,18.49,10.03,4.728,50.1,8.46,205,3,5,1.5,52485,2.267421852275575e-06,63,0.009722222222222224,True
gap_up_50bps,2,158146,24.86,7.73,4.7,52.0,17.13,230,2,2,0.9,158146,2.6016149077268125e-06,64,0.009876543209876543,True
dist_sma50_below_neg10pct,2,64942,36.3,19.17,4.639,51.0,17.13,223,26,3,11.7,64852,3.500990535476589e-06,65,0.010030864197530864,True
weak_trend_adx_below_15,3,93119,18.54,-7.38,-4.635,51.9,25.92,230,21,28,9.1,93119,3.5693747990617197e-06,66,0.010185185185185186,True
big_red_candle_5pct,5,19859,87.45,45.11,4.63,50.5,42.35,160,4,1,2.5,18715,3.656657327155699e-06,67,0.010339506172839507,True
rsi_below_30,2,21980,63.26,46.13,4.545,53.0,17.13,227,31,3,13.7,21904,5.493525410571465e-06,68,0.010493827160493829,True
gap_up_100bps,5,83818,60.12,17.78,4.471,52.6,42.35,229,3,3,1.3,83796,7.78546984392392e-06,69,0.010648148148148148,True
gap_up_200bps,2,32293,38.71,21.58,4.451,50.6,17.13,216,3,3,1.4,32031,8.54713418485531e-06,70,0.010802469135802469,True
dist_sma200_above_10pct,5,178418,51.3,8.95,4.382,53.4,42.35,226,22,41,9.7,178365,1.1759480925910282e-05,71,0.010956790123456791,True
3down_oversold_vol,5,5124,119.32,76.97,4.372,57.5,42.35,41,3,2,7.3,1451,1.231135255075344e-05,72,0.011111111111111112,True
macd_cross_below,3,22615,10.98,-14.93,-4.369,51.7,25.92,229,2,10,0.9,22590,1.2481676661790786e-05,73,0.011265432098765434,True
3_up_days,2,75230,9.99,-7.14,-4.331,51.2,17.13,230,3,26,1.3,75230,1.484336818791121e-05,74,0.011419753086419753,True
dist_sma50_above_10pct,5,77560,57.42,15.07,4.321,51.7,42.35,217,15,57,6.9,77378,1.5532367385606705e-05,75,0.011574074074074073,True
at_20d_high,2,79625,9.02,-8.11,-4.311,52.4,17.13,220,3,21,1.4,79411,1.6251790561305768e-05,76,0.011728395061728396,True
gap_down_200bps,5,31049,82.23,39.88,4.299,51.9,42.35,221,3,3,1.4,30895,1.7157047261795455e-05,77,0.011882716049382716,True
rvol_20d_below_15,2,63871,8.07,-9.06,-4.282,53.4,17.13,132,5,18,3.8,63442,1.8522098219397876e-05,78,0.012037037037037039,True
dist_sma20_above_5pct,3,96642,35.63,9.72,4.217,51.4,25.92,227,16,24,7.0,96598,2.475739751672812e-05,79,0.01219135802469136,True
rsi_below_20,1,1758,78.25,69.79,4.194,56.5,8.46,3,0,0,0.0,115,2.7407798048217913e-05,80,0.012345679012345678,True
5_up_days,1,19055,-0.32,-8.78,-4.168,49.5,8.46,216,2,11,0.9,18740,3.0728393478174354e-05,81,0.012499999999999999,True
stoch_overbought,1,115188,5.22,-3.24,-4.089,50.9,8.46,230,0,14,0.0,115188,4.332368531634323e-05,82,0.012654320987654323,True
doji_body_lt_10pct,1,58760,3.4,-5.06,-4.07,50.9,8.46,230,1,4,0.4,58760,4.701313773725069e-05,83,0.012808641975308644,True
rsi_below_30,1,21982,37.34,28.88,4.038,52.9,8.46,227,17,3,7.5,21906,5.390885314993099e-05,84,0.012962962962962964,True
oversold_combo,2,8077,47.08,29.95,4.01,53.6,17.13,146,7,4,4.8,6350,6.071874785318343e-05,85,0.013117283950617283,True
gap_up_200bps,3,32254,55.03,29.11,3.99,50.4,25.92,216,4,2,1.9,31992,6.607329525887273e-05,86,0.013271604938271604,True
