feature,hold,ls_mean,long_mean,short_mean,pct_long,pct_short,long_sr,short_sr,ls_sr,symmetric
z_sma8_slope_3d,1,27.58,11.71,15.87,42.5,57.5,0.83,1.5,2.23,True
z_sma8_slope_5d,1,26.2,10.92,15.28,41.7,58.3,0.77,1.44,2.12,True
z_sma8_slope_10d,1,31.3,12.84,18.46,41.0,59.0,0.94,1.74,2.59,True
z_sma12_slope_3d,1,31.3,13.56,17.75,43.3,56.7,0.97,1.67,2.52,True
z_sma12_slope_5d,1,30.57,12.53,18.04,41.0,59.0,0.91,1.69,2.5,True
z_sma12_slope_10d,1,35.52,15.09,20.43,42.5,57.5,1.11,1.93,2.98,True
z_sma20_slope_3d,1,40.63,17.25,23.38,42.5,57.5,1.23,2.26,3.32,True
z_sma20_slope_5d,1,41.16,17.97,23.19,43.7,56.3,1.28,2.24,3.39,True
z_sma20_slope_10d,1,44.88,19.42,25.46,43.3,56.7,1.42,2.47,3.81,True
z_sma50_slope_3d,1,67.52,31.07,36.45,46.0,54.0,2.2,3.62,5.42,True
z_sma50_slope_5d,1,68.45,31.16,37.29,45.5,54.5,2.23,3.72,5.58,True
z_sma50_slope_10d,1,70.24,31.9,38.34,45.4,54.6,2.3,3.79,5.81,True
z_sma100_slope_3d,1,58.01,25.91,32.1,44.7,55.3,1.97,3.22,5.2,True
z_sma100_slope_5d,1,58.2,25.95,32.25,44.6,55.4,1.99,3.23,5.27,True
z_sma100_slope_10d,1,55.46,23.95,31.52,43.2,56.8,1.85,3.14,5.09,True
z_sma200_slope_3d,1,53.35,26.6,26.75,49.9,50.1,1.46,2.74,3.12,True
z_sma200_slope_5d,1,52.58,25.89,26.69,49.2,50.8,1.42,2.73,3.08,True
z_sma200_slope_10d,1,51.47,24.72,26.75,48.0,52.0,1.37,2.73,3.05,True
z_sma8_slope_3d,5,125.12,51.63,73.49,41.3,58.7,0.79,1.44,2.17,True
z_sma8_slope_5d,5,128.32,50.04,78.28,39.0,61.0,0.78,1.52,2.24,True
z_sma8_slope_10d,5,160.02,60.97,99.05,38.1,61.9,0.96,1.93,2.88,True
z_sma12_slope_3d,5,154.95,61.25,93.7,39.5,60.5,0.98,1.84,2.8,True
z_sma12_slope_5d,5,154.62,58.38,96.24,37.8,62.2,0.92,1.86,2.71,True
z_sma12_slope_10d,5,180.8,75.58,105.22,41.8,58.2,1.2,2.03,3.28,True
z_sma20_slope_3d,5,202.2,81.58,120.61,40.3,59.7,1.26,2.38,3.6,True
z_sma20_slope_5d,5,210.95,88.7,122.25,42.0,58.0,1.36,2.41,3.72,True
z_sma20_slope_10d,5,218.09,92.38,125.71,42.4,57.6,1.43,2.46,3.86,True
z_sma50_slope_3d,5,340.22,151.85,188.37,44.6,55.4,2.33,3.7,5.88,True
z_sma50_slope_5d,5,340.41,151.58,188.83,44.5,55.5,2.34,3.72,5.86,True
z_sma50_slope_10d,5,350.96,155.61,195.36,44.3,55.7,2.38,3.85,6.02,True
z_sma100_slope_3d,5,277.58,119.67,157.91,43.1,56.9,1.97,3.13,5.26,True
z_sma100_slope_5d,5,271.1,114.3,156.8,42.2,57.8,1.9,3.1,5.18,True
z_sma100_slope_10d,5,263.0,107.48,155.51,40.9,59.1,1.83,3.06,5.16,True
z_sma200_slope_3d,5,253.89,122.13,131.76,48.1,51.9,1.4,2.69,2.91,True
z_sma200_slope_5d,5,250.13,118.03,132.09,47.2,52.8,1.37,2.71,2.9,True
z_sma200_slope_10d,5,250.77,116.22,134.55,46.3,53.7,1.36,2.76,2.93,True
