symbol,option_ticker,entry_date,entry_time,option_entry_price,exit_date,exit_time,option_exit_price,contracts,position_size,body_quintile,option_return_pct,option_pnl,stock_return_pct,exit_type
KWEB,O:KWEB200221C00055000,2020-01-10,09:30:00,0.8828,2020-01-24,16:00:00,0.15,566,50000,Q2,-83.01,-41504.97,-5.88,STOP
TQQQ,O:TQQQ200221C00101000,2020-01-14,09:30:00,3.05,2020-02-11,16:00:00,10.75,163,50000,Q2,252.46,125397.53,14.78,TIME
UBER,O:UBER200221C00037000,2020-01-14,09:30:00,0.9,2020-02-11,16:00:00,4.39,2222,200000,Q5,387.78,774890.28,20.56,TIME
QQQ,O:QQQ200221C00225000,2020-01-15,09:30:00,2.11,2020-02-12,16:00:00,9.76,473,100000,Q3,362.56,361564.27,6.3,TIME
XLC,O:XLC200221C00057000,2020-01-15,09:30:00,0.55,2020-01-31,16:00:00,0.07,2727,150000,Q4,-87.27,-130980.54,-3.19,STOP
GS,O:GS200221C00255000,2020-01-17,09:30:00,3.8,2020-02-14,16:00:00,0.01,131,50000,Q2,-99.74,-49673.96,-5.35,TIME
NKE,O:NKE200221C00106000,2020-01-21,09:30:00,1.19,2020-01-27,16:00:00,0.45,1260,150000,Q4,-62.18,-93343.32,-4.73,STOP
VRTX,O:VRTX200221C00240000,2020-01-22,09:30:00,7.0,2020-02-19,16:00:00,7.93,142,100000,Q3,13.29,13100.0,5.36,TIME
GOOGL,O:GOOGL200221C01520000,2020-01-23,09:30:00,30.11,2020-01-27,16:00:00,12.3,16,50000,Q2,-59.15,-28529.93,-4.08,STOP
LULU,O:LULU200221C00250000,2020-01-23,09:30:00,3.07,2020-02-20,16:00:00,13.35,325,100000,Q3,334.85,333833.18,8.57,TIME
MS,O:MS200221C00058000,2020-01-23,09:30:00,0.21,2020-01-30,16:00:00,0.05,7142,150000,Q4,-76.19,-114364.85,-4.69,STOP
XLK,O:XLK200221C00100000,2020-01-23,09:30:00,0.7492,2020-02-20,16:00:00,1.8,2002,150000,Q4,140.25,210112.88,4.19,TIME
AAPL,O:AAPL200221C00327500,2020-01-24,09:30:00,7.82,2020-02-21,16:00:00,0.01,63,50000,Q2,-99.87,-49227.66,-2.35,TIME
VALE,O:VALE200221C00012500,2020-01-27,09:30:00,0.31,2020-01-30,16:00:00,0.2,1612,50000,Q2,-35.48,-17773.11,-2.02,STOP
LYFT,O:LYFT200320C00050000,2020-02-03,09:30:00,2.4467,2020-02-24,16:00:00,0.29,613,150000,Q4,-88.15,-132287.55,-12.47,STOP
NFLX,O:NFLX200320C00385000,2020-02-03,09:30:00,4.17,2020-03-02,16:00:00,14.7,479,200000,Q5,252.52,503935.06,9.63,TIME
