symbol,entry_date,exit_date,option_type,option_ticker,option_entry_price,option_exit_price,option_return_pct,contracts,position_size,option_pnl,stock_return_pct,stock_pnl,exit_type,body_quintile
OXY,2020-01-08,2020-01-27,50d_1m,O:OXY200221C00045000,2.4562,0.29,-88.19,203,50000,-44000.8,-9.97,-49847.81,STOP,Q2
DXCM,2020-01-09,2020-02-06,50d_1m,O:DXCM200221C00240000,13.8,10.09,-26.88,108,150000,-40197.01,1.6,23953.49,TIME,Q4
CRM,2020-01-10,2020-02-07,50d_1m,O:CRM200221C00180000,5.1167,7.17,40.13,195,100000,39920.21,3.17,31676.54,TIME,Q3
KWEB,2020-01-10,2020-01-24,30d_1m,O:KWEB200221C00055000,0.8828,0.15,-83.01,566,50000,-41504.97,-5.88,-29385.66,STOP,Q2
KWEB,2020-01-10,2020-01-24,50d_1m,O:KWEB200221C00053000,1.6982,0.35,-79.39,294,50000,-39668.23,-5.88,-29385.66,STOP,Q2
TQQQ,2020-01-14,2020-02-11,30d_1m,O:TQQQ200221C00101000,3.05,10.75,252.46,163,50000,125397.53,14.78,73908.04,TIME,Q2
TQQQ,2020-01-14,2020-02-11,50d_1m,O:TQQQ200221C00096000,5.9,15.82,168.14,84,50000,83236.78,14.78,73908.04,TIME,Q2
UBER,2020-01-14,2020-02-11,30d_1m,O:UBER200221C00037000,0.9,4.39,387.78,2222,200000,774890.28,20.56,411239.82,TIME,Q5
UBER,2020-01-14,2020-02-11,50d_1m,O:UBER200221C00035000,1.64,6.1,271.95,1219,200000,543202.25,20.56,411239.82,TIME,Q5
QQQ,2020-01-15,2020-02-12,30d_1m,O:QQQ200221C00225000,2.11,9.76,362.56,473,100000,361564.27,6.3,62950.86,TIME,Q3
QQQ,2020-01-15,2020-02-12,50d_1m,O:QQQ200221C00220000,4.7472,14.6,207.55,210,100000,206705.65,6.3,62950.86,TIME,Q3
QQQ,2020-01-15,2020-02-12,30d_3m,O:QQQ200417C00225000,5.01,12.75,154.49,199,100000,153849.29,6.3,62950.86,TIME,Q3
QQQ,2020-01-15,2020-02-12,50d_3m,O:QQQ200417C00220000,7.87,16.61,111.05,127,100000,110842.55,6.3,62950.86,TIME,Q3
XLC,2020-01-15,2020-01-31,30d_1m,O:XLC200221C00057000,0.55,0.07,-87.27,2727,150000,-130980.54,-3.19,-47889.81,STOP,Q4
XLC,2020-01-15,2020-01-31,50d_1m,O:XLC200221C00056000,1.02,0.2,-80.39,1470,150000,-120629.67,-3.19,-47889.81,STOP,Q4
GS,2020-01-17,2020-02-14,30d_1m,O:GS200221C00255000,3.8,0.01,-99.74,131,50000,-49673.96,-5.35,-26760.52,TIME,Q2
GS,2020-01-17,2020-02-14,50d_1m,O:GS200221C00250000,6.194,0.05,-99.19,80,50000,-49176.98,-5.35,-26760.52,TIME,Q2
GS,2020-01-17,2020-02-14,50d_3m,O:GS200417C00250000,10.25,2.9,-71.71,48,50000,-35311.56,-5.35,-26760.52,TIME,Q2
NKE,2020-01-21,2020-01-27,30d_1m,O:NKE200221C00106000,1.19,0.45,-62.18,1260,150000,-93343.32,-4.73,-70997.37,STOP,Q4
NKE,2020-01-21,2020-01-27,50d_1m,O:NKE200221C00105000,1.6768,0.58,-65.41,894,150000,-98156.43,-4.73,-70997.37,STOP,Q4
NKE,2020-01-21,2020-01-27,50d_3m,O:NKE200417C00105000,3.64,2.29,-37.09,412,150000,-55742.16,-4.73,-70997.37,STOP,Q4
VRTX,2020-01-22,2020-02-19,30d_1m,O:VRTX200221C00240000,7.0,7.93,13.29,142,100000,13100.0,5.36,53619.81,TIME,Q3
VRTX,2020-01-22,2020-02-19,50d_1m,O:VRTX200221C00235000,9.6,14.26,48.54,104,100000,48339.93,5.36,53619.81,TIME,Q3
GOOGL,2020-01-23,2020-01-27,30d_1m,O:GOOGL200221C01520000,30.11,12.3,-59.15,16,50000,-28529.93,-4.08,-20397.17,STOP,Q2
GOOGL,2020-01-23,2020-01-27,50d_1m,O:GOOGL200221C01485000,43.0,21.6,-49.77,11,50000,-23575.53,-4.08,-20397.17,STOP,Q2
GOOGL,2020-01-23,2020-01-27,50d_3m,O:GOOGL200417C01485000,66.1,41.27,-37.56,7,50000,-17418.58,-4.08,-20397.17,STOP,Q2
LULU,2020-01-23,2020-02-20,30d_1m,O:LULU200221C00250000,3.07,13.35,334.85,325,100000,333833.18,8.57,85745.03,TIME,Q3
LULU,2020-01-23,2020-02-20,50d_1m,O:LULU200221C00242500,6.27,19.6,212.6,159,100000,211741.33,8.57,85745.03,TIME,Q3
MS,2020-01-23,2020-01-30,30d_1m,O:MS200221C00058000,0.21,0.05,-76.19,7142,150000,-114364.85,-4.69,-70411.47,STOP,Q4
MS,2020-01-23,2020-01-30,50d_1m,O:MS200221C00056000,0.68,0.29,-57.35,2205,150000,-86101.94,-4.69,-70411.47,STOP,Q4
MS,2020-01-23,2020-01-30,30d_3m,O:MS200417C00060000,0.5509,0.27,-50.99,2722,150000,-76575.18,-4.69,-70411.47,STOP,Q4
XLK,2020-01-23,2020-02-20,30d_1m,O:XLK200221C00100000,0.7492,1.8,140.25,2002,150000,210112.88,4.19,62907.92,TIME,Q4
XLK,2020-01-23,2020-02-20,50d_1m,O:XLK200221C00098000,1.51,3.65,141.72,993,150000,212245.81,4.19,62907.92,TIME,Q4
AAPL,2020-01-24,2020-02-21,30d_1m,O:AAPL200221C00327500,7.82,0.01,-99.87,63,50000,-49227.66,-2.35,-11735.37,TIME,Q2
AAPL,2020-01-24,2020-02-21,50d_1m,O:AAPL200221C00317500,11.7614,0.01,-99.91,42,50000,-49380.55,-2.35,-11735.37,TIME,Q2
SHOP,2020-01-24,2020-02-21,50d_1m,O:SHOP200221C00465000,30.55,50.1,63.99,16,50000,31215.48,9.74,48692.38,TIME,Q2
