date,day_num,long_exc_bps,short_exc_bps,ls_gross_bps,ls_net_bps,long_raw_bps,short_raw_bps,ls_raw_bps,cum_gross_bps,cum_net_bps,cum_long_bps,cum_short_bps,running_sharpe,current_dd_bps,max_dd_bps,long_turnover_pct,short_turnover_pct,names_changed_long,names_changed_short,cost_bps,n_long,n_short,long_names,short_names
2020-01-02,1,10.26,114.72,124.98,114.98,1.43,67.86,69.29,125.0,115.0,10.3,114.7,,0.0,0.0,100.0,100.0,38,38,10.0,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|ENPH|EQIX|ETSY|EXPE|GLD|HD|IBM|MARA|MCD|MDB|MSTR|NOC|O|OKTA|ORCL|PLD|RIOT|ROKU|RUN|SEDG|SLV|SYK|TEAM|TLT|TWLO|TXN|VEEV|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BAC|BIDU|BMY|CCL|CI|COP|DVN|EOG|FCX|HAL|HCA|HLT|JNJ|JPM|LLY|MAR|MS|NIO|ON|PXD|RCL|SCHW|SLB|SPOT|SWKS|TMO|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-03,2,72.99,9.88,82.87,82.74,65.33,-38.51,26.81,207.8,197.7,83.3,124.6,,0.0,0.0,2.6,0.0,1,0,0.13,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|ENPH|EQIX|ETSY|EXPE|GLD|HD|IBM|MARA|MCD|MSTR|NOC|O|OKTA|ORCL|PLD|RIOT|ROKU|RUN|SBUX|SEDG|SLV|SYK|TEAM|TLT|TWLO|TXN|VEEV|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BAC|BIDU|BMY|CCL|CI|COP|DVN|EOG|FCX|HAL|HCA|HLT|JNJ|JPM|LLY|MAR|MS|NIO|ON|PXD|RCL|SCHW|SLB|SPOT|SWKS|TMO|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-06,3,118.86,69.03,187.89,187.49,110.18,21.91,132.09,395.7,385.2,202.1,193.6,,0.0,0.0,5.3,2.6,2,1,0.39,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|ENPH|EQIX|ETSY|EXPE|GLD|HD|IBM|MARA|MCD|MPC|MSTR|NOC|O|ORCL|PLD|RIOT|ROKU|RUN|SBUX|SEDG|SYK|T|TEAM|TLT|TWLO|TXN|VEEV|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|DVN|EOG|FCX|HAL|HCA|HLT|JNJ|JPM|LLY|MAR|MRK|MS|NIO|ON|PXD|RCL|SCHW|SLB|SPOT|SWKS|TMO|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-07,4,-54.05,10.93,-43.12,-43.52,-61.1,-34.24,-95.34,352.6,341.7,148.1,204.6,,43.5,43.5,5.3,2.6,2,1,0.39,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|DE|ENPH|EQIX|ETSY|EXPE|HD|IBM|MARA|MCD|MPC|MSTR|NOC|O|ORCL|PLD|RIOT|ROKU|RUN|SEDG|SYK|T|TEAM|TLT|TWLO|TXN|UAL|VEEV|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|DVN|EOG|FCX|HAL|HCA|HLT|JNJ|LLY|MAR|MRK|MS|NIO|ON|OXY|PXD|RCL|SCHW|SLB|SPOT|SWKS|TMO|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-08,5,100.2,-6.07,94.14,93.87,90.37,-49.48,40.89,446.7,435.6,248.3,198.5,,0.0,43.5,2.6,2.6,1,1,0.26,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|DE|ENPH|EQIX|ETSY|EXPE|HD|IBM|MARA|MCD|MPC|MSTR|NOC|O|ORCL|PLD|PSX|RIOT|ROKU|RUN|SYK|T|TEAM|TLT|TWLO|TXN|UAL|VEEV|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|DVN|DXCM|EOG|FCX|HAL|HCA|HLT|JNJ|LLY|MAR|MRK|NIO|ON|OXY|PXD|RCL|SCHW|SLB|SPOT|SWKS|TMO|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-09,6,4.89,76.15,81.03,80.38,-2.33,31.36,29.03,527.8,515.9,253.1,274.6,,0.0,43.5,7.9,5.3,3,2,0.66,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|ENPH|EQIX|ETSY|EXPE|HD|IBM|KLAC|LUV|MARA|MCD|MPC|MSTR|NOC|O|ORCL|PLD|PSX|RIOT|ROKU|RUN|SYK|T|TLT|TXN|UAL|VEEV|VLO|VXX|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|DVN|DXCM|EOG|FCX|HAL|HCA|JNJ|KWEB|LLY|MAR|MRK|NIO|ON|OXY|PXD|RCL|SCHW|SLB|SPOT|SWKS|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-10,7,116.51,-34.14,82.36,81.97,108.13,-76.16,31.97,610.1,597.9,369.7,240.5,,0.0,43.5,5.3,2.6,2,1,0.39,38,38,AMC|AMT|BA|BYND|CMCSA|CMG|COST|DE|ENPH|EQIX|ETSY|EXPE|HD|IBM|KLAC|LUV|MARA|MPC|MSTR|NOC|O|ORCL|PLD|PSX|RIOT|ROKU|RUN|SYK|T|TLT|UAL|VEEV|VLO|VXX|VZ|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|CRWD|DVN|DXCM|EOG|FCX|HAL|HCA|JNJ|KWEB|LLY|MAR|NIO|ON|OXY|PXD|RCL|SCHW|SLB|SPOT|SWKS|TSLA|UNH|VALE|VRTX|XBI|XLV|XOP
2020-01-13,8,60.37,12.84,73.21,72.55,53.98,-32.48,21.5,683.3,670.5,430.0,253.3,,0.0,43.5,7.9,5.3,3,2,0.66,38,38,AMC|AMT|BA|CMCSA|CMG|COST|DE|EQIX|ETSY|EXPE|HD|IBM|KLAC|LUV|MARA|MPC|MSTR|O|ORCL|PDD|PLD|PSX|RIOT|ROKU|RUN|SPG|SYK|T|TLT|UAL|UPS|VEEV|VLO|VXX|VZ|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|CRWD|DVN|DXCM|EOG|FCX|HAL|HCA|JNJ|KWEB|LLY|MAR|NIO|ON|OXY|PXD|RCL|SCHW|SLB|SPOT|SWKS|TQQQ|TSLA|UBER|UNH|VALE|XLV|XOP
2020-01-14,9,19.13,29.13,48.26,47.74,13.96,-14.63,-0.66,731.6,718.2,449.2,282.5,,0.0,43.5,5.3,5.3,2,2,0.53,38,38,AAL|AMC|AMT|BA|CMCSA|CMG|COST|DE|EQIX|ETSY|EXPE|HD|KLAC|LUV|MARA|MPC|MSTR|O|ORCL|PDD|PLD|PSX|RIOT|ROKU|RUN|SMCI|SPG|SYK|T|TLT|UAL|VEEV|VLO|VXX|VZ|W|WMT|XLU,ADBE|AMD|AMGN|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|CRWD|DVN|DXCM|EOG|FCX|HAL|HCA|JNJ|KWEB|LLY|MAR|NIO|OXY|PXD|QQQ|RCL|SCHW|SLB|SWKS|TQQQ|TSLA|UBER|UNH|VALE|XLC|XLV|XOP
2020-01-15,10,125.35,-21.13,104.22,103.69,121.21,-67.5,53.71,835.8,821.9,574.5,261.3,,0.0,43.5,5.3,5.3,2,2,0.53,38,38,AAL|AMC|BA|CMCSA|COST|DE|EQIX|ETSY|EXPE|HD|KLAC|LUV|MARA|MPC|MSTR|O|ORCL|PDD|PLD|PSX|RIOT|ROKU|RUN|SLV|SMCI|SPG|SYK|T|TLT|UAL|UPS|VEEV|VLO|VXX|VZ|W|WMT|XLU,ADBE|AMD|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|CRWD|DVN|DXCM|EOG|FCX|HAL|HCA|JD|JNJ|KWEB|LLY|NIO|OXY|PXD|QQQ|RCL|REGN|SCHW|SLB|SWKS|TQQQ|TSLA|UBER|UNH|VALE|XLC|XLV|XOP
2020-01-16,11,5.84,6.07,11.91,11.51,4.44,-38.74,-34.29,847.7,833.4,580.3,267.4,,0.0,43.5,5.3,2.6,2,1,0.39,38,38,AAL|AMC|BA|CMCSA|COST|CVNA|DE|EQIX|ETSY|EXPE|HD|IBM|KLAC|LUV|MARA|MPC|MSTR|O|ORCL|PDD|PLD|PSX|ROKU|RUN|SLV|SMCI|SPG|SYK|T|TLT|UAL|UPS|VEEV|VLO|VXX|VZ|WMT|XLU,ADBE|AMD|ARKK|BABA|BIDU|BMY|CCL|CI|COP|CRM|CRWD|DVN|DXCM|EOG|FCX|GS|HAL|JD|JNJ|KWEB|LLY|NIO|OXY|PXD|QQQ|RCL|REGN|SCHW|SLB|SWKS|TQQQ|TSLA|UBER|UNH|VALE|XLC|XLV|XOP
