symbol,entry_date,exit_date,entry_price,exit_price,shares,notional,gross_pnl,net_pnl,pnl_bps,exit_type,days_held,z_score,year
MRK,2020-01-07,2020-01-07,90.8,90.12,11013,999980.0,-7500.0,-8496.0,-75.0,STOP,1,1.47,2020
OXY,2020-01-08,2020-01-08,45.54,45.2,21958,999967.0,-7500.0,-8496.0,-75.0,STOP,1,1.39,2020
DXCM,2020-01-09,2020-01-09,58.75,58.31,17020,999968.0,-7500.0,-8496.0,-75.0,STOP,1,1.42,2020
KWEB,2020-01-10,2020-01-10,53.32,52.92,18754,999963.0,-7500.0,-8496.0,-75.0,STOP,1,1.32,2020
CRWD,2020-01-13,2020-01-14,57.36,60.23,17433,999957.0,49998.0,48973.0,500.0,TARGET,2,1.38,2020
TQQQ,2020-01-14,2020-01-14,12.07,11.98,82832,999989.0,-7500.0,-8496.0,-75.0,STOP,1,1.33,2020
UBER,2020-01-14,2020-01-14,34.2,33.94,29239,999974.0,-7500.0,-8496.0,-75.0,STOP,1,1.31,2020
CRM,2020-01-10,2020-01-16,179.84,182.69,5560,999910.0,15846.0,14838.0,158.5,TIME,5,1.36,2020
JD,2020-01-16,2020-01-16,40.18,39.88,24888,1000000.0,-7500.0,-8496.0,-75.0,STOP,1,1.33,2020
REGN,2020-01-16,2020-01-16,393.17,390.22,2543,999831.0,-7499.0,-8495.0,-75.0,STOP,1,1.25,2020
GS,2020-01-17,2020-01-17,250.23,248.35,3996,999919.0,-7499.0,-8496.0,-75.0,STOP,1,1.25,2020
QQQ,2020-01-15,2020-01-22,220.18,223.87,4541,999837.0,16756.0,15748.0,167.6,TIME,5,1.29,2020
XLC,2020-01-15,2020-01-22,55.68,56.6,17959,999957.0,16522.0,15514.0,165.2,TIME,5,1.33,2020
NKE,2020-01-21,2020-01-23,104.25,103.47,9592,999966.0,-7500.0,-8496.0,-75.0,STOP,3,1.25,2020
VRTX,2020-01-22,2020-01-23,234.94,233.18,4256,999905.0,-7499.0,-8495.0,-75.0,STOP,2,1.16,2020
MS,2020-01-23,2020-01-23,55.22,54.81,18109,999979.0,-7500.0,-8496.0,-75.0,STOP,1,1.14,2020
GOOGL,2020-01-23,2020-01-24,74.38,73.82,13444,999931.0,-7499.0,-8496.0,-75.0,STOP,2,1.17,2020
LULU,2020-01-23,2020-01-24,242.62,240.8,4121,999837.0,-7499.0,-8495.0,-75.0,STOP,2,1.22,2020
AAPL,2020-01-24,2020-01-24,80.06,79.46,12490,999981.0,-7500.0,-8496.0,-75.0,STOP,1,1.12,2020
SHOP,2020-01-24,2020-01-24,47.4,47.04,21097,999998.0,-7500.0,-8496.0,-75.0,STOP,1,1.23,2020
XLK,2020-01-23,2020-01-27,48.77,48.4,20506,999975.0,-7500.0,-8496.0,-75.0,STOP,3,1.15,2020
BYND,2020-01-27,2020-01-27,119.8,125.79,8347,999971.0,49999.0,48974.0,500.0,TARGET,1,1.26,2020
