date,n_positions_open,realized_pnl_today,cumulative_pnl,current_drawdown,max_drawdown_to_date
2020-01-07,1,0.0,0.0,0.0,0.0
2020-01-08,2,0.0,0.0,0.0,0.0
2020-01-09,3,0.0,0.0,0.0,0.0
2020-01-10,5,0.0,0.0,0.0,0.0
2020-01-13,6,0.0,0.0,0.0,0.0
2020-01-14,8,0.0,0.0,0.0,0.0
2020-01-15,10,0.0,0.0,0.0,0.0
2020-01-16,12,0.0,0.0,0.0,0.0
2020-01-17,13,0.0,0.0,0.0,0.0
2020-01-21,14,-74474.04,-74474.04,74474.04,74474.04
2020-01-22,14,0.0,-74474.04,74474.04,74474.04
2020-01-23,18,0.0,-74474.04,74474.04,74474.04
2020-01-24,20,-92466.86,-166940.9,166940.9,166940.9
2020-01-27,24,-275882.46,-442823.36,442823.36,442823.36
2020-01-28,23,0.0,-442823.36,442823.36,442823.36
2020-01-29,25,0.0,-442823.36,442823.36,442823.36
2020-01-30,28,-150346.25,-593169.61,593169.61,593169.61
2020-01-31,26,-31925.95,-625095.56,625095.56,625095.56
2020-02-03,29,0.0,-625095.56,625095.56,625095.56
2020-02-04,34,0.0,-625095.56,625095.56,625095.56
2020-02-05,35,0.0,-625095.56,625095.56,625095.56
2020-02-06,37,15968.99,-609126.57,609126.57,625095.56
2020-02-07,38,31676.54,-577450.03,577450.03,625095.56
2020-02-10,39,102500.29,-474949.74,474949.74,625095.56
2020-02-11,39,353432.49,-121517.25,121517.25,625095.56
2020-02-12,38,62950.86,-58566.39,58566.39,625095.56
2020-02-13,40,0.0,-58566.39,58566.39,625095.56
2020-02-14,42,-53521.05,-112087.44,112087.44,625095.56
2020-02-18,42,0.0,-112087.44,112087.44,625095.56
2020-02-19,43,53619.81,-58467.63,58467.63,625095.56
2020-02-20,44,127683.64,69216.01,0.0,625095.56
2020-02-21,44,73918.64,143134.65,0.0,625095.56
2020-02-24,44,-650597.73,-507463.08,650597.73,650597.73
2020-02-25,35,-476375.08,-983838.16,1126972.81,1126972.81
2020-02-26,27,-147786.7,-1131624.86,1274759.51,1274759.51
2020-02-27,26,-489347.01,-1620971.87,1764106.52,1764106.52
2020-02-28,20,-299820.88,-1920792.75,2063927.4,2063927.4
2020-03-02,18,30614.55,-1890178.2,2033312.85,2063927.4
2020-03-03,17,366521.53,-1523656.67,1666791.32,2063927.4
2020-03-04,17,2004.68,-1521651.99,1664786.64,2063927.4
2020-03-05,18,0.0,-1521651.99,1664786.64,2063927.4
2020-03-06,20,-168903.16,-1690555.15,1833689.8,2063927.4
2020-03-09,21,-392270.44,-2082825.59,2225960.24,2225960.24
2020-03-10,19,160150.82,-1922674.77,2065809.42,2225960.24
2020-03-11,20,-383002.97,-2305677.74,2448812.39,2448812.39
2020-03-12,19,-1505940.57,-3811618.31,3954752.96,3954752.96
2020-03-13,11,0.0,-3811618.31,3954752.96,3954752.96
2020-03-16,13,-571587.13,-4383205.44,4526340.09,4526340.09
2020-03-17,12,0.0,-4383205.44,4526340.09,4526340.09
2020-03-18,14,-43436.99,-4426642.43,4569777.08,4569777.08
2020-03-19,14,0.0,-4426642.43,4569777.08,4569777.08
2020-03-20,15,-88182.87,-4514825.3,4657959.95,4657959.95
2020-03-23,15,0.0,-4514825.3,4657959.95,4657959.95
2020-03-24,16,0.0,-4514825.3,4657959.95,4657959.95
2020-03-25,17,-111396.56,-4626221.86,4769356.51,4769356.51
2020-03-26,16,0.0,-4626221.86,4769356.51,4769356.51
2020-03-27,16,9151.45,-4617070.41,4760205.06,4769356.51
2020-03-30,16,1212440.88,-3404629.53,3547764.18,4769356.51
2020-03-31,16,68989.91,-3335639.62,3478774.27,4769356.51
2020-04-01,16,0.0,-3335639.62,3478774.27,4769356.51
2020-04-02,16,0.0,-3335639.62,3478774.27,4769356.51
2020-04-03,17,-307689.92,-3643329.54,3786464.19,4769356.51
2020-04-06,16,0.0,-3643329.54,3786464.19,4769356.51
2020-04-07,17,21242.97,-3622086.57,3765221.22,4769356.51
2020-04-08,17,730082.68,-2892003.89,3035138.54,4769356.51
2020-04-09,17,319352.49,-2572651.4,2715786.05,4769356.51
2020-04-13,16,668037.68,-1904613.72,2047748.37,4769356.51
2020-04-14,16,83752.98,-1820860.74,1963995.39,4769356.51
2020-04-15,16,390750.04,-1430110.7,1573245.35,4769356.51
2020-04-16,17,428886.12,-1001224.58,1144359.23,4769356.51
2020-04-17,17,281553.78,-719670.8,862805.45,4769356.51
2020-04-20,18,279655.36,-440015.44,583150.09,4769356.51
2020-04-21,19,64419.69,-375595.75,518730.4,4769356.51
2020-04-22,20,267892.49,-107703.26,250837.91,4769356.51
2020-04-23,19,0.0,-107703.26,250837.91,4769356.51
2020-04-24,21,0.0,-107703.26,250837.91,4769356.51
2020-04-27,23,145894.64,38191.38,104943.27,4769356.51
2020-04-28,23,21122.71,59314.09,83820.56,4769356.51
2020-04-29,24,-126933.59,-67619.5,210754.15,4769356.51
2020-04-30,24,0.0,-67619.5,210754.15,4769356.51
2020-05-01,25,66189.79,-1429.71,144564.36,4769356.51
2020-05-04,25,0.0,-1429.71,144564.36,4769356.51
2020-05-05,25,9990.97,8561.26,134573.39,4769356.51
2020-05-06,25,-10382.98,-1821.72,144956.37,4769356.51
2020-05-07,26,71010.13,69188.41,73946.24,4769356.51
2020-05-08,26,0.0,69188.41,73946.24,4769356.51
2020-05-11,27,113446.25,182634.66,0.0,4769356.51
2020-05-12,25,-18656.56,163978.1,18656.56,4769356.51
2020-05-13,25,-16793.27,147184.83,35449.83,4769356.51
2020-05-14,24,37884.3,185069.13,0.0,4769356.51
2020-05-15,25,-27078.86,157990.27,27078.86,4769356.51
2020-05-18,25,24348.1,182338.37,2730.76,4769356.51
2020-05-19,25,651599.7,833938.07,0.0,4769356.51
2020-05-20,25,0.0,833938.07,0.0,4769356.51
2020-05-21,26,254932.11,1088870.18,0.0,4769356.51
2020-05-22,26,514.23,1089384.41,0.0,4769356.51
2020-05-26,24,-11428.62,1077955.79,11428.62,4769356.51
2020-05-27,25,62635.97,1140591.76,0.0,4769356.51
2020-05-28,27,-48527.36,1092064.4,48527.36,4769356.51
2020-05-29,29,250969.61,1343034.01,0.0,4769356.51
2020-06-01,32,381924.94,1724958.95,0.0,4769356.51
2020-06-02,33,0.0,1724958.95,0.0,4769356.51
2020-06-03,34,232858.23,1957817.18,0.0,4769356.51
2020-06-04,37,132093.09,2089910.27,0.0,4769356.51
2020-06-05,40,484470.94,2574381.21,0.0,4769356.51
2020-06-08,41,92016.5,2666397.71,0.0,4769356.51
2020-06-09,42,0.0,2666397.71,0.0,4769356.51
2020-06-10,46,173282.54,2839680.25,0.0,4769356.51
2020-06-11,47,-32634.24,2807046.01,32634.24,4769356.51
2020-06-12,46,120088.13,2927134.14,0.0,4769356.51
2020-06-15,46,-11888.12,2915246.02,11888.12,4769356.51
2020-06-16,47,87113.72,3002359.74,0.0,4769356.51
2020-06-17,46,52528.76,3054888.5,0.0,4769356.51
2020-06-18,48,115114.42,3170002.92,0.0,4769356.51
2020-06-19,48,300434.85,3470437.77,0.0,4769356.51
2020-06-22,47,0.0,3470437.77,0.0,4769356.51
2020-06-23,49,249495.05,3719932.82,0.0,4769356.51
2020-06-24,49,116324.27,3836257.09,0.0,4769356.51
2020-06-25,47,79480.56,3915737.65,0.0,4769356.51
2020-06-26,46,-247907.26,3667830.39,247907.26,4769356.51
2020-06-29,43,-2617.6,3665212.79,250524.86,4769356.51
2020-06-30,41,-26870.79,3638342.0,277395.65,4769356.51
2020-07-01,42,-138918.9,3499423.1,416314.55,4769356.51
2020-07-02,39,26013.74,3525436.84,390300.81,4769356.51
2020-07-06,35,26298.65,3551735.49,364002.16,4769356.51
2020-07-07,36,-3735.26,3548000.23,367737.42,4769356.51
2020-07-08,38,-16226.77,3531773.46,383964.19,4769356.51
2020-07-09,37,-66046.76,3465726.7,450010.95,4769356.51
2020-07-10,38,496540.07,3962266.77,0.0,4769356.51
2020-07-13,37,460532.7,4422799.47,0.0,4769356.51
2020-07-14,37,637327.5,5060126.97,0.0,4769356.51
2020-07-15,36,7249.0,5067375.97,0.0,4769356.51
2020-07-16,39,1254945.2,6322321.17,0.0,4769356.51
