symbol,signal_date,entry_date,entry_price,z_score,exit_type,exit_day,exit_price,pnl_bps,pnl_dollar_1k,uncapped_bps,mae_bps,mfe_bps,path
AA,2020-06-09,2020-06-10,12.51,2.68,TIME,10,12.2,-247.8,-310.0,-247.8,-1790.6,79.9,d1:-272 d2:-1671 d3:-783 d4:-879 d5:-767 d6:-767 d7:-687 d8:-823 d9:-544 d10:-248
AA,2020-11-25,2020-11-27,20.6,0.91,TIME,10,24.01,1655.3,3410.0,1655.3,-461.2,1733.0,d1:-58 d2:-340 d3:+597 d4:+859 d5:+699 d6:+1519 d7:+1354 d8:+1306 d9:+1024 d10:+1655
AA,2021-04-07,2021-04-08,31.8,0.46,TIME,10,34.26,773.6,2460.0,773.6,-558.2,1490.6,d1:-110 d2:-138 d3:-9 d4:-176 d5:+500 d6:+327 d7:+1204 d8:+1330 d9:+371 d10:+774
AA,2021-09-20,2021-09-21,48.75,0.31,TIME,10,49.18,88.2,430.0,88.2,-875.9,759.0,d1:-646 d2:-164 d3:-39 d4:-53 d5:+576 d6:+457 d7:+375 d8:+39 d9:+209 d10:+88
AA,2022-01-14,2022-01-18,60.5,0.35,TIME,10,56.71,-626.4,-3790.0,-626.4,-1196.7,619.8,d1:-74 d2:-144 d3:+124 d4:-709 d5:-410 d6:+117 d7:+41 d8:-408 d9:-512 d10:-626
AA,2023-12-28,2023-12-29,34.31,2.01,TIME,10,30.03,-1247.4,-4280.0,-1247.4,-1250.4,125.3,d1:-90 d2:-291 d3:-822 d4:-927 d5:-635 d6:-752 d7:-691 d8:-775 d9:-1000 d10:-1247
AA,2024-01-31,2024-02-01,30.08,1.47,TIME,10,26.79,-1093.8,-3290.0,-1093.8,-1497.7,108.0,d1:-130 d2:-196 d3:-1077 d4:-818 d5:-848 d6:-788 d7:-1061 d8:-725 d9:-1406 d10:-1094
AA,2024-04-02,2024-04-03,35.9,1.33,TIME,10,36.09,52.9,190.0,52.9,-261.8,593.3,d1:+357 d2:+14 d3:+164 d4:+123 d5:+256 d6:+81 d7:+92 d8:-195 d9:+187 d10:+53
AA,2024-10-17,2024-10-18,41.77,1.2,TIME,10,40.09,-402.2,-1680.0,-402.2,-556.8,249.0,d1:-14 d2:-60 d3:+60 d4:+26 d5:+60 d6:-160 d7:-86 d8:-194 d9:-290 d10:-402
AA,2025-10-24,2025-10-27,39.74,1.16,TIME,10,37.32,-609.0,-2420.0,-609.0,-1138.7,269.3,d1:+40 d2:-108 d3:-209 d4:-750 d5:-742 d6:-639 d7:-1127 d8:-1007 d9:-765 d10:-609
AA,2025-11-13,2025-11-14,36.82,0.94,TIME,10,41.74,1336.2,4920.0,1336.2,-461.7,1453.0,d1:+209 d2:-282 d3:-73 d4:-27 d5:-269 d6:-130 d7:+516 d8:+646 d9:+1290 d10:+1336
AAL,2020-06-18,2020-06-19,16.89,2.11,TIME,10,12.5,-2599.2,-4390.0,-2599.2,-2883.4,29.6,d1:-527 d2:-1166 d3:-1711 d4:-2279 d5:-2202 d6:-2670 d7:-2114 d8:-2262 d9:-2416 d10:-2599
AAL,2020-09-29,2020-09-30,12.32,0.57,TIME,10,12.22,-81.2,-100.0,-81.2,-259.7,1103.9,d1:-24 d2:+211 d3:+552 d4:+649 d5:+170 d6:+609 d7:+678 d8:+714 d9:+487 d10:-81
AAL,2020-10-05,2020-10-06,13.28,0.54,TIME,10,12.56,-542.2,-720.0,-542.2,-986.4,301.2,d1:-565 d2:-158 d3:-94 d4:-60 d5:-271 d6:-798 d7:-693 d8:-791 d9:-617 d10:-542
AAL,2020-12-16,2020-12-17,16.95,1.41,TIME,10,15.77,-694.9,-1178.0,-694.9,-883.7,25.0,d1:-87 d2:-258 d3:-500 d4:-866 d5:-624 d6:-760 d7:-524 d8:-642 d9:-471 d10:-695
AAL,2021-01-29,2021-02-01,17.25,1.04,TIME,10,17.27,11.6,20.0,11.6,-533.3,487.0,d1:-238 d2:-383 d3:+203 d4:+87 d5:-35 d6:+301 d7:+110 d8:+93 d9:-151 d10:+12
AAL,2021-03-01,2021-03-02,21.28,0.69,TIME,10,25.17,1828.0,3890.0,1828.0,-1099.6,2189.8,d1:+75 d2:+418 d3:-19 d4:-390 d5:+89 d6:+150 d7:+221 d8:+409 d9:+982 d10:+1828
AAL,2021-04-28,2021-04-29,21.94,0.37,TIME,10,20.76,-537.8,-1180.0,-537.8,-569.7,273.5,d1:-292 d2:-100 d3:+5 d4:-237 d5:-169 d6:-205 d7:+27 d8:+27 d9:-169 d10:-538
AAL,2022-04-13,2022-04-14,18.99,1.14,TIME,10,19.43,231.7,440.0,231.7,-273.8,1279.6,d1:+5 d2:-237 d3:+316 d4:+258 d5:+648 d6:+627 d7:+521 d8:-116 d9:-11 d10:+232
AAL,2022-11-08,2022-11-09,14.12,0.52,TIME,10,13.98,-99.2,-140.0,-99.2,-538.2,750.7,d1:-99 d2:+574 d3:+538 d4:+397 d5:+347 d6:-21 d7:-120 d8:-50 d9:-191 d10:-99
AAL,2023-01-19,2023-01-20,16.37,1.53,TIME,10,17.06,421.5,690.0,421.5,-391.0,580.3,d1:-18 d2:-122 d3:-214 d4:-67 d5:+147 d6:+37 d7:-250 d8:-141 d9:+195 d10:+422
AAL,2023-02-06,2023-02-07,16.92,1.6,TIME,10,15.69,-727.0,-1230.0,-727.0,-827.4,307.3,d1:+24 d2:+30 d3:-154 d4:-378 d5:-242 d6:-77 d7:-71 d8:-313 d9:-331 d10:-727
AAL,2023-06-22,2023-06-23,15.94,1.24,TIME,10,18.35,1511.9,2410.0,1511.9,-12.5,1637.4,d1:+201 d2:+314 d3:+885 d4:+1010 d5:+1041 d6:+1255 d7:+1355 d8:+1493 d9:+1217 d10:+1512
AAL,2024-10-15,2024-10-16,12.19,1.12,TIME,10,13.82,1337.2,1630.0,1337.2,-41.0,1370.0,d1:+574 d2:+509 d3:+738 d4:+640 d5:+632 d6:+525 d7:+484 d8:+788 d9:+1157 d10:+1337
AAL,2025-12-09,2025-12-10,14.99,0.72,TIME,10,15.6,406.9,610.0,406.9,-193.5,907.3,d1:+100 d2:-20 d3:-20 d4:+227 d5:+667 d6:+347 d7:+414 d8:+527 d9:+847 d10:+407
AAPL,2020-01-23,2020-01-24,80.06,1.12,TIME,10,81.3,154.9,1240.0,154.9,-563.0,237.3,d1:-61 d2:-353 d3:-80 d4:+128 d5:+113 d6:-335 d7:-362 d8:-44 d9:+37 d10:+155
AAPL,2020-07-13,2020-07-14,94.84,1.32,TIME,10,94.81,-3.2,-30.0,-3.2,-600.5,465.0,d1:+234 d2:+304 d3:+177 d4:+157 d5:+371 d6:+228 d7:+256 d8:-210 d9:-235 d10:-3
AAPL,2020-08-07,2020-08-10,112.6,1.13,TIME,10,124.37,1045.3,11770.0,1045.3,-310.2,1089.5,d1:+11 d2:-286 d3:+36 d4:+214 d5:+205 d6:+178 d7:+263 d8:+276 d9:+504 d10:+1045
AAPL,2021-08-17,2021-08-18,149.8,0.73,TIME,10,151.83,135.5,2030.0,135.5,-353.8,246.3,d1:-230 d2:-207 d3:-107 d4:-6 d5:-12 d6:-96 d7:-151 d8:-80 d9:+222 d10:+136
