symbol,entry_time,entry_date,entry_price,exit_time,exit_date,exit_price,exit_type,stop_price,signal_date,position_size,body_quintile,shares,net_pnl,return_pct,days_held
OXY,09:30:00,2020-01-08,45.54,intraday,2020-01-27,41.043,STOP,41.043,2020-01-07,500000,Q2,10979,-49847.81,-9.97,13
DXCM,09:30:00,2020-01-09,58.7525,16:00:00,2020-02-06,59.75,TIME,52.0512,2020-01-08,1500000,Q4,25530,23953.49,1.6,20
CRM,09:30:00,2020-01-10,179.84,16:00:00,2020-02-07,185.72,TIME,167.8501,2020-01-09,1000000,Q3,5560,31676.54,3.17,20
KWEB,09:30:00,2020-01-10,53.32,intraday,2020-01-24,50.238,STOP,50.238,2020-01-09,500000,Q2,9377,-29385.66,-5.88,10
CRWD,09:30:00,2020-01-13,57.36,16:00:00,2020-02-10,63.3,TIME,48.2261,2020-01-10,2000000,Q5,34867,205006.45,10.25,20
TQQQ,09:30:00,2020-01-14,12.0725,16:00:00,2020-02-11,13.87,TIME,10.8639,2020-01-13,500000,Q2,41416,73908.04,14.78,20
UBER,09:30:00,2020-01-14,34.2,16:00:00,2020-02-11,41.27,TIME,30.3357,2020-01-13,2000000,Q5,58479,411239.82,20.56,20
QQQ,09:30:00,2020-01-15,220.18,16:00:00,2020-02-12,234.27,TIME,213.7487,2020-01-14,1000000,Q3,4541,62950.86,6.3,20
XLC,09:30:00,2020-01-15,55.68,intraday,2020-01-31,53.9571,STOP,53.9571,2020-01-14,1500000,Q4,26939,-47889.81,-3.19,12
GS,09:30:00,2020-01-17,250.23,16:00:00,2020-02-14,237.08,TIME,234.0917,2020-01-16,500000,Q2,1998,-26760.52,-5.35,20
NKE,09:30:00,2020-01-21,104.25,intraday,2020-01-27,99.4173,STOP,99.4173,2020-01-17,1500000,Q4,14388,-70997.37,-4.73,5
VRTX,09:30:00,2020-01-22,234.94,16:00:00,2020-02-19,247.78,TIME,220.1203,2020-01-21,1000000,Q3,4256,53619.81,5.36,20
GOOGL,09:30:00,2020-01-23,74.3775,intraday,2020-01-27,71.416,STOP,71.416,2020-01-22,500000,Q2,6722,-20397.17,-4.08,3
LULU,09:30:00,2020-01-23,242.62,16:00:00,2020-02-20,263.68,TIME,230.2858,2020-01-22,1000000,Q3,4121,85745.03,8.57,20
MS,09:30:00,2020-01-23,55.22,intraday,2020-01-30,52.6819,STOP,52.6819,2020-01-22,1500000,Q4,27164,-70411.47,-4.69,6
XLK,09:30:00,2020-01-23,48.765,16:00:00,2020-02-20,50.86,TIME,47.2366,2020-01-22,1500000,Q4,30759,62907.92,4.19,20
AAPL,09:30:00,2020-01-24,80.0625,16:00:00,2020-02-21,78.2625,TIME,75.3848,2020-01-23,500000,Q2,6245,-11735.37,-2.35,20
SHOP,09:30:00,2020-01-24,47.4,16:00:00,2020-02-21,52.066,TIME,41.9811,2020-01-23,500000,Q2,10548,48692.38,9.74,20
BYND,09:30:00,2020-01-27,119.8,16:00:00,2020-02-24,113.96,TIME,90.8339,2020-01-24,1500000,Q4,12520,-74580.14,-4.97,20
HUBS,09:30:00,2020-01-27,180.63,16:00:00,2020-02-24,180.1,TIME,169.8349,2020-01-24,1500000,Q4,8304,-5898.87,-0.39,20
MA,09:30:00,2020-01-27,315.1,16:00:00,2020-02-24,324.67,TIME,308.0292,2020-01-24,1000000,Q3,3173,29350.61,2.94,20
TMO,09:30:00,2020-01-27,327.36,intraday,2020-01-30,317.0502,STOP,317.0502,2020-01-24,2000000,Q5,6109,-64950.63,-3.25,4
V,09:30:00,2020-01-27,200.0,intraday,2020-02-24,196.0442,STOP,196.0442,2020-01-24,1500000,Q4,7500,-31153.54,-2.08,20
VALE,09:30:00,2020-01-27,12.09,intraday,2020-01-30,11.8572,STOP,11.8572,2020-01-24,500000,Q2,41356,-10124.43,-2.02,4
TWLO,09:30:00,2020-01-28,122.43,16:00:00,2020-02-25,112.31,TIME,104.5181,2020-01-27,1000000,Q3,8167,-83608.6,-8.36,20
NEM,09:30:00,2020-01-28,44.21,16:00:00,2020-02-25,49.14,TIME,41.9121,2020-01-27,1000000,Q3,22619,110455.93,11.05,20
ETSY,09:30:00,2020-01-29,49.83,16:00:00,2020-02-26,50.69,TIME,44.7221,2020-01-28,1500000,Q4,30102,24374.79,1.62,20
XLU,09:30:00,2020-01-29,34.255,16:00:00,2020-02-26,33.68,TIME,33.1278,2020-01-28,1500000,Q4,43789,-26666.08,-1.78,20
MCD,09:30:00,2020-01-30,214.0,intraday,2020-02-27,202.1528,STOP,202.1528,2020-01-29,1500000,Q4,7009,-84495.64,-5.63,20
NOW,09:30:00,2020-01-30,66.746,16:00:00,2020-02-27,64.02,TIME,58.3749,2020-01-29,1500000,Q4,22473,-62730.75,-4.18,20
ZTS,09:30:00,2020-01-30,137.64,16:00:00,2020-02-27,133.95,TIME,131.5693,2020-01-29,1000000,Q3,7265,-27794.4,-2.78,20
AMT,09:30:00,2020-02-03,232.98,intraday,2020-02-28,220.2113,STOP,220.2113,2020-01-31,1500000,Q4,6438,-83663.86,-5.58,19
LYFT,09:30:00,2020-02-03,47.63,intraday,2020-02-24,41.7354,STOP,41.7354,2020-01-31,1500000,Q4,31492,-187041.27,-12.47,15
NFLX,09:30:00,2020-02-03,34.724,16:00:00,2020-03-02,38.105,TIME,31.1554,2020-01-31,2000000,Q5,57597,192638.09,9.63,20
SMCI,09:30:00,2020-02-03,2.796,16:00:00,2020-03-02,2.615,TIME,2.3907,2020-01-31,2000000,Q5,715307,-131405.83,-6.57,20
SQ,09:30:00,2020-02-04,79.9,16:00:00,2020-03-03,78.84,TIME,67.4101,2020-02-03,1500000,Q4,18773,-21389.39,-1.43,20
RUN,09:30:00,2020-02-04,17.86,16:00:00,2020-03-03,19.515,TIME,15.1008,2020-02-03,2000000,Q5,111982,183237.55,9.16,20
EXPE,09:30:00,2020-02-04,109.03,intraday,2020-02-27,100.1652,STOP,100.1652,2020-02-03,2000000,Q5,18343,-164526.36,-8.23,17
PYPL,09:30:00,2020-02-04,118.04,intraday,2020-02-27,106.3921,STOP,106.3921,2020-02-03,2000000,Q5,16943,-199251.5,-9.96,17
AMZN,09:30:00,2020-02-06,102.051,intraday,2020-02-27,95.4427,STOP,95.4427,2020-02-05,1500000,Q4,14698,-98580.18,-6.57,15
GOOGL,09:30:00,2020-02-10,73.8615,intraday,2020-02-25,69.1136,STOP,69.1136,2020-02-07,2000000,Q5,27077,-130494.08,-6.52,11
IBM,09:30:00,2020-02-10,146.2428,intraday,2020-02-25,137.2463,STOP,137.2463,2020-02-07,1500000,Q4,10256,-93721.56,-6.25,11
ENPH,09:30:00,2020-02-11,39.26,16:00:00,2020-03-10,45.59,TIME,32.4673,2020-02-10,1500000,Q4,38206,240223.09,16.01,20
ARKK,09:30:00,2020-02-12,58.4,intraday,2020-02-26,53.4386,STOP,53.4386,2020-02-11,1000000,Q3,17123,-85911.67,-8.59,10
BLK,09:30:00,2020-02-13,568.69,intraday,2020-02-24,541.4317,STOP,541.4317,2020-02-12,1000000,Q3,1758,-48895.89,-4.89,7
