feature,winner_mean,loser_mean,cohens_d,t_stat,p_value,spearman_r,spearman_p,q1_mean_ret,q2_mean_ret,q3_mean_ret,q4_mean_ret,q5_mean_ret,q1_wr,q5_wr,q_return_spread,q_wr_spread,monotonic_score,n_valid,abs_d,abs_t
exit_rsi_14,61.90104592182926,44.109769175713076,2.1447989732844603,57.36594197941186,0.0,0.8423824603404693,0.0,-13.911704347826088,-4.737947826086957,1.6998086956521739,7.365547826086956,16.316000000000003,0.01217391304347826,0.9860869565217392,30.22770434782609,0.9739130434782609,1.0,2875,2.1447989732844603,57.36594197941186
exit_bb_pctb,0.7265605976809233,0.2736524563059976,1.941637717782984,51.92681997483366,0.0,0.7520111764336773,0.0,-10.711756521739131,-6.394956521739131,1.5720869565217392,8.815565217391304,13.450765217391304,0.04521739130434783,0.9617391304347827,24.162521739130433,0.9165217391304348,1.0,2875,1.941637717782984,51.92681997483366
exit_minus_di,17.327932741079657,27.32723827645634,-1.6855175532715903,-44.31099056278428,0.0,-0.7484505059525957,0.0,14.808904347826088,7.558626086956521,0.6132,-4.4817217391304345,-11.767304347826087,0.9617391304347827,0.059130434782608696,-26.576208695652177,-0.9026086956521739,-1.0,2875,1.6855175532715903,44.31099056278428
exit_roc_20,10.606119148413866,-9.20930243672652,1.5995751101375224,44.142379776057446,0.0,0.9871726628937938,0.0,-16.499478260869566,-4.361060869565217,0.7576,5.591652173913043,21.242991304347825,0.0017391304347826088,0.9982608695652174,37.74246956521739,0.9965217391304348,1.0,2875,1.5995751101375224,44.142379776057446
exit_plus_di,30.71261707647188,20.931539420037016,1.5810818454753521,42.93832187819257,3.6894107098966e-311,0.7463175049069984,0.0,-11.810208695652173,-4.251860869565218,0.5559304347826086,6.664608695652174,15.573234782608697,0.06260869565217392,0.951304347826087,27.383443478260872,0.8886956521739131,1.0,2875,1.5810818454753521,42.93832187819257
exit_stoch_d,67.0320779259751,32.531745732156644,1.526882789891323,40.81462334437612,1.9737886593782528e-286,0.6767347538653192,0.0,-10.995391304347827,-3.7872347826086954,1.1408347826086958,8.063565217391305,12.30993043478261,0.10086956521739131,0.9182608695652174,23.305321739130434,0.817391304347826,1.0,2875,1.526882789891323,40.81462334437612
exit_sma20_slope_5d,2.6217329865688748,-1.7965476966785745,1.4959870489911362,40.44307147204876,1.8725324335384267e-283,0.9041041143217001,0.0,-15.318052173913042,-4.012365217391305,0.9296347826086956,5.247826086956522,19.884660869565217,0.0052173913043478265,0.9669565217391304,35.202713043478255,0.9617391304347825,1.0,2875,1.4959870489911362,40.44307147204876
exit_stoch_k,66.5781944955343,31.87308494089043,1.3778591356287182,36.875910169391695,2.240629883561754e-243,0.6268198031795641,0.0,-9.777860869565218,-4.032121739130434,1.5405391304347826,6.911547826086957,12.0896,0.1356521739130435,0.8956521739130435,21.86746086956522,0.76,1.0,2875,1.3778591356287182,36.875910169391695
exit_dist_sma20_pct,4.319712692945044,-4.686223259475762,1.3352200794301807,36.03982395435373,5.260970931421575e-235,0.8199056757586581,0.0,-13.948,-3.5907652173913043,0.8386260869565217,4.8628347826086955,18.569008695652176,0.05565217391304348,0.9495652173913044,32.51700869565218,0.893913043478261,1.0,2875,1.3352200794301807,36.03982395435373
exit_dist_sma50_pct,12.98727173604277,-2.833471658815178,1.280337612988128,35.19869638275517,2.0043480506680897e-223,0.8509684529125866,0.0,-14.482069565217392,-3.8363478260869566,0.921008695652174,5.092904347826087,19.036208695652174,0.036521739130434785,0.9530434782608695,33.518278260869565,0.9165217391304348,1.0,2875,1.280337612988128,35.19869638275517
exit_pct_from_20d_high,-4.655877601886563,-13.284163751673853,1.1291140886931466,29.194016641713624,1.7519523365239127e-157,0.6327661985253111,0.0,-11.167478260869565,-1.1344347826086956,3.372591304347826,6.933947826086957,8.727078260869565,0.1582608695652174,0.9530434782608695,19.89455652173913,0.7947826086956522,1.0,2875,1.1291140886931466,29.194016641713624
exit_roc_10,4.903744794745174,-4.47613976273934,0.9920569652930975,26.93341040605831,1.4501641875359114e-142,0.6468537384435848,0.0,-10.824139130434784,-2.5827999999999998,0.6278608695652174,4.112295652173914,15.398486956521738,0.14608695652173914,0.8678260869565217,26.222626086956524,0.7217391304347827,1.0,2875,0.9920569652930975,26.93341040605831
