date,symbol,sma50,slope,z_noshift
2019-12-02,AA,20.643800,-1.363645,0.356721
2019-12-02,AAL,28.529100,-0.137914,0.515880
2019-12-02,AAPL,61.231350,3.831707,0.971088
2019-12-02,ABBV,79.790800,4.529341,2.256743
2019-12-02,ABT,82.672000,0.153370,-0.429346
2019-12-02,ADBE,282.718400,1.686000,0.756639
2019-12-02,ADI,110.840800,-0.636659,-0.887560
2019-12-02,AI,5.654800,0.816545,1.319751
2019-12-02,AMAT,54.321500,2.730840,0.626947
2019-12-02,AMC,94.164000,-6.436677,-1.013868
2019-12-02,AMD,33.656800,5.844319,1.209913
2019-12-02,AMGN,210.229600,3.321957,2.213912
2019-12-02,AMT,218.052400,-0.592472,-1.852191
2019-12-02,AMZN,88.067550,-0.585105,-0.305775
2019-12-02,ARKK,44.634210,1.832493,0.997987
2019-12-02,AVGO,29.489800,1.625047,0.413900
2019-12-02,AXP,118.108200,0.194267,-0.159954
2019-12-02,AZN,46.071800,2.061079,0.920470
2019-12-02,BA,363.694400,-0.540051,-0.271376
2019-12-02,BABA,178.096200,1.375457,0.365056
2019-12-02,BAC,31.095400,2.292211,1.109185
2019-12-02,BIDU,108.931400,1.574179,1.371134
2019-12-02,BIIB,264.264600,4.672596,1.683985
2019-12-02,BKNG,1957.679400,-1.706579,-1.833196
2019-12-02,BLK,461.510600,2.345124,1.208013
2019-12-02,BMY,54.349000,2.801316,1.550005
2019-12-02,BNTX,,,
2019-12-02,BYND,106.136700,-12.366500,-1.219447
2019-12-02,C,71.989200,1.510477,0.611769
2019-12-02,CAT,135.733200,1.961969,1.043361
2019-12-02,CCL,43.640400,-2.123918,-0.646000
2019-12-02,CI,173.849400,4.572703,2.412126
2019-12-02,CLF,7.379600,-0.699715,0.231314
2019-12-02,CMCSA,44.879800,-1.064531,-1.831023
2019-12-02,CMG,15.916904,-0.600981,-1.184469
2019-12-02,COF,93.342400,1.186587,0.648363
2019-12-02,COP,57.148600,0.295541,0.745270
2019-12-02,COST,297.114800,0.609383,-0.252527
2019-12-02,CRM,154.452400,1.283450,0.566787
2019-12-02,CRWD,54.447700,-4.604077,0.224887
2019-12-02,CSCO,46.993100,-1.833272,-0.889923
2019-12-02,CVNA,77.983600,3.073832,0.182325
2019-12-02,CVX,117.922000,-0.802517,-0.726962
2019-12-02,DAL,55.732800,-0.849312,-0.519919
2019-12-02,DDOG,35.312400,,
2019-12-02,DE,171.879200,1.046448,0.293206
2019-12-02,DIA,272.031800,0.646951,0.445718
2019-12-02,DIS,135.812600,1.987751,0.765173
2019-12-02,DOCU,66.137000,2.363094,0.230931
2019-12-02,DVN,22.054600,-3.075449,-0.376904
2019-12-02,DXCM,43.544200,9.060899,2.446621
2019-12-02,EEM,42.279400,0.580463,0.453437
2019-12-02,ENPH,21.936500,-3.556747,-1.595923
2019-12-02,EOG,71.702600,-2.488427,-0.431044
2019-12-02,EQIX,562.176600,0.431972,-0.454983
2019-12-02,ETSY,50.556500,-5.182503,-1.750727
2019-12-02,EXPE,122.503200,-5.332317,-3.386404
2019-12-02,FCX,10.223000,2.056504,0.996280
2019-12-02,FDX,152.779800,-1.108918,0.207141
2019-12-02,FSLR,55.667800,-3.349816,-1.763682
2019-12-02,GE,49.445632,4.440479,1.047041
2019-12-02,GILD,64.499600,-0.135631,0.368607
2019-12-02,GLD,140.022600,-0.464047,-1.323306
2019-12-02,GME,1.437850,4.688922,1.290254
2019-12-02,GOOGL,63.080920,1.257026,0.504112
2019-12-02,GS,212.576200,0.388186,0.245798
2019-12-02,HAL,19.842000,0.286070,1.066694
2019-12-02,HCA,128.472600,1.809182,1.266805
2019-12-02,HD,230.614000,-0.763037,-1.012145
2019-12-02,HLT,96.249200,1.636547,0.391041
2019-12-02,HON,161.931006,1.120271,0.381414
2019-12-02,HUBS,152.663200,-2.293676,-0.936331
2019-12-02,HYG,86.853800,-0.144402,-0.571747
2019-12-02,IBM,131.527912,-1.261555,-0.668158
2019-12-02,INTC,54.577800,2.337468,0.802476
2019-12-02,ISRG,182.924800,2.183873,1.159077
2019-12-02,IWM,155.001600,0.518019,0.432383
2019-12-02,JD,31.090600,0.870146,-0.079511
2019-12-02,JNJ,132.122088,1.021361,1.213900
2019-12-02,JPM,123.752600,2.089259,1.169929
2019-12-02,KLAC,165.397200,1.702782,-0.180738
2019-12-02,KWEB,44.430000,0.771607,0.397823
2019-12-02,LLY,111.684200,0.723653,0.514423
2019-12-02,LMT,383.240600,0.150052,-0.281789
2019-12-02,LOW,112.223200,0.653485,0.144171
2019-12-02,LRCX,25.528800,2.823448,0.270227
2019-12-02,LULU,204.762200,2.694833,0.602605
2019-12-02,LUV,55.635000,0.860766,0.552451
2019-12-02,LYFT,42.726100,0.198398,0.762221
2019-12-02,MA,275.820000,0.841553,-0.187180
2019-12-02,MAR,127.548200,1.019155,0.428819
2019-12-02,MARA,1.448356,-8.551606,-0.949656
2019-12-02,MCD,201.005000,-1.639208,-1.813758
2019-12-02,MCHP,47.031150,-0.060137,-0.619677
2019-12-02,MDB,130.349300,2.263860,0.004439
2019-12-02,MMM,138.442300,0.071803,0.451465
2019-12-02,MPC,63.185800,2.718757,1.063694
2019-12-02,MRK,84.286200,0.696268,0.106742
2019-12-02,MRNA,16.970900,3.676439,0.568060
2019-12-02,MRVL,25.236800,0.646067,-0.316517
2019-12-02,MS,45.630200,2.338777,1.409909
2019-12-02,MSFT,142.918300,1.832900,0.586436
2019-12-02,MSTR,14.954760,0.694470,0.103243
2019-12-02,MU,46.230000,-1.395142,-0.598699
2019-12-02,NCLH,51.381600,-0.125956,-0.075385
2019-12-02,NEM,38.294000,-0.321728,-0.676872
2019-12-02,NET,17.070600,,
2019-12-02,NFLX,28.514820,1.463951,0.604786
2019-12-02,NIO,1.785400,-10.756773,-1.032513
2019-12-02,NKE,92.152400,1.301551,0.426572
2019-12-02,NOC,356.879600,-0.861986,-0.761701
2019-12-02,NOW,51.448200,1.460691,0.022272
2019-12-02,NUE,53.186200,0.998090,1.044883
2019-12-02,NVDA,4.927952,3.462631,0.810951
2019-12-02,NVO,27.095300,1.940977,1.260063
2019-12-02,O,78.105600,0.600209,-0.511188
2019-12-02,OKTA,112.380600,4.047055,0.385045
2019-12-02,ON,20.045100,1.697056,0.451606
2019-12-02,ORCL,55.269600,0.847365,0.312108
2019-12-02,OXY,41.167200,-3.203416,-0.516004
2019-12-02,PANW,37.281432,2.541998,0.679451
2019-12-02,PDD,36.587000,0.481163,-0.331749
2019-12-02,PFE,36.877400,0.638038,0.863801
2019-12-02,PLD,88.020200,1.517804,0.341918
2019-12-02,PLUG,2.973500,7.428014,0.901991
2019-12-02,PSX,111.252200,2.439909,0.868702
2019-12-02,PTON,,,
