timestamp,date,open,high,low,close,volume,vwap,transactions
1420174800000,2015-01-02,27.86,28.12,27.38,27.61,22926512.0,27.6683,83447
1420434000000,2015-01-05,27.32,27.45,27,27.06,29460258.0,27.1527,109131
1420520400000,2015-01-06,27.135,27.68,27.04,27.05,47297634.0,27.3791,148406
1420606800000,2015-01-07,27.14,27.4,26.98,27.3,27570801.0,27.2536,105557
1420693200000,2015-01-08,27.54,28.09,27.47,27.51,40906993.0,27.7902,108744
1420779600000,2015-01-09,27.67,28.07,27.45,27.79,33619558.0,27.8585,88423
1421038800000,2015-01-12,28,28.2,27.82,28.05,38648396.0,28.0401,120960
1421125200000,2015-01-13,28.21,28.7,27.9,28.095,36074151.0,28.3297,127996
1421211600000,2015-01-14,27.84,28.05,27.64,27.92,29494443.0,27.8894,104478
1421298000000,2015-01-15,28.09,28.195,27.35,27.41,29521090.0,27.5983,98686
1421384400000,2015-01-16,27.36,27.77,27.21,27.68,26655143.0,27.5148,84829
1421730000000,2015-01-20,27.76,28.27,27.655,28.07,33683782.0,27.9637,111844
1421816400000,2015-01-21,28.055,28.185,27.7,27.84,29298538.0,27.9068,83377
1421902800000,2015-01-22,27.55,28.51,27.22,28.5,49494661.0,27.9694,144450
1421989200000,2015-01-23,28.36,28.5,28.14,28.21,21799451.0,28.2758,71036
1422248400000,2015-01-26,28.22,28.23,27.7,27.97,18370085.0,27.9421,64438
1422334800000,2015-01-27,27.52,27.59,26.66,26.9,46085493.0,26.9997,162957
1422421200000,2015-01-28,27.39,27.6,26.8,26.805,32381676.0,27.1886,107725
1422507600000,2015-01-29,26.74,27.31,26.64,27.22,28095413.0,26.9877,97935
1422594000000,2015-01-30,26.88,27.11,26.32,26.365,38419139.0,26.5893,115357
1422853200000,2015-02-02,26.39,26.87,25.92,26.83,29416981.0,26.4681,112409
1422939600000,2015-02-03,26.9,27.12,26.69,27.12,28039070.0,26.9453,93637
1423026000000,2015-02-04,27.06,27.22,26.6101,26.69,27696253.0,26.84,87884
1423112400000,2015-02-05,26.75,27.3,26.58,27.26,20548245.0,27.1068,67846
1423198800000,2015-02-06,27.37,27.66,27.14,27.24,25482376.0,27.4202,81989
1423458000000,2015-02-09,27.21,27.405,27.06,27.12,23680980.0,27.1926,67394
1423544400000,2015-02-10,27.16,27.54,27.15,27.49,22250302.0,27.3796,72671
1423630800000,2015-02-11,27.65,27.65,26.9,26.93,45997949.0,27.2382,138843
1423717200000,2015-02-12,28.99,29.58,28.84,29.46,117438078.0,29.2579,321621
1423803600000,2015-02-13,29.38,29.5,29.11,29.43,50656669.0,29.3386,148803
1424149200000,2015-02-17,29.26,29.35,29.03,29.31,34217185.0,29.2341,114455
1424235600000,2015-02-18,29.19,29.55,29.12,29.49,24503737.0,29.3683,84492
1424322000000,2015-02-19,29.31,29.39,29.13,29.31,21477753.0,29.2654,74731
1424408400000,2015-02-20,29.35,29.66,29.155,29.61,25985581.0,29.4647,80370
1424667600000,2015-02-23,29.63,29.65,29.42,29.63,24026787.0,29.5538,81646
1424754000000,2015-02-24,29.56,29.71,29.43,29.63,18479476.0,29.5794,59905
1424840400000,2015-02-25,29.44,29.57,29.32,29.49,17368111.0,29.4361,64928
1424926800000,2015-02-26,29.52,29.99,29.52,29.91,28305155.0,29.8849,93840
1425013200000,2015-02-27,29.89,29.91,29.38,29.51,29135504.0,29.6065,90145
1425272400000,2015-03-02,29.36,30.31,29.34,30.19,35981920.0,30.0685,109182
1425358800000,2015-03-03,30.1,30.12,29.47,29.54,32990266.0,29.6795,105676
1425445200000,2015-03-04,29.35,29.52,29.11,29.33,32866775.0,29.3003,88335
1425531600000,2015-03-05,29.47,29.49,29.12,29.3,17985026.0,29.2927,62902
1425618000000,2015-03-06,29.11,29.27,28.8,28.925,27035044.0,28.9643,88982
1425873600000,2015-03-09,28.9,29.45,28.76,29.36,23007718.0,29.2699,72002
1425960000000,2015-03-10,29.15,29.17,28.66,28.66,26542321.0,28.7966,87370
1426046400000,2015-03-11,28.68,28.76,28.21,28.26,25160166.0,28.3595,85769
1426132800000,2015-03-12,28.05,28.54,28.05,28.24,22978712.0,28.3013,78907
1426219200000,2015-03-13,28.02,28.26,27.565,27.94,36510954.0,27.8569,123829
1426478400000,2015-03-16,28.1,28.38,28.04,28.3,25358916.0,28.243,89591
1426564800000,2015-03-17,28.19,28.28,27.95,28.15,21895674.0,28.1294,88022
1426651200000,2015-03-18,27.88,28.34,27.72,28.15,34910854.0,28.0449,115261
1426737600000,2015-03-19,28.1,28.54,28.03,28.26,27980128.0,28.357,93639
1426824000000,2015-03-20,28.45,28.62,28.32,28.44,37628686.0,28.4704,80685
1427083200000,2015-03-23,28.44,28.69,28.36,28.405,23478637.0,28.5042,64634
1427169600000,2015-03-24,28.29,28.57,27.99,28,23263559.0,28.1529,78530
1427256000000,2015-03-25,27.92,28.09,27.46,27.46,27158706.0,27.7051,96042
1427342400000,2015-03-26,27.19,27.305,26.62,27.09,48925949.0,27.0346,124741
1427428800000,2015-03-27,27.07,27.21,26.94,27.13,20464472.0,27.1337,70524
1427688000000,2015-03-30,27.22,27.75,27.22,27.65,29054158.0,27.559,91415
1427774400000,2015-03-31,27.34,27.69,27.28,27.525,29258328.0,27.5475,92467
1427860800000,2015-04-01,27.31,27.638,27.1,27.25,22420534.0,27.2693,91124
1427947200000,2015-04-02,27.22,27.5,27.13,27.13,19527211.0,27.267,67645
1428292800000,2015-04-06,26.96,27.32,26.84,27.22,20003864.0,27.1431,66070
1428379200000,2015-04-07,27.2,27.56,27.13,27.39,16861741.0,27.4138,60355
1428465600000,2015-04-08,27.37,27.66,27.37,27.55,17326426.0,27.5212,65730
1428552000000,2015-04-09,27.59,27.74,27.42,27.625,16684501.0,27.5864,66250
1428638400000,2015-04-10,27.58,28.08,27.56,28.04,24634578.0,27.9263,78008
1428897600000,2015-04-13,27.99,28.28,27.94,27.98,22769580.0,28.069,70781
1428984000000,2015-04-14,28,28.06,27.68,27.81,19296064.0,27.8095,68465
1429070400000,2015-04-15,28.1,28.42,27.97,28.25,31160911.0,28.2418,81579
1429156800000,2015-04-16,28.19,28.638,28.1,28.6,29863528.0,28.5172,90561
1429243200000,2015-04-17,28.26,28.4,27.9,27.915,36904655.0,28.1082,105329
1429502400000,2015-04-20,28.16,28.63,28.16,28.48,21921809.0,28.4877,70067
1429588800000,2015-04-21,28.72,28.92,28.66,28.69,23956868.0,28.7823,80551
1429675200000,2015-04-22,28.67,28.79,28.42,28.62,19111703.0,28.5858,64841
1429761600000,2015-04-23,28.4,28.82,28.2,28.675,22230105.0,28.6376,67155
