timestamp,date,open,high,low,close,volume,vwap,transactions
1608094800000,2020-12-16,26,30.01,22.61,29.47,13459751.0,26.1767,74404
1608181200000,2020-12-17,28.6431,39.85,28.25,35.77,7042150.0,34.5925,57759
1608267600000,2020-12-18,38.02,48.66,37.06,44.09,7265963.0,43.1758,69266
1608526800000,2020-12-21,44,47.99,40,41.1,2833826.0,42.552,30168
1608613200000,2020-12-22,43.1,48.08,40.65,47.84,3731347.0,45.6088,25321
1608699600000,2020-12-23,47.5,51.3984,43.02,46.32,3142408.0,46.4966,28261
1608786000000,2020-12-24,46.59,47.47,42.5051,43.96,873425,44.2042,8555
1609131600000,2020-12-28,44.31,45,38.05,42.63,1882237.0,40.943,19005
1609218000000,2020-12-29,42.04,42.49,39.51,40.75,646398,40.7435,6827
1609304400000,2020-12-30,41.2,41.5,38.1101,38.87,1049533.0,39.0673,10723
1609390800000,2020-12-31,38.2,40.95,36.26,40.75,969034,38.9164,9002
1609736400000,2021-01-04,40.34,45,38.05,43.99,1347052.0,41.7188,10960
1609822800000,2021-01-05,45.1,53.63,44.2001,48.37,3590669.0,49.4229,27735
1609909200000,2021-01-06,47.05,57,45.14,52.14,2903194.0,52.3155,22365
1609995600000,2021-01-07,55.99,61.26,55.04,55.39,1518920.0,57.7004,15147
1610082000000,2021-01-08,58,58,50.28,52.73,1407739.0,53.6353,14099
1610341200000,2021-01-11,51,56,50.53,54.71,1338175.0,54.1719,10996
1610427600000,2021-01-12,56.11,63.5,55.53,62.48,1830985.0,61.2021,14200
1610514000000,2021-01-13,60.61,69.48,57.7,57.88,1785613.0,63.0873,15833
1610600400000,2021-01-14,60.92,67.4297,59.49,60.64,1288652.0,62.5624,12058
1610686800000,2021-01-15,60.64,62.6,55.6,56,1409538.0,58.4008,14746
1611032400000,2021-01-19,58.13,61.63,53,54.28,1872415.0,56.1167,18780
1611118800000,2021-01-20,54.51,56.22,53.25,55.22,935527,55.0484,9175
1611205200000,2021-01-21,55.05,65.29,55.05,63.77,1702374.0,61.7419,15426
1611291600000,2021-01-22,62.4,64.88,58.53,64.47,1241616.0,62.2037,12095
1611550800000,2021-01-25,65,72.67,64.01,67.36,1781029.0,68.8164,18500
1611637200000,2021-01-26,67.71,68.69,63.3,64.45,1506598.0,64.639,13844
1611723600000,2021-01-27,60.07,70.8,58,64.7,1398431.0,64.6545,15126
1611810000000,2021-01-28,64.54,67.4125,63.52,65.15,617802,65.3351,8157
1611896400000,2021-01-29,64.56,67.4,60.12,62.19,721699,62.7256,8811
1612155600000,2021-02-01,63,70.85,61.9,70.25,812960,67.5872,11017
1612242000000,2021-02-02,71.04,80,71.04,75.47,1061343.0,75.8852,12941
1612328400000,2021-02-03,76.93,81.91,76.51,79.75,854626,79.2427,9384
1612414800000,2021-02-04,80.55,81.09,74.19,75.75,720152,76.7699,9884
1612501200000,2021-02-05,76.14,79.78,74.21,75.24,542316,76.9886,8285
1612760400000,2021-02-08,77.34,78.34,74.1,76,713307,75.8564,8849
1612846800000,2021-02-09,75.92,82.75,75.5166,80.25,902208,79.4673,12005
1612933200000,2021-02-10,80.91,91.39,78.71,91.04,1080836.0,85.9072,13963
1613019600000,2021-02-11,93.5,105.58,92.55,95.13,1432969.0,97.9099,19245
1613106000000,2021-02-12,93,102.21,92.62,102.18,646025,99.0429,10573
1613451600000,2021-02-16,104.77,105,90.2702,92.28,1053900.0,95.091,19515
1613538000000,2021-02-17,91.75,92.2686,84.1351,87.24,941756,87.1863,16874
1613624400000,2021-02-18,84,84.52,78.5,82.32,1016577.0,82.1777,15464
1613710800000,2021-02-19,83.75,93,83.5,89.73,753732,89.6214,12484
1613970000000,2021-02-22,87.3,89.49,75.06,77.01,1081699.0,81.2584,18209
1614056400000,2021-02-23,72.95,75.38,61.01,73.06,1703111.0,70.117,23769
1614142800000,2021-02-24,73.74,83.29,72.01,74.51,985584,77.3326,15607
1614229200000,2021-02-25,74.08,79.62,66.08,68.52,1423157.0,70.0816,20095
1614315600000,2021-02-26,68.79,71.88,63.35,65.64,1558583.0,67.2799,17912
1614574800000,2021-03-01,66.78,73.46,65.87,66.65,1315048.0,69.258,17898
1614661200000,2021-03-02,67.21,67.76,58.29,60.36,1772288.0,62.0873,25547
1614747600000,2021-03-03,61.7,63.005,55.6001,57.58,1610341.0,58.2092,21032
1614834000000,2021-03-04,56.15,59.545,49.09,54.92,2218934.0,54.0092,26181
1614920400000,2021-03-05,54.54,55.29,42.5105,51.16,2322120.0,48.3539,26161
1615179600000,2021-03-08,50.6663,52.2227,45.1423,46.87,1382279.0,48.2936,18567
1615266000000,2021-03-09,49.395,55.45,49.05,53.24,2035157.0,52.8973,23630
1615352400000,2021-03-10,57.3,58.55,52.12,52.99,1540798.0,54.8756,18530
1615438800000,2021-03-11,54.75,59.55,54.05,59.24,1260699.0,57.6404,15787
1615525200000,2021-03-12,53.5,58.5,53.5,58,1130195.0,56.1326,14155
1615780800000,2021-03-15,58.89,63.01,56.83,62.93,1434831.0,61.0957,17800
1615867200000,2021-03-16,62.27,64.5,56.85,60.05,1266420.0,60.7103,16716
1615953600000,2021-03-17,56.775,62.26,54.5,60.79,2762873.0,72.4601,33912
1616040000000,2021-03-18,83.54,124.75,81.96,115.09,21520788.0,105.5694,272338
1616126400000,2021-03-19,108,128.8,106.5971,125.28,8769694.0,119.9333,96481
1616385600000,2021-03-22,127.94,165.66,124.0544,164.87,8566559.0,143.2427,111585
1616472000000,2021-03-23,159.9743,164.06,115.58,118.48,11899112.0,131.3001,136466
1616558400000,2021-03-24,121.8787,134.16,110.11,112.28,5499431.0,123.8238,71787
1616644800000,2021-03-25,106.3,130.359,105.95,123.73,3820893.0,120.305,52258
1616731200000,2021-03-26,125,144.86,118.25,142.95,3260354.0,135.4221,49560
1616990400000,2021-03-29,140.8,156.93,132.5301,134.49,2652448.0,144.432,42472
1617076800000,2021-03-30,133.48,137.61,122.6,129.28,1521903.0,129.2256,26515
1617163200000,2021-03-31,131.63,137.7878,128,128.86,1137727.0,131.217,22379
1617249600000,2021-04-01,133.94,147.4799,133,144.28,1871593.0,140.7341,31075
1617595200000,2021-04-05,147.708,156.2699,136,140.52,2029189.0,145.674,34843
1617681600000,2021-04-06,140.29,145.78,138.06,144.3,1018706.0,142.3532,16325
1617768000000,2021-04-07,136.55,138.97,123.81,126.07,2674534.0,130.7365,39500
1617854400000,2021-04-08,128.51,128.98,119.1801,123.33,2548890.0,122.6901,39520
1617940800000,2021-04-09,122,134,118,127.29,4545446.0,126.5861,56738
1618200000000,2021-04-12,127.75,127.95,111.2,112.46,2891054.0,117.668,44852
1618286400000,2021-04-13,111.88,114.27,102.69,110.46,3733059.0,107.946,51394
1618372800000,2021-04-14,110.23,115.5599,104.3,104.51,2062503.0,109.5586,30396
1618459200000,2021-04-15,109.29,116.96,105.69,110.4,2347314.0,110.8002,31485
