timestamp,date,open,high,low,close,volume,vwap,transactions
1420174800000,2015-01-02,189.2,195.16,187.32,193.4,1367083.0,191.7448,34498
1420434000000,2015-01-05,188.8,189.2,179.56,181,2736201.5,182.0492,66140
1420520400000,2015-01-06,180,182.44,172.68,175.52,3143132.0,176.0968,70628
1420606800000,2015-01-07,179.16,179.638,171.96,173.76,2375989.75,175.242,51796
1420693200000,2015-01-08,175.04,181.08,173.64,179.64,2978102.0,178.8468,65913
1420779600000,2015-01-09,180.4,182.08,175.72,181.04,3271863.0,178.8404,74235
1421038800000,2015-01-12,177.04,177.3,170.4,172.4,2873695.0,172.2572,62430
1421125200000,2015-01-13,173.84,176.04,168.44,171.44,3249256.0,171.866,70880
1421211600000,2015-01-14,169.24,176.56,166.52,176.12,4553574.0,171.8796,86401
1421298000000,2015-01-15,180.76,180.8,169.96,170.2,3102564.25,173.6856,80183
1421384400000,2015-01-16,173,178.28,171,177.92,4266311.75,176.3572,93393
1421730000000,2015-01-20,175.72,175.96,171.12,174.92,2249623.5,173.342,60962
1421816400000,2015-01-21,177.36,182.7,176.92,181.64,3089709.5,180.7432,68889
1421902800000,2015-01-22,183.28,183.4,176.76,181.68,3611103.5,179.748,73792
1421989200000,2015-01-23,181.32,185.08,179.27,182.08,3597864.5,182.6496,76051
1422248400000,2015-01-26,183.64,186.96,179.56,186.48,1816551.25,184.894,46074
1422334800000,2015-01-27,185,191,183.76,190.08,2971027.75,188.6572,66258
1422421200000,2015-01-28,188.72,188.8,178.12,179.32,4024071.25,181.714,88587
1422507600000,2015-01-29,181.52,181.92,172.96,180.68,3587721.75,177.1852,79024
1422594000000,2015-01-30,178.52,187.96,177,184.72,3513529.75,182.8072,79307
1422853200000,2015-02-02,189.08,196.2,186.68,195.52,3907965.0,191.1292,98833
1422939600000,2015-02-03,198.4,207.76,198.04,205.36,5342029.0,203.1804,122112
1423026000000,2015-02-04,200.8,202.96,196.12,201,5015853.75,199.9824,116139
1423112400000,2015-02-05,202.16,209.68,202.16,206.92,3843275.0,207.1924,86503
1423198800000,2015-02-06,207.92,210.6,205.56,207.96,3842822.5,207.8328,90653
1423458000000,2015-02-09,209.92,214.24,207.18,207.68,3516985.0,210.3672,82898
1423544400000,2015-02-10,207.68,207.96,198.68,203.04,3987338.75,201.792,93312
1423630800000,2015-02-11,199.48,205.24,195.24,203.04,3965017.5,201.0076,84758
1423717200000,2015-02-12,207.96,211.12,207.16,207.8,3993593.0,209.2656,89026
1423803600000,2015-02-13,212.24,214.36,210.44,213.28,3231517.0,212.6948,76110
1424149200000,2015-02-17,211.6,216.84,209.2,215.76,3190866.5,213.4696,73797
1424235600000,2015-02-18,212.4,216.56,210.24,210.96,2768779.75,212.6328,73504
1424322000000,2015-02-19,203.28,213.96,202.84,211.04,3328605.5,209.1968,79818
1424408400000,2015-02-20,210.4,213.32,207.6,209.24,3167938.75,209.5452,71026
1424667600000,2015-02-23,205.6,210.82,204.04,207.2,2625393.75,206.9036,60655
1424754000000,2015-02-24,209.52,209.8,204.68,207,1760110.25,206.8704,30490
1424840400000,2015-02-25,207.88,211.8,204.94,210.92,2175293.5,209.0736,48356
1424926800000,2015-02-26,208.64,209.56,203.436,206.16,3160178.0,205.8536,55011
1425013200000,2015-02-27,207.56,207.6,202.24,203.24,2694770.5,204.5648,64372
1425272400000,2015-03-02,201.8,202.72,197,199.76,2547653.75,199.7696,60003
1425358800000,2015-03-03,201,204.48,199.8,202.36,1722075.75,202.3756,42667
1425445200000,2015-03-04,203.4,204.2,198.08,203.44,1796410.75,201.0568,44659
1425531600000,2015-03-05,202.12,203.4,200.7,201.4,1551989.5,201.792,39649
1425618000000,2015-03-06,199.6,202.08,196.58,197.08,2460015.5,198.5608,55082
1425873600000,2015-03-09,197.16,201.08,194.4,194.72,2071877.75,197.0972,46000
1425960000000,2015-03-10,191.28,193.6,189.68,189.88,2489576.25,191.0256,57969
1426046400000,2015-03-11,190.64,193.24,188.28,192.92,2017280.25,191.4492,49260
1426132800000,2015-03-12,193.72,194.64,190.28,191.16,1580520.5,191.9372,38194
1426219200000,2015-03-13,189.08,192.32,185.56,190.92,2749404.5,188.0744,61686
1426478400000,2015-03-16,189.04,190.62,183.8,190.4,2165072.0,187.3548,55681
1426564800000,2015-03-17,189.24,190.48,186.6,188.08,2269810.75,188.4444,50501
1426651200000,2015-03-18,185.48,198.68,184.88,197.2,4400744.5,193.4324,85891
1426737600000,2015-03-19,192,194.36,190.68,191.88,2140130.25,191.978,50140
1426824000000,2015-03-20,195.88,196.6,192.24,192.76,2873270.75,193.7908,64760
1427083200000,2015-03-23,193.32,196.64,190.4,190.4,2607769.0,192.558,44380
1427169600000,2015-03-24,189.4,193.04,188.6,192.32,2663223.5,190.7592,50368
1427256000000,2015-03-25,194.6,198.48,192.132,196.32,2703029.5,195.8688,55473
1427342400000,2015-03-26,200.64,202.32,195.96,199.08,3483736.5,198.9288,64860
1427428800000,2015-03-27,197.44,197.6,194.28,194.48,1852566.25,195.5628,42925
1427688000000,2015-03-30,196.64,198.76,194.16,198.04,1577371.25,196.304,37882
1427774400000,2015-03-31,196.2,206.64,195.2,206.64,1256106.75,198.4476,24409
1427860800000,2015-04-01,199,203.32,198.68,200.68,2137314.25,201.3028,49061
1427947200000,2015-04-02,198.24,204.36,198.24,203.24,3107997.25,202.7628,56774
1428292800000,2015-04-06,205.32,210.68,204,210.16,2299235.75,207.9688,52816
1428379200000,2015-04-07,209.2,214.32,208.96,211.12,2538093.0,212.3564,50127
1428465600000,2015-04-08,212.4,212.76,204.68,204.96,1823486.0,207.6056,40039
1428552000000,2015-04-09,206.08,209.56,206.08,208.72,1521450.0,208.1172,40719
1428638400000,2015-04-10,209.88,210.4,207.64,209.6,1641753.25,209.1876,31850
1428897600000,2015-04-13,211.36,211.92,206.88,207.84,1651960.75,208.2324,37714
1428984000000,2015-04-14,210.76,215.32,209.68,214.52,2476762.0,213.5244,52194
1429070400000,2015-04-15,216.6,223.12,214.88,222.52,4169822.25,220.8308,77377
1429156800000,2015-04-16,221.2,224.72,218.8,221,2009988.25,221.5256,49985
1429243200000,2015-04-17,219.2,220.52,215.36,217,2333903.25,217.8776,46362
1429502400000,2015-04-20,217.8,221.6,217.24,218.52,1552092.75,219.6232,40388
1429588800000,2015-04-21,219.68,219.92,211.2,211.76,3415566.25,213.426,61130
1429675200000,2015-04-22,212.56,214.84,210.04,211.8,2781727.0,212.6004,52379
1429761600000,2015-04-23,213.84,217.08,212.64,214.48,1811871.5,215.0716,40145
1429848000000,2015-04-24,213.6,214.96,210.96,213.48,2260066.75,213.0292,41852
1430107200000,2015-04-27,214.92,215.68,210.92,211.12,2171387.75,212.3768,46660
1430193600000,2015-04-28,211.64,214.16,210.56,213.2,1511423.5,212.3556,37687
1430280000000,2015-04-29,212.44,220.68,212.24,219.24,3002048.0,218.2148,66845
1430366400000,2015-04-30,219.8,221.72,215.72,220.36,2362736.25,218.9908,58027
1430452800000,2015-05-01,219.56,221.2,216.28,219,1528594.5,218.6768,32142
1430712000000,2015-05-04,218.72,220.64,214.28,216.44,1904039.5,216.7904,43314
1430798400000,2015-05-05,220.44,221.6,211.48,211.92,3003696.25,214.8448,70008
1430884800000,2015-05-06,215.2,215.4396,208.72,210.4,2910678.0,211.8928,63614
1430971200000,2015-05-07,209.52,209.52,204.04,205.32,2765892.0,205.572,62264
1431057600000,2015-05-08,207,210,202.04,209.64,2956221.0,206.7456,62826
1431316800000,2015-05-11,212.64,213,205.28,206.28,2288041.0,207,50204
1431403200000,2015-05-12,206.2,210.28,205.84,208.64,1258354.25,208.1252,29725
1431489600000,2015-05-13,210.76,210.76,205.84,206.6,1454315.25,207.0488,38627
1431576000000,2015-05-14,207.56,208.72,204.08,204.36,982617.25,206.0704,23580
1431662400000,2015-05-15,203.12,205.72,200.56,204.64,1475322.75,203.6028,32436
1431921600000,2015-05-18,203.84,205.68,202.08,205.6,1366991.0,204.2316,27429
1432008000000,2015-05-19,202.88,203.6,199,199.8,2392615.75,200.1316,41095
1432094400000,2015-05-20,200.6,200.6,196.6,199.6,2386944.0,198.3904,47515
1432180800000,2015-05-21,199.64,204.64,199.64,204.2,1262496.0,203.1556,26349
1432267200000,2015-05-22,202,204.84,201.04,203.04,1275005.0,202.924,19861
1432612800000,2015-05-26,201.44,202.04,197.64,198.52,1366299.75,199.0672,27951
1432699200000,2015-05-27,197.44,200.36,196.04,198.8,797316,198.118,20754
1432785600000,2015-05-28,198,198,194.36,196.88,1660050.25,196.1612,36605
1432872000000,2015-05-29,197.44,199.54,196.44,198.12,2292327.75,198.272,41526
1433131200000,2015-06-01,197.24,198.56,195.92,196.72,1251190.0,196.8464,26388
1433217600000,2015-06-02,197.44,201.72,196.52,200.28,1555853.0,200.0396,34063
1433304000000,2015-06-03,199.52,202.48,197.92,198.32,1372820.75,199.8996,30014
1433390400000,2015-06-04,197.2,197.9988,193.96,195,1595246.5,195.1308,39839
1433476800000,2015-06-05,193.92,200.04,193.24,198,2639228.25,197.6996,48326
1433736000000,2015-06-08,197.6,199.4,195,197.12,1703273.0,196.8348,40468
1433822400000,2015-06-09,199.2,201.4,198,198.12,1694762.0,199.3664,31261
1433908800000,2015-06-10,201.36,202.12,200.12,201.04,1321543.5,200.9748,35000
1433995200000,2015-06-11,201.8,202.08,198.6,198.8,1199598.0,199.684,30177
1434081600000,2015-06-12,197.24,197.68,195.64,196.16,1108518.0,196.3044,30348
1434340800000,2015-06-15,193.88,197.72,193.72,195.88,1261075.0,196.0688,34403
1434427200000,2015-06-16,195.96,198.88,195.6404,198.8,1470195.0,197.8428,32167
1434513600000,2015-06-17,200.72,201.76,195.24,196.24,1981055.25,197.748,47268
1434600000000,2015-06-18,197.04,198.44,195.08,195.32,1612024.5,196.7192,33962
1434686400000,2015-06-19,193.6,195.4,191.36,192.12,1961395.0,192.342,41319
1434945600000,2015-06-22,193.16,193.9,190,192.84,1587922.5,192.4416,37415
1435032000000,2015-06-23,192.36,196.52,192.24,196.36,911677,195.3616,23833
1435118400000,2015-06-24,196.36,197.9996,193.76,194.24,809192.5,195.0896,20599
1435204800000,2015-06-25,195.44,195.48,192.6,193.04,872024,193.6676,22668
1435291200000,2015-06-26,192.4,192.88,189.76,191.92,1851611.5,191.1036,32775
1435550400000,2015-06-29,188.4,189.96,185.52,185.72,1887617.0,187.2796,39845
1435636800000,2015-06-30,187.96,188.2,184.84,186.64,1493817.25,186.2164,29417
1435723200000,2015-07-01,184.96,187.44,180.24,180.72,2367609.75,182.3048,44309
1435809600000,2015-07-02,181.52,183.08,179.84,180,1838035.5,180.97,36885
1436155200000,2015-07-06,176.08,178.04,173.8,174.88,2762177.5,175.5348,54813
1436241600000,2015-07-07,174.24,180.2,168.88,179.68,5037999.5,175.5288,97545
1436328000000,2015-07-08,177.04,180.2,171.36,172.96,3389158.25,174.4252,73665
1436414400000,2015-07-09,176.2,178.96,176.08,176.36,5040531.0,177.3232,71266
1436500800000,2015-07-10,177.6,178.72,174.16,174.24,2321662.0,175.5096,47072
1436760000000,2015-07-13,174.8,176.2,172.72,175.6,2691411.0,174.846,48395
1436846400000,2015-07-14,175.16,181.32,174.8,180.88,3782404.5,179.9768,56321
1436932800000,2015-07-15,179.56,180.84,172.64,173.92,3235871.75,176.3804,56767
1437019200000,2015-07-16,175.56,175.76,171.36,171.88,2296113.25,172.9824,40115
1437105600000,2015-07-17,172,172,167.08,167.12,3181234.25,168.2604,59730
1437364800000,2015-07-20,166.84,167.04,160.84,161.24,3196662.75,162.8872,61387
1437451200000,2015-07-21,162.8,166.08,161.28,162.2,3176790.0,163.4016,56935
1437537600000,2015-07-22,161.16,161.24,158.1,158.92,3447537.75,159.2584,63657
1437624000000,2015-07-23,160.04,161.32,155.6,159.16,2997777.75,158.2388,59345
1437710400000,2015-07-24,159.96,159.96,152.98,154.36,2767754.75,155.1872,52874
1437969600000,2015-07-27,151.76,153.32,149.16,149.76,3581432.5,151.1532,72889
1438056000000,2015-07-28,150,156.96,148.76,155.4,4973825.25,153.6072,92312
1438142400000,2015-07-29,155.16,160.8,153.48,159.52,4256223.75,158.1232,79314
1438228800000,2015-07-30,158.48,160.28,155.52,157,2130295.5,157.2876,40872
1438315200000,2015-07-31,156.56,156.6,153.04,153.4,2548116.75,154.6932,50041
1438574400000,2015-08-03,151.36,153.4796,147.8,148.52,3113375.25,149.7912,57241
1438660800000,2015-08-04,149.84,152.48,147.04,148.88,2053870.0,149.2016,41523
1438747200000,2015-08-05,150.84,153,146.24,147,2737732.25,148.5612,49082
1438833600000,2015-08-06,146.04,153.84,144.2,153.48,4017993.75,149.6428,73792
1438920000000,2015-08-07,151.6,155.84,148.14,148.84,3099746.25,151.442,57666
1439179200000,2015-08-10,149.2,159.12,149.2,159.08,2567010.25,155.4692,53526
