date,Mkt-RF,SMB,HML,RMW,CMA,RF
2015-01-02,-0.12,-0.56,0.12,-0.28,0.15,0.0
2015-01-05,-1.84,0.25,-0.67,0.17,-0.08,0.0
2015-01-06,-1.03,-0.79,-0.29,0.52,0.06,0.0
2015-01-07,1.19,0.17,-0.67,0.26,-0.17,0.0
2015-01-08,1.81,-0.1,-0.29,0.1,-0.21,0.0
2015-01-09,-0.85,-0.03,-0.47,-0.12,-0.16,0.0
2015-01-12,-0.78,0.35,-0.44,0.17,0.19,0.0
2015-01-13,-0.19,0.24,0.01,0.43,0.0,0.0
2015-01-14,-0.6,0.27,-0.5,0.19,-0.12,0.0
2015-01-15,-1.08,-0.95,0.61,0.7,0.58,0.0
2015-01-16,1.36,0.49,-0.13,-0.31,-0.07,0.0
2015-01-20,0.11,-0.73,-0.54,0.02,-0.52,0.0
2015-01-21,0.42,-0.92,0.59,0.18,-0.02,0.0
2015-01-22,1.58,0.45,0.42,0.02,-0.08,0.0
2015-01-23,-0.47,0.42,-0.76,-0.06,-0.61,0.0
2015-01-26,0.42,0.59,-0.05,-0.42,-0.12,0.0
2015-01-27,-1.22,0.72,0.2,-0.35,0.48,0.0
2015-01-28,-1.39,-0.17,-0.81,0.52,-0.22,0.0
2015-01-29,0.98,0.21,0.04,0.01,-0.34,0.0
2015-01-30,-1.31,-0.84,0.05,-0.16,-0.47,0.0
2015-02-02,1.24,-0.38,1.0,0.04,0.16,0.0
2015-02-03,1.49,0.24,0.5,0.06,0.42,0.0
2015-02-04,-0.35,-0.09,-0.21,0.32,-0.12,0.0
2015-02-05,1.1,0.43,-0.07,-0.51,-0.18,0.0
2015-02-06,-0.2,0.09,0.34,-0.19,-0.1,0.0
2015-02-09,-0.46,-0.35,0.11,-0.03,-0.04,0.0
2015-02-10,1.05,-0.35,-0.73,0.1,-0.4,0.0
2015-02-11,0.03,-0.16,-0.34,0.07,-0.1,0.0
2015-02-12,1.0,0.19,-0.05,-0.16,-0.15,0.0
2015-02-13,0.47,0.14,-0.3,-0.3,-0.24,0.0
2015-02-17,0.16,-0.03,-0.03,-0.17,-0.15,0.0
2015-02-18,0.03,0.27,-0.83,0.28,-0.19,0.0
2015-02-19,-0.01,0.22,-0.38,-0.04,-0.37,0.0
2015-02-20,0.61,-0.43,-0.27,-0.07,-0.11,0.0
2015-02-23,-0.08,0.04,-0.37,0.38,-0.19,0.0
2015-02-24,0.32,0.0,0.71,-0.24,0.37,0.0
2015-02-25,0.01,0.19,-0.48,-0.56,-0.23,0.0
2015-02-26,-0.08,0.55,-0.5,-0.13,-0.32,0.0
2015-02-27,-0.36,-0.21,0.22,0.07,0.3,0.0
2015-03-02,0.62,0.19,-0.46,0.05,0.1,0.0
2015-03-03,-0.43,-0.3,0.32,-0.07,0.0,0.0
2015-03-04,-0.41,0.12,-0.37,-0.04,-0.3,0.0
2015-03-05,0.15,0.22,-0.43,-0.51,-0.2,0.0
2015-03-06,-1.29,0.3,0.41,-0.12,-0.02,0.0
2015-03-09,0.37,0.1,0.0,0.28,-0.06,0.0
2015-03-10,-1.63,0.43,-0.53,0.12,-0.15,0.0
2015-03-11,-0.03,0.6,0.51,-0.48,-0.06,0.0
2015-03-12,1.28,0.4,0.45,-0.05,0.23,0.0
2015-03-13,-0.58,0.21,-0.02,-0.11,-0.09,0.0
2015-03-16,1.24,-0.78,-0.38,-0.13,-0.16,0.0
2015-03-17,-0.19,0.52,-0.01,-0.01,-0.28,0.0
2015-03-18,1.09,-0.5,0.02,0.15,-0.03,0.0
2015-03-19,-0.36,0.79,-1.11,0.08,-0.37,0.0
2015-03-20,0.81,-0.11,0.56,0.44,0.26,0.0
2015-03-23,-0.19,0.19,0.24,0.18,0.32,0.0
2015-03-24,-0.51,0.54,-0.26,0.11,-0.21,0.0
2015-03-25,-1.56,-0.9,1.03,0.36,0.52,0.0
2015-03-26,-0.22,0.09,-0.04,0.03,-0.24,0.0
2015-03-27,0.32,0.44,-0.72,-0.14,-0.11,0.0
2015-03-30,1.24,0.06,0.01,-0.29,0.0,0.0
2015-03-31,-0.75,0.45,0.39,0.18,0.24,0.0
2015-04-01,-0.38,0.35,0.42,-0.16,0.21,0.0
2015-04-02,0.35,-0.11,0.28,-0.1,0.22,0.0
2015-04-06,0.61,-0.3,-0.08,0.2,-0.18,0.0
2015-04-07,-0.22,-0.19,-0.19,-0.18,-0.26,0.0
2015-04-08,0.37,0.47,-0.74,-0.04,-0.3,0.0
2015-04-09,0.41,-0.72,-0.08,-0.26,0.14,0.0
