symbol,date,date_type,spot_unadjusted,delta_target,option_ticker,strike,expiration,dte,avg_price,n_bars,total_volume
VXX,2022-01-03,entry,17.9,80,O:VXX220218C00014500,14.5,2022-02-18,46,,0,0
VXX,2022-01-03,entry,17.9,70,O:VXX220218C00015500,15.5,2022-02-18,46,,0,0
VXX,2022-01-03,entry,17.9,60,O:VXX220218C00017000,17.0,2022-02-18,46,2.65,1,2
VXX,2022-01-03,entry,17.9,50,O:VXX220218C00018000,18.0,2022-02-18,46,2.341667,2,12
VXX,2022-01-03,entry,17.9,40,O:VXX220218C00019000,19.0,2022-02-18,46,2.171429,2,7
VXX,2022-01-03,entry,17.9,30,O:VXX220218C00020500,20.5,2022-02-18,46,,0,0
VXX,2022-01-03,entry,17.9,20,O:VXX220218C00022500,22.5,2022-02-18,46,,0,0
VXX,2022-01-03,entry,17.9,10,O:VXX220218C00025000,25.0,2022-02-18,46,1.47,1,1
VXX,2022-01-31,exit,21.41,80,O:VXX220318C00017500,17.5,2022-03-18,46,,0,0
VXX,2022-01-31,exit,21.41,70,O:VXX220318C00019000,19.0,2022-03-18,46,5.19,1,3
VXX,2022-01-31,exit,21.41,60,O:VXX220318C00020000,20.0,2022-03-18,46,5.22,1,2
VXX,2022-01-31,exit,21.41,50,O:VXX220318C00021500,21.5,2022-03-18,46,,0,0
VXX,2022-01-31,exit,21.41,40,O:VXX220318C00023000,23.0,2022-03-18,46,4.25,2,104
VXX,2022-01-31,exit,21.41,30,O:VXX220318C00024500,24.5,2022-03-18,46,,0,0
VXX,2022-01-31,exit,21.41,20,O:VXX220318C00026000,26,2022-03-18,46,3.2,1,1
VXX,2022-01-31,exit,21.41,10,O:VXX220318C00030000,30,2022-03-18,46,2.79,1,1
CI,2022-01-04,entry,233.3,80,O:CI220218C00225000,225.0,2022-02-18,45,,0,0
CI,2022-01-04,entry,233.3,70,O:CI220218C00227500,227.5,2022-02-18,45,,0,0
CI,2022-01-04,entry,233.3,60,O:CI220218C00230000,230.0,2022-02-18,45,12.0,1,1
CI,2022-01-04,entry,233.3,50,O:CI220218C00232500,232.5,2022-02-18,45,,0,0
CI,2022-01-04,entry,233.3,40,O:CI220218C00235000,235.0,2022-02-18,45,,0,0
CI,2022-01-04,entry,233.3,30,O:CI220218C00240000,240.0,2022-02-18,45,6.0,1,1
CI,2022-01-04,entry,233.3,20,O:CI220218C00242500,242.5,2022-02-18,45,,0,0
CI,2022-01-04,entry,233.3,10,O:CI220218C00247500,247.5,2022-02-18,45,,0,0
CI,2022-02-01,exit,225.91,80,O:CI220318C00207500,207.5,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,70,O:CI220318C00215000,215.0,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,60,O:CI220318C00220000,220.0,2022-03-18,45,12.12,1,20
CI,2022-02-01,exit,225.91,50,O:CI220318C00225000,225.0,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,40,O:CI220318C00232500,232.5,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,30,O:CI220318C00237500,237.5,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,20,O:CI220318C00245000,245.0,2022-03-18,45,,0,0
CI,2022-02-01,exit,225.91,10,O:CI220318C00255000,255.0,2022-03-18,45,,0,0
TTD,2022-01-05,entry,79.64,80,O:TTD220218C00068000,68,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,70,O:TTD220218C00072000,72,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,60,O:TTD220218C00076000,76,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,50,O:TTD220218C00080000,80,2022-02-18,44,9.053333,2,6
TTD,2022-01-05,entry,79.64,40,O:TTD220218C00084000,84,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,30,O:TTD220218C00088000,88,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,20,O:TTD220218C00094000,94,2022-02-18,44,,0,0
TTD,2022-01-05,entry,79.64,10,O:TTD220218C00102000,102,2022-02-18,44,,0,0
TTD,2022-02-02,exit,70.01,80,O:TTD220318C00054000,54,2022-03-18,44,,0,0
TTD,2022-02-02,exit,70.01,70,O:TTD220318C00059000,59,2022-03-18,44,,0,0
TTD,2022-02-02,exit,70.01,60,O:TTD220318C00065000,65,2022-03-18,44,12.9,1,1
TTD,2022-02-02,exit,70.01,50,O:TTD220318C00070000,70,2022-03-18,44,8.740625,4,32
TTD,2022-02-02,exit,70.01,40,O:TTD220318C00076000,76,2022-03-18,44,,0,0
TTD,2022-02-02,exit,70.01,30,O:TTD220318C00082000,82,2022-03-18,44,,0,0
TTD,2022-02-02,exit,70.01,20,O:TTD220318C00091000,91,2022-03-18,44,,0,0
TTD,2022-02-02,exit,70.01,10,O:TTD220318C00104000,104,2022-03-18,44,,0,0
XLY,2022-01-05,entry,203.39,80,O:XLY220218C00189000,189,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,70,O:XLY220218C00194000,194,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,60,O:XLY220218C00199000,199,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,50,O:XLY220218C00202500,202.5,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,40,O:XLY220218C00207500,207.5,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,30,O:XLY220218C00212500,212.5,2022-02-18,44,,0,0
XLY,2022-01-05,entry,203.39,20,O:XLY220218C00220000,220.0,2022-02-18,44,1.73,1,1
XLY,2022-01-05,entry,203.39,10,O:XLY220218C00227500,227.5,2022-02-18,44,,0,0
XLY,2022-02-02,exit,184.96,80,O:XLY220318C00171000,171,2022-03-18,44,,0,0
XLY,2022-02-02,exit,184.96,70,O:XLY220318C00176000,176,2022-03-18,44,,0,0
XLY,2022-02-02,exit,184.96,60,O:XLY220318C00180000,180,2022-03-18,44,10.0,1,1
XLY,2022-02-02,exit,184.96,50,O:XLY220318C00185000,185,2022-03-18,44,7.6,1,6
XLY,2022-02-02,exit,184.96,40,O:XLY220318C00190000,190,2022-03-18,44,4.2,1,1
XLY,2022-02-02,exit,184.96,30,O:XLY220318C00195000,195,2022-03-18,44,2.9,1,73
XLY,2022-02-02,exit,184.96,20,O:XLY220318C00200000,200.0,2022-03-18,44,1.5,1,2
XLY,2022-02-02,exit,184.96,10,O:XLY220318C00210000,210.0,2022-03-18,44,0.38,1,2
JNJ,2022-01-06,entry,171.63,80,O:JNJ220218C00164000,164,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,70,O:JNJ220218C00167000,167,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,60,O:JNJ220218C00169000,169,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,50,O:JNJ220218C00172000,172,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,40,O:JNJ220218C00174000,174,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,30,O:JNJ220218C00176000,176,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,20,O:JNJ220218C00179000,179,2022-02-18,43,,0,0
JNJ,2022-01-06,entry,171.63,10,O:JNJ220218C00183000,183,2022-02-18,43,,0,0
JNJ,2022-02-03,exit,172.76,80,O:JNJ220318C00165000,165,2022-03-18,43,9.2,1,3
JNJ,2022-02-03,exit,172.76,70,O:JNJ220318C00168000,168,2022-03-18,43,,0,0
JNJ,2022-02-03,exit,172.76,60,O:JNJ220318C00170000,170,2022-03-18,43,4.32,1,1
JNJ,2022-02-03,exit,172.76,50,O:JNJ220318C00173000,173,2022-03-18,43,,0,0
JNJ,2022-02-03,exit,172.76,40,O:JNJ220318C00175000,175,2022-03-18,43,1.98,1,11
JNJ,2022-02-03,exit,172.76,30,O:JNJ220318C00178000,178,2022-03-18,43,,0,0
JNJ,2022-02-03,exit,172.76,20,O:JNJ220318C00181000,181,2022-03-18,43,,0,0
JNJ,2022-02-03,exit,172.76,10,O:JNJ220318C00185000,185,2022-03-18,43,0.3,1,1
GLD,2022-01-10,entry,168.26,80,O:GLD220218C00163000,163,2022-02-18,39,5.92,1,6
GLD,2022-01-10,entry,168.26,70,O:GLD220218C00165000,165,2022-02-18,39,4.41,1,88
GLD,2022-01-10,entry,168.26,60,O:GLD220218C00167000,167,2022-02-18,39,3.17,1,14
GLD,2022-01-10,entry,168.26,50,O:GLD220218C00168000,168,2022-02-18,39,2.63,1,1
GLD,2022-01-10,entry,168.26,40,O:GLD220218C00170000,170,2022-02-18,39,1.9,1,1
GLD,2022-01-10,entry,168.26,30,O:GLD220218C00172000,172,2022-02-18,39,1.29,1,2
GLD,2022-01-10,entry,168.26,20,O:GLD220218C00174000,174,2022-02-18,39,0.92,1,1
GLD,2022-01-10,entry,168.26,10,O:GLD220218C00176000,176,2022-02-18,39,0.64,1,1
GLD,2022-02-07,exit,170.11,80,O:GLD220318C00165000,165,2022-03-18,39,5.8,1,1
GLD,2022-02-07,exit,170.11,70,O:GLD220318C00167000,167,2022-03-18,39,4.5,1,6
GLD,2022-02-07,exit,170.11,60,O:GLD220318C00168000,168,2022-03-18,39,3.842857,2,7
GLD,2022-02-07,exit,170.11,50,O:GLD220318C00170000,170,2022-03-18,39,2.781,5,20
GLD,2022-02-07,exit,170.11,40,O:GLD220318C00172000,172,2022-03-18,39,1.95,1,3
GLD,2022-02-07,exit,170.11,30,O:GLD220318C00174000,174,2022-03-18,39,1.38,1,7
GLD,2022-02-07,exit,170.11,20,O:GLD220318C00176000,176,2022-03-18,39,0.95,1,1
GLD,2022-02-07,exit,170.11,10,O:GLD220318C00179000,179,2022-03-18,39,0.58,1,1
IBM,2022-01-11,entry,132.87,80,O:IBM220218C00127000,127,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,70,O:IBM220218C00129000,129,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,60,O:IBM220218C00131000,131,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,50,O:IBM220218C00133000,133,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,40,O:IBM220218C00135000,135,2022-02-18,38,2.628148,4,54
IBM,2022-01-11,entry,132.87,30,O:IBM220218C00137000,137,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,20,O:IBM220218C00139000,139,2022-02-18,38,,0,0
IBM,2022-01-11,entry,132.87,10,O:IBM220218C00143000,143,2022-02-18,38,,0,0
IBM,2022-02-08,exit,137.02,80,O:IBM220318C00128000,128,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,70,O:IBM220318C00131000,131,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,60,O:IBM220318C00134000,134,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,50,O:IBM220318C00137000,137,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,40,O:IBM220318C00140000,140,2022-03-18,38,1.809882,4,85
IBM,2022-02-08,exit,137.02,30,O:IBM220318C00143000,143,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,20,O:IBM220318C00147000,147,2022-03-18,38,,0,0
IBM,2022-02-08,exit,137.02,10,O:IBM220318C00152000,152,2022-03-18,38,,0,0
MA,2022-01-11,entry,366.29,80,O:MA220218C00340000,340.0,2022-02-18,38,,0,0
MA,2022-01-11,entry,366.29,70,O:MA220218C00350000,350.0,2022-02-18,38,22.8,1,1
MA,2022-01-11,entry,366.29,60,O:MA220218C00357500,357.5,2022-02-18,38,,0,0
MA,2022-01-11,entry,366.29,50,O:MA220218C00367500,367.5,2022-02-18,38,,0,0
MA,2022-01-11,entry,366.29,40,O:MA220218C00375000,375.0,2022-02-18,38,9.8,1,1
MA,2022-01-11,entry,366.29,30,O:MA220218C00382500,382.5,2022-02-18,38,,0,0
MA,2022-01-11,entry,366.29,20,O:MA220218C00395000,395.0,2022-02-18,38,,0,0
MA,2022-01-11,entry,366.29,10,O:MA220218C00410000,410.0,2022-02-18,38,1.64,1,2
MA,2022-02-08,exit,374.37,80,O:MA220318C00335000,335.0,2022-03-18,38,43.2,1,2
MA,2022-02-08,exit,374.37,70,O:MA220318C00350000,350.0,2022-03-18,38,32.1,1,1
MA,2022-02-08,exit,374.37,60,O:MA220318C00362500,362.5,2022-03-18,38,,0,0
MA,2022-02-08,exit,374.37,50,O:MA220318C00375000,375.0,2022-03-18,38,15.87,1,1
MA,2022-02-08,exit,374.37,40,O:MA220318C00387500,387.5,2022-03-18,38,,0,0
MA,2022-02-08,exit,374.37,30,O:MA220318C00400000,400.0,2022-03-18,38,5.87,1,2
MA,2022-02-08,exit,374.37,20,O:MA220318C00417500,417.5,2022-03-18,38,,0,0
MA,2022-02-08,exit,374.37,10,O:MA220318C00442500,442.5,2022-03-18,38,,0,0
T,2022-01-11,entry,26.34,80,O:T220218C00024500,24.5,2022-02-18,38,,0,0
T,2022-01-11,entry,26.34,70,O:T220218C00025000,25,2022-02-18,38,1.98,1,19
T,2022-01-11,entry,26.34,60,O:T220218C00026000,26,2022-02-18,38,1.25,1,19
T,2022-01-11,entry,26.34,50,O:T220218C00026000,26,2022-02-18,38,1.25,1,19
T,2022-01-11,entry,26.34,40,O:T220218C00027000,27,2022-02-18,38,0.698837,3,43
T,2022-01-11,entry,26.34,30,O:T220218C00028000,28,2022-02-18,38,0.393478,2,23
T,2022-01-11,entry,26.34,20,O:T220218C00028000,28,2022-02-18,38,0.393478,2,23
T,2022-01-11,entry,26.34,10,O:T220218C00030000,30,2022-02-18,38,0.11,1,7
T,2022-02-08,exit,23.94,80,O:T220318C00021500,21.5,2022-03-18,38,,0,0
T,2022-02-08,exit,23.94,70,O:T220318C00022500,22.5,2022-03-18,38,,0,0
T,2022-02-08,exit,23.94,60,O:T220318C00023000,23.0,2022-03-18,38,1.404545,2,22
T,2022-02-08,exit,23.94,50,O:T220318C00024000,24.0,2022-03-18,38,0.769259,2,27
T,2022-02-08,exit,23.94,40,O:T220318C00025000,25.0,2022-03-18,38,0.351667,2,12
T,2022-02-08,exit,23.94,30,O:T220318C00026000,26,2022-03-18,38,0.169448,3,181
T,2022-02-08,exit,23.94,20,O:T220318C00027000,27,2022-03-18,38,0.08,2,3
T,2022-02-08,exit,23.94,10,O:T220318C00028000,28,2022-03-18,38,0.05,3,35
BEKE,2022-01-12,entry,22.78,80,O:BEKE220218C00017000,17.0,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,70,O:BEKE220218C00019000,19.0,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,60,O:BEKE220218C00021000,21.0,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,50,O:BEKE220218C00023000,23.0,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,40,O:BEKE220218C00025000,25.0,2022-02-18,37,1.585385,2,13
BEKE,2022-01-12,entry,22.78,30,O:BEKE220218C00027000,27,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,20,O:BEKE220218C00031000,31,2022-02-18,37,,0,0
BEKE,2022-01-12,entry,22.78,10,O:BEKE220218C00036000,36,2022-02-18,37,,0,0
BEKE,2022-02-09,exit,21.12,80,O:BEKE220318C00016500,16.5,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,70,O:BEKE220318C00018500,18.5,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,60,O:BEKE220318C00019500,19.5,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,50,O:BEKE220318C00021000,21.0,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,40,O:BEKE220318C00022500,22.5,2022-03-18,37,1.504878,2,41
BEKE,2022-02-09,exit,21.12,30,O:BEKE220318C00024500,24.5,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,20,O:BEKE220318C00027000,27,2022-03-18,37,,0,0
BEKE,2022-02-09,exit,21.12,10,O:BEKE220318C00030000,30,2022-03-18,37,0.28,1,2
CAT,2022-01-12,entry,222.4,80,O:CAT220218C00207500,207.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,70,O:CAT220218C00212500,212.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,60,O:CAT220218C00217500,217.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,50,O:CAT220218C00222500,222.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,40,O:CAT220218C00227500,227.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,30,O:CAT220218C00232500,232.5,2022-02-18,37,,0,0
CAT,2022-01-12,entry,222.4,20,O:CAT220218C00240000,240.0,2022-02-18,37,1.677297,2,37
CAT,2022-01-12,entry,222.4,10,O:CAT220218C00247500,247.5,2022-02-18,37,,0,0
CAT,2022-02-09,exit,203.6,80,O:CAT220318C00188000,188,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,70,O:CAT220318C00194000,194,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,60,O:CAT220318C00199000,199,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,50,O:CAT220318C00202500,202.5,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,40,O:CAT220318C00207500,207.5,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,30,O:CAT220318C00215000,215.0,2022-03-18,37,,0,0
CAT,2022-02-09,exit,203.6,20,O:CAT220318C00220000,220.0,2022-03-18,37,1.35,1,8
CAT,2022-02-09,exit,203.6,10,O:CAT220318C00230000,230.0,2022-03-18,37,0.48,1,2
TSM,2022-01-12,entry,132.23,80,O:TSM220218C00117000,117,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,70,O:TSM220218C00123000,123,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,60,O:TSM220218C00128000,128,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,50,O:TSM220218C00132000,132,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,40,O:TSM220218C00137000,137,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,30,O:TSM220218C00143000,143,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,20,O:TSM220218C00149000,149,2022-02-18,37,,0,0
TSM,2022-01-12,entry,132.23,10,O:TSM220218C00159000,159,2022-02-18,37,,0,0
TSM,2022-02-09,exit,125.52,80,O:TSM220318C00111000,111,2022-03-18,37,,0,0
TSM,2022-02-09,exit,125.52,70,O:TSM220318C00116000,116,2022-03-18,37,,0,0
TSM,2022-02-09,exit,125.52,60,O:TSM220318C00121000,121,2022-03-18,37,,0,0
TSM,2022-02-09,exit,125.52,50,O:TSM220318C00126000,126,2022-03-18,37,,0,0
TSM,2022-02-09,exit,125.52,40,O:TSM220318C00130000,130,2022-03-18,37,2.72619,5,21
TSM,2022-02-09,exit,125.52,30,O:TSM220318C00135000,135,2022-03-18,37,1.408333,2,54
TSM,2022-02-09,exit,125.52,20,O:TSM220318C00142000,142,2022-03-18,37,,0,0
TSM,2022-02-09,exit,125.52,10,O:TSM220318C00151000,151,2022-03-18,37,,0,0
INTC,2022-01-13,entry,54.94,80,O:INTC220218C00052000,52,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,70,O:INTC220218C00053000,53,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,60,O:INTC220218C00054000,54,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,50,O:INTC220218C00055000,55,2022-02-18,36,2.785217,4,23
INTC,2022-01-13,entry,54.94,40,O:INTC220218C00056000,56,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,30,O:INTC220218C00057000,57,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,20,O:INTC220218C00058000,58,2022-02-18,36,,0,0
INTC,2022-01-13,entry,54.94,10,O:INTC220218C00060000,60,2022-02-18,36,0.952,4,40
INTC,2022-02-10,exit,48.86,80,O:INTC220318C00044000,44,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,70,O:INTC220318C00046000,46,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,60,O:INTC220318C00048000,48,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,50,O:INTC220318C00049000,49,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,40,O:INTC220318C00050000,50,2022-03-18,36,1.54088,5,216
INTC,2022-02-10,exit,48.86,30,O:INTC220318C00052000,52,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,20,O:INTC220318C00054000,54,2022-03-18,36,,0,0
INTC,2022-02-10,exit,48.86,10,O:INTC220318C00056000,56,2022-03-18,36,,0,0
LMT,2022-01-13,entry,365.18,80,O:LMT220218C00352500,352.5,2022-02-18,36,,0,0
LMT,2022-01-13,entry,365.18,70,O:LMT220218C00357500,357.5,2022-02-18,36,,0,0
LMT,2022-01-13,entry,365.18,60,O:LMT220218C00360000,360.0,2022-02-18,36,13.6,1,1
LMT,2022-01-13,entry,365.18,50,O:LMT220218C00365000,365.0,2022-02-18,36,8.1,1,9
LMT,2022-01-13,entry,365.18,40,O:LMT220218C00370000,370.0,2022-02-18,36,6.1,1,1
LMT,2022-01-13,entry,365.18,30,O:LMT220218C00375000,375.0,2022-02-18,36,4.8,1,1
LMT,2022-01-13,entry,365.18,20,O:LMT220218C00380000,380.0,2022-02-18,36,2.9,1,3
LMT,2022-01-13,entry,365.18,10,O:LMT220218C00387500,387.5,2022-02-18,36,,0,0
LMT,2022-02-10,exit,385.43,80,O:LMT220318C00365000,365.0,2022-03-18,36,,0,0
LMT,2022-02-10,exit,385.43,70,O:LMT220318C00372500,372.5,2022-03-18,36,,0,0
LMT,2022-02-10,exit,385.43,60,O:LMT220318C00380000,380.0,2022-03-18,36,17.2,1,1
LMT,2022-02-10,exit,385.43,50,O:LMT220318C00385000,385.0,2022-03-18,36,13.4,1,2
LMT,2022-02-10,exit,385.43,40,O:LMT220318C00392500,392.5,2022-03-18,36,,0,0
LMT,2022-02-10,exit,385.43,30,O:LMT220318C00397500,397.5,2022-03-18,36,,0,0
LMT,2022-02-10,exit,385.43,20,O:LMT220318C00407500,407.5,2022-03-18,36,,0,0
LMT,2022-02-10,exit,385.43,10,O:LMT220318C00417500,417.5,2022-03-18,36,,0,0
TTD,2022-01-13,entry,75.76,80,O:TTD220218C00064000,64,2022-02-18,36,,0,0
TTD,2022-01-13,entry,75.76,70,O:TTD220218C00068000,68,2022-02-18,36,,0,0
TTD,2022-01-13,entry,75.76,60,O:TTD220218C00072000,72,2022-02-18,36,,0,0
TTD,2022-01-13,entry,75.76,50,O:TTD220218C00076000,76,2022-02-18,36,,0,0
TTD,2022-01-13,entry,75.76,40,O:TTD220218C00080000,80,2022-02-18,36,7.45,1,7
TTD,2022-01-13,entry,75.76,30,O:TTD220218C00084000,84,2022-02-18,36,,0,0
TTD,2022-01-13,entry,75.76,20,O:TTD220218C00090000,90,2022-02-18,36,4.06,1,2
TTD,2022-01-13,entry,75.76,10,O:TTD220218C00098000,98,2022-02-18,36,,0,0
TTD,2022-02-10,exit,82.14,80,O:TTD220318C00064000,64,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,70,O:TTD220318C00070000,70,2022-03-18,36,15.5,1,2
TTD,2022-02-10,exit,82.14,60,O:TTD220318C00076000,76,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,50,O:TTD220318C00082000,82,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,40,O:TTD220318C00089000,89,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,30,O:TTD220318C00096000,96,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,20,O:TTD220318C00106000,106,2022-03-18,36,,0,0
TTD,2022-02-10,exit,82.14,10,O:TTD220318C00121000,121,2022-03-18,36,,0,0
VALE,2022-01-13,entry,15.3,80,O:VALE220218C00014000,14.0,2022-02-18,36,1.67,1,1
VALE,2022-01-13,entry,15.3,70,O:VALE220218C00014500,14.5,2022-02-18,36,,0,0
VALE,2022-01-13,entry,15.3,60,O:VALE220218C00015000,15.0,2022-02-18,36,0.936923,3,13
VALE,2022-01-13,entry,15.3,50,O:VALE220218C00015500,15.5,2022-02-18,36,,0,0
VALE,2022-01-13,entry,15.3,40,O:VALE220218C00016000,16.0,2022-02-18,36,0.52,1,18
VALE,2022-01-13,entry,15.3,30,O:VALE220218C00016500,16.5,2022-02-18,36,,0,0
VALE,2022-01-13,entry,15.3,20,O:VALE220218C00017000,17.0,2022-02-18,36,0.201818,2,11
VALE,2022-01-13,entry,15.3,10,O:VALE220218C00018000,18.0,2022-02-18,36,0.11,1,20
VALE,2022-02-10,exit,17.85,80,O:VALE220318C00016000,16.0,2022-03-18,36,1.972143,3,28
VALE,2022-02-10,exit,17.85,70,O:VALE220318C00017000,17.0,2022-03-18,36,1.243913,2,69
VALE,2022-02-10,exit,17.85,60,O:VALE220318C00017500,17.5,2022-03-18,36,,0,0
VALE,2022-02-10,exit,17.85,50,O:VALE220318C00018000,18.0,2022-03-18,36,0.697812,5,64
VALE,2022-02-10,exit,17.85,40,O:VALE220318C00018500,18.5,2022-03-18,36,,0,0
VALE,2022-02-10,exit,17.85,30,O:VALE220318C00019000,19.0,2022-03-18,36,0.369,3,20
VALE,2022-02-10,exit,17.85,20,O:VALE220318C00019500,19.5,2022-03-18,36,,0,0
VALE,2022-02-10,exit,17.85,10,O:VALE220318C00020500,20.5,2022-03-18,36,,0,0
EXPE,2022-01-14,entry,184.4,80,O:EXPE220218C00167000,167,2022-02-18,35,,0,0
EXPE,2022-01-14,entry,184.4,70,O:EXPE220218C00173000,173,2022-02-18,35,,0,0
EXPE,2022-01-14,entry,184.4,60,O:EXPE220218C00179000,179,2022-02-18,35,,0,0
EXPE,2022-01-14,entry,184.4,50,O:EXPE220218C00184000,184,2022-02-18,35,,0,0
EXPE,2022-01-14,entry,184.4,40,O:EXPE220218C00190000,190,2022-02-18,35,7.5,1,1
