symbol,instrument,tier,body_quintile,sizing_rule,option_ticker,strike,expiry,signal_date,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_type,position_size,shares_or_contracts,hold_days,net_pnl,return_pct,body_pct,atr_change_3d,opt_source
OXY,OPTION,B,Q2,Tier B: one filter passes → $100K options,O:OXY200221C00047000,47.0,2020-02-21,2020-01-07,2020-01-08,09:30:00,0.7,2020-01-27,16:00:00,0.12,TIME (13d),100000,1428,13,-82882.55,-82.86,0.1727,0.1187,original_30d_1m
DXCM,STOCK (fallback),A,Q4,"Tier A: stock fallback (no options), body Q4 → $1500K",,,,2020-01-08,2020-01-09,09:30:00,58.7525,2020-02-06,16:00:00,59.75,TIME,1500000,25530,20,23953.49,1.6,0.3525,0.1231,
CRM,STOCK (fallback),A,Q3,"Tier A: stock fallback (no options), body Q3 → $1000K",,,,2020-01-09,2020-01-10,09:30:00,179.84,2020-02-07,16:00:00,185.72,TIME,1000000,5560,20,31676.54,3.17,0.2912,0.1567,
KWEB,OPTION,B,Q2,Tier B: one filter passes → $100K options,O:KWEB200221C00055000,55.0,2020-02-21,2020-01-09,2020-01-10,09:30:00,0.8828,2020-01-24,16:00:00,0.15,TIME (13d),100000,1132,13,-83009.93,-83.01,-0.2083,0.0276,original_30d_1m
CRWD,OPTION,B,Q5,Tier B: one filter passes → $100K options,O:CRWD200221C00064000,64.0,2020-02-21,2020-01-10,2020-01-13,09:30:00,3.09,2020-02-10,16:00:00,1.7,TIME (13d),100000,323,13,-44974.36,-44.98,0.3087,-0.0596,original_30d_1m
TQQQ,OPTION,A,Q2,Tier A: both filters pass → $200K options,O:TQQQ200221C00101000,101.0,2020-02-21,2020-01-13,2020-01-14,09:30:00,3.05,2020-02-11,16:00:00,1.9,TIME (13d),200000,655,13,-75487.11,-37.7,0.8172,0.0119,original_30d_1m
UBER,STOCK,C,Q5,"Tier C: stock, body Q5 → $2000K",,,,2020-01-13,2020-01-14,09:30:00,34.2,2020-02-11,16:00:00,41.27,TIME,2000000,58479,20,411239.82,20.56,-0.1899,-0.0044,
QQQ,STOCK,C,Q3,"Tier C: stock, body Q3 → $1000K",,,,2020-01-14,2020-01-15,09:30:00,220.18,2020-02-12,16:00:00,234.27,TIME,1000000,4541,20,62950.86,6.3,-0.4558,-0.0141,
XLC,STOCK,C,Q4,"Tier C: stock, body Q4 → $1500K",,,,2020-01-14,2020-01-15,09:30:00,55.68,2020-01-31,intraday (stop),53.9571,STOP,1500000,26939,12,-47889.81,-3.19,-0.4127,-0.0127,
GS,OPTION,A,Q2,Tier A: both filters pass → $200K options,O:GS200221C00255000,255.0,2020-02-21,2020-01-16,2020-01-17,09:30:00,3.8,2020-02-14,16:00:00,0.8,TIME (13d),200000,526,13,-157920.98,-78.95,0.7549,0.562,original_30d_1m
NKE,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:NKE200221C00106000,106.0,2020-02-21,2020-01-17,2020-01-21,09:30:00,1.19,2020-01-27,16:00:00,0.45,TIME (13d),100000,840,13,-62228.88,-62.18,0.9091,-0.0588,original_30d_1m
VRTX,STOCK,C,Q3,"Tier C: stock, body Q3 → $1000K",,,,2020-01-21,2020-01-22,09:30:00,234.94,2020-02-19,16:00:00,247.78,TIME,1000000,4256,20,53619.81,5.36,-0.4545,-0.2179,
GOOGL,OPTION,B,Q2,Tier B: one filter passes → $100K options,O:GOOGL200221C01520000,1520.0,2020-02-21,2020-01-22,2020-01-23,09:30:00,30.11,2020-01-27,16:00:00,12.3,TIME (13d),100000,33,13,-58842.98,-59.15,-0.3103,0.0546,original_30d_1m
LULU,OPTION,B,Q3,Tier B: one filter passes → $100K options,O:LULU200221C00250000,250.0,2020-02-21,2020-01-22,2020-01-23,09:30:00,3.07,2020-02-20,16:00:00,3.95,TIME (13d),100000,325,13,28485.93,28.66,0.3378,-0.1078,original_30d_1m
MS,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:MS200221C00058000,58.0,2020-02-21,2020-01-22,2020-01-23,09:30:00,0.21,2020-01-30,16:00:00,0.05,TIME (13d),100000,4761,13,-76237.89,-76.19,-0.4848,0.0959,original_30d_1m
XLK,STOCK,C,Q4,"Tier C: stock, body Q4 → $1500K",,,,2020-01-22,2020-01-23,09:30:00,48.765,2020-02-20,16:00:00,50.86,TIME,1500000,30759,20,62907.92,4.19,-0.3421,-0.0075,
AAPL,OPTION,B,Q2,Tier B: one filter passes → $100K options,O:AAPL200221C00327500,327.5,2020-02-21,2020-01-23,2020-01-24,09:30:00,7.82,2020-02-21,16:00:00,2.09,TIME (13d),100000,127,13,-72833.93,-73.27,0.335,-0.0767,original_30d_1m
SHOP,STOCK (fallback),A,Q2,"Tier A: stock fallback (no options), body Q2 → $500K",,,,2020-01-23,2020-01-24,09:30:00,47.4,2020-02-21,16:00:00,52.066,TIME,500000,10548,20,48692.38,9.74,0.3446,0.0396,
BYND,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:BYND200221C00145000,145.0,2020-02-21,2020-01-24,2020-01-27,09:30:00,5.61,2020-02-24,16:00:00,0.55,TIME (13d),100000,178,13,-90122.82,-90.2,-0.4186,0.7928,original_30d_1m
HUBS,STOCK (fallback),B,Q4,"Tier B: stock fallback (no options), body Q4 → $1500K",,,,2020-01-24,2020-01-27,09:30:00,180.63,2020-02-24,16:00:00,180.1,TIME,1500000,8304,20,-5898.87,-0.39,-0.3489,0.0424,
MA,STOCK,C,Q3,"Tier C: stock, body Q3 → $1000K",,,,2020-01-24,2020-01-27,09:30:00,315.1,2020-02-24,16:00:00,324.67,TIME,1000000,3173,20,29350.61,2.94,-0.5343,-0.0305,
TMO,STOCK (fallback),B,Q5,"Tier B: stock fallback (no options), body Q5 → $2000K",,,,2020-01-24,2020-01-27,09:30:00,327.36,2020-01-30,intraday (stop),317.0502,STOP,2000000,6109,4,-64950.63,-3.25,-0.5562,0.3303,
V,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:V200221C00205000,205.0,2020-02-21,2020-01-24,2020-01-27,09:30:00,3.0708,2020-02-24,16:00:00,3.4,TIME (13d),100000,325,13,10594.19,10.72,-0.6402,0.1348,original_30d_1m
VALE,OPTION,B,Q2,Tier B: one filter passes → $100K options,O:VALE200221C00012500,12.5,2020-02-21,2020-01-24,2020-01-27,09:30:00,0.31,2020-01-30,16:00:00,0.2,TIME (13d),100000,3225,13,-35557.24,-35.48,-0.7955,0.0208,original_30d_1m
NEM,OPTION,B,Q3,Tier B: one filter passes → $100K options,O:NEM200221C00045000,45.0,2020-02-21,2020-01-27,2020-01-28,09:30:00,0.94,2020-02-25,16:00:00,0.46,TIME (13d),100000,1063,13,-51098.41,-51.06,-0.2422,0.0416,original_30d_1m
TWLO,OPTION,A,Q3,Tier A: both filters pass → $200K options,O:TWLO200221C00128000,128.0,2020-02-21,2020-01-27,2020-01-28,09:30:00,5.0625,2020-02-25,16:00:00,2.09,TIME (13d),200000,395,13,-117555.01,-58.72,0.5961,0.243,original_30d_1m
ETSY,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:ETSY200221C00052000,52.0,2020-02-21,2020-01-28,2020-01-29,09:30:00,1.4,2020-02-26,16:00:00,1.55,TIME (13d),100000,714,13,10604.69,10.71,0.0286,0.0652,original_30d_1m
XLU,OPTION,A,Q4,Tier A: both filters pass → $200K options,O:XLU200221C00069000,69.0,2020-02-21,2020-01-28,2020-01-29,09:30:00,0.47,2020-02-26,16:00:00,1.44,TIME (13d),200000,4255,13,412328.65,206.38,0.3134,0.0146,original_30d_1m
MCD,OPTION,A,Q4,Tier A: both filters pass → $200K options,O:MCD200221C00220000,220.0,2020-02-21,2020-01-29,2020-01-30,09:30:00,0.7102,2020-02-27,16:00:00,0.15,TIME (13d),200000,2816,13,-157866.09,-78.88,0.4896,0.3608,original_30d_1m
NOW,STOCK (fallback),B,Q4,"Tier B: stock fallback (no options), body Q4 → $1500K",,,,2020-01-29,2020-01-30,09:30:00,66.746,2020-02-27,16:00:00,64.02,TIME,1500000,22473,20,-62730.75,-4.18,-0.5264,0.0694,
ZTS,OPTION,B,Q3,Tier B: one filter passes → $100K options,O:ZTS200221C00141000,141.0,2020-02-21,2020-01-29,2020-01-30,09:30:00,2.46,2020-02-27,16:00:00,1.3,TIME (13d),100000,406,13,-47172.33,-47.15,-0.3007,0.0511,original_30d_1m
AMT,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:AMT200320C00242500,242.5,2020-03-20,2020-01-31,2020-02-03,09:30:00,5.4,2020-02-28,16:00:00,3.5,TIME (13d),100000,185,13,-35232.33,-35.19,-0.6406,0.217,original_30d_1m
LYFT,OPTION,B,Q4,Tier B: one filter passes → $100K options,O:LYFT200320C00050000,50.0,2020-03-20,2020-01-31,2020-02-03,09:30:00,2.4467,2020-02-24,16:00:00,0.65,TIME (13d),100000,408,13,-73367.17,-73.43,0.0588,0.0136,original_30d_1m
NFLX,STOCK,C,Q5,"Tier C: stock, body Q5 → $2000K",,,,2020-01-31,2020-02-03,09:30:00,34.724,2020-03-02,16:00:00,38.105,TIME,2000000,57597,20,192638.09,9.63,-0.3588,-0.0263,
